step,|phi|,Q_L,A_L,S_L,Xi_L,F_LRe,F_LIm,acc,dt
0,100.000000,96.225049,-100.223436,-326.948366,-1.189616,2.905758,2.130467,0.440000,0.000000
1,100.000000,89.565052,-170.091975,-381.124656,0.377280,2.905758,2.130467,0.420000,0.000000
2,100.000000,94.388979,-171.665853,-394.064646,-1.178557,2.905758,2.130467,0.383333,0.000000
3,100.000000,95.507125,-201.240092,-426.273453,0.946257,2.905758,2.130467,0.355000,0.000000
4,100.000000,99.227266,-200.395622,-434.194359,5.745771,2.905758,2.130467,0.334000,0.000000
5,100.000000,100.077629,-208.567404,-444.369762,7.938349,2.905758,2.130467,0.316667,0.000000
6,100.000000,95.283569,-221.049180,-445.555801,8.630980,2.905758,2.130467,0.298571,0.000000
7,100.000000,99.017377,-221.387567,-454.691764,3.654571,2.905758,2.130467,0.280000,0.000000
8,100.000000,116.861991,-198.984685,-474.334265,5.055606,2.905758,2.130467,0.273333,0.000000
9,100.000000,116.396917,-203.804437,-478.058211,4.133450,2.905758,2.130467,0.255000,0.000000
10,100.000000,113.550899,-212.487927,-480.035930,1.381367,2.905758,2.130467,0.245455,0.000000
11,100.000000,120.890970,-188.123694,-472.966330,1.235830,2.905758,2.130467,0.240000,0.000000
12,100.000000,117.969240,-192.302578,-470.261050,3.895289,2.905758,2.130467,0.231538,0.000000
13,100.000000,121.473861,-191.801241,-478.017282,4.361211,2.905758,2.130467,0.228571,0.000000
14,100.000000,126.636448,-181.639858,-480.019959,8.096893,2.905758,2.130467,0.224000,0.000000
15,100.000000,126.755789,-183.294220,-481.955511,7.338249,2.905758,2.130467,0.219375,0.000000
16,100.000000,126.148615,-183.669521,-480.900192,8.281337,2.905758,2.130467,0.214118,0.000000
17,100.000000,131.030557,-179.023676,-487.757153,3.594985,2.905758,2.130467,0.214444,0.000000
18,100.000000,128.870826,-197.955539,-501.600269,2.200918,2.905758,2.130467,0.212105,0.000000
19,100.000000,133.014597,-196.368074,-509.776335,2.781653,2.905758,2.130467,0.205500,0.000000
20,100.000000,125.413952,-216.340092,-511.839756,-1.222601,2.905758,2.130467,0.201905,0.000000
21,100.000000,129.326876,-208.987081,-513.706354,-0.909197,2.905758,2.130467,0.196818,0.000000
22,100.000000,123.873678,-205.996357,-497.866833,-1.226257,2.905758,2.130467,0.194783,0.000000
23,100.000000,121.751730,-211.924531,-498.795285,4.483289,2.905758,2.130467,0.192917,0.000000
24,100.000000,126.226212,-193.890178,-491.303683,4.343387,2.905758,2.130467,0.190000,0.000000
25,100.000000,125.877307,-198.640012,-495.231430,2.332710,2.905758,2.130467,0.188846,0.000000
26,100.000000,118.941208,-219.267874,-499.516492,1.762456,2.905758,2.130467,0.187407,0.000000
27,100.000000,120.515874,-223.116409,-507.075247,3.008808,2.905758,2.130467,0.184643,0.000000
28,100.000000,118.062212,-233.233232,-511.410764,4.034131,2.905758,2.130467,0.182069,0.000000
29,100.000000,119.074647,-232.736782,-513.299809,4.353892,2.905758,2.130467,0.181333,0.000000
30,100.000000,119.846189,-227.877097,-510.258028,2.227403,2.905758,2.130467,0.178387,0.000000
31,100.000000,124.446279,-209.909387,-503.129024,0.681197,2.905758,2.130467,0.176875,0.000000
32,100.000000,123.119164,-212.304985,-502.397682,4.653031,2.905758,2.130467,0.177879,0.000000
33,100.000000,127.771200,-206.970251,-508.024048,6.078410,2.905758,2.130467,0.177059,0.000000
34,100.000000,137.587796,-187.603602,-511.787209,3.988708,2.905758,2.130467,0.176000,0.000000
35,100.000000,130.704467,-211.237793,-519.202938,7.898716,2.905758,2.130467,0.174167,0.000000
36,100.000000,129.570176,-223.216211,-528.508745,10.014694,2.905758,2.130467,0.174054,0.000000
37,100.000000,132.367414,-220.022866,-531.906236,-9.190478,2.905758,2.130467,0.173158,0.000000
38,100.000000,135.279609,-220.926486,-539.671555,-8.126046,2.905758,2.130467,0.171282,0.000000
39,100.000000,128.602168,-234.050542,-537.062262,-10.638823,2.905758,2.130467,0.169750,0.000000
40,100.000000,135.191065,-214.133958,-532.670400,-10.423314,2.905758,2.130467,0.167805,0.000000
41,100.000000,134.553577,-214.838569,-531.872965,-10.678483,2.905758,2.130467,0.166667,0.000000
42,100.000000,132.045348,-228.781666,-539.906189,-10.201031,2.905758,2.130467,0.165814,0.000000
43,100.000000,133.007002,-218.177289,-531.567655,-10.226385,2.905758,2.130467,0.164545,0.000000
44,100.000000,129.681477,-226.604373,-532.159153,-3.158860,2.905758,2.130467,0.163111,0.000000
45,100.000000,129.325842,-239.281200,-543.998035,-2.077159,2.905758,2.130467,0.163043,0.000000
46,100.000000,127.281073,-243.009672,-542.908635,-3.926083,2.905758,2.130467,0.161277,0.000000
47,100.000000,127.432519,-241.827222,-542.083021,-5.089738,2.905758,2.130467,0.158958,0.000000
48,100.000000,127.076096,-242.898479,-542.314477,-6.238391,2.905758,2.130467,0.158163,0.000000
49,100.000000,132.636606,-226.493788,-539.011427,1.306094,2.905758,2.130467,0.157200,0.000000
50,100.000000,131.490913,-215.903971,-525.722136,2.353747,2.905758,2.130467,0.156275,0.000000
51,100.000000,128.381716,-223.280148,-525.772440,3.750155,2.905758,2.130467,0.155000,0.000000
52,100.000000,125.680761,-240.901550,-537.029866,0.326860,2.905758,2.130467,0.155094,0.000000
53,100.000000,126.989397,-246.796250,-546.007966,2.790058,2.905758,2.130467,0.154815,0.000000
54,100.000000,127.180472,-252.874854,-552.536781,-12.608817,2.905758,2.130467,0.153818,0.000000
55,100.000000,137.107255,-231.553931,-554.605291,-10.477387,2.905758,2.130467,0.152857,0.000000
56,100.000000,132.743308,-245.773657,-558.542707,-11.665464,2.905758,2.130467,0.152456,0.000000
57,100.000000,134.346496,-245.608838,-562.155312,-11.871263,2.905758,2.130467,0.151897,0.000000
58,100.000000,132.082678,-243.998304,-555.210782,-11.236801,2.905758,2.130467,0.151017,0.000000
59,100.000000,142.626471,-210.545282,-546.600988,1.715678,2.905758,2.130467,0.151333,0.000000
60,100.000000,139.744127,-219.267140,-548.531483,1.079268,2.905758,2.130467,0.150656,0.000000
61,100.000000,147.712227,-210.265378,-558.304113,-2.160211,2.905758,2.130467,0.149677,0.000000
62,100.000000,145.923744,-217.290462,-561.115183,-1.466789,2.905758,2.130467,0.148413,0.000000
63,100.000000,145.060959,-220.486607,-562.278441,-1.730785,2.905758,2.130467,0.147813,0.000000
64,100.000000,139.504640,-233.378786,-562.078850,0.101068,2.905758,2.130467,0.147077,0.000000
65,100.000000,139.964817,-224.032912,-553.817243,-0.001749,2.905758,2.130467,0.146667,0.000000
66,100.000000,137.059793,-229.515491,-552.455020,3.830842,2.905758,2.130467,0.146119,0.000000
67,100.000000,133.096609,-233.099535,-546.701033,5.231719,2.905758,2.130467,0.145147,0.000000
68,100.000000,139.703587,-220.253440,-549.422262,6.819035,2.905758,2.130467,0.144203,0.000000
69,100.000000,139.915066,-231.233221,-560.900329,5.986459,2.905758,2.130467,0.143714,0.000000
70,100.000000,139.530325,-233.694143,-562.454725,6.090950,2.905758,2.130467,0.143239,0.000000
71,100.000000,138.484755,-237.578440,-563.875457,6.782791,2.905758,2.130467,0.142500,0.000000
72,100.000000,139.596113,-231.062765,-559.978357,7.024487,2.905758,2.130467,0.142055,0.000000
73,100.000000,137.151880,-236.876234,-560.032739,8.389604,2.905758,2.130467,0.141081,0.000000
