step,|phi|,Q_L,A_L,S_L,Xi_L,F_LRe,F_LIm,acc,dt
0,32400.000000,88.000000,-172451.456440,-172589.686517,1522.290709,-803.753917,390.690709,0.085154,73.000000
100,32400.000000,86.727293,-172447.087110,-172583.318023,5222.084950,-803.753917,390.690709,0.085836,7485.000000
200,32400.000000,84.197918,-172235.451785,-172367.709566,4538.705251,-803.753917,390.690709,0.086014,14885.000000
300,32400.000000,80.315557,-172488.631222,-172614.790603,4983.175532,-803.753917,390.690709,0.086163,22334.000000
400,32400.000000,76.004589,-172528.887845,-172648.275574,4371.678732,-803.753917,390.690709,0.086171,29857.000000
500,32400.000000,75.441411,-172543.737275,-172662.240367,5147.922820,-803.753917,390.690709,0.086171,37308.000000
600,32400.000000,72.000000,-172551.556769,-172664.654104,4953.738835,-803.753917,390.690709,0.086127,44669.000000
700,32400.000000,72.000000,-172523.010794,-172636.108130,1834.239178,-803.753917,390.690709,0.086114,52038.000000
800,32400.000000,72.000000,-172844.205062,-172957.302397,4315.935543,-803.753917,390.690709,0.086109,59410.000000
900,32400.000000,76.179594,-172611.778489,-172731.441116,595.358672,-803.753917,390.690709,0.086087,66928.000000
1000,32400.000000,72.000000,-172581.072715,-172694.170050,4929.908177,-803.753917,390.690709,0.086079,74409.000000
1100,32400.000000,67.881763,-172598.282737,-172704.911160,-2199.821635,-803.753917,390.690709,0.086078,81778.000000
1200,32400.000000,67.606500,-172716.367650,-172822.563692,1506.934954,-803.753917,390.690709,0.086098,89237.000000
1300,32400.000000,66.970773,-172719.826061,-172825.023505,3161.522840,-803.753917,390.690709,0.086087,96610.000000
1400,32400.000000,66.995474,-172572.189838,-172677.426082,-3587.915018,-803.753917,390.690709,0.086106,104272.000000
1500,32400.000000,64.000000,-172822.065516,-172922.596481,-2597.155900,-803.753917,390.690709,0.086103,111694.000000
1600,32400.000000,62.501069,-172217.506716,-172315.683166,2559.792935,-803.753917,390.690709,0.086101,119401.000000
1700,32400.000000,64.000000,-172421.751996,-172522.282961,-1960.710774,-803.753917,390.690709,0.086107,126785.000000
1800,32400.000000,60.074129,-172680.224538,-172774.588758,5014.128705,-803.753917,390.690709,0.086115,134385.000000
1900,32400.000000,55.790026,-172808.890213,-172896.524981,2926.589369,-803.753917,390.690709,0.086100,141788.000000
2000,32400.000000,51.811373,-172678.045813,-172759.430927,3885.853395,-803.753917,390.690709,0.086104,149233.000000
2100,32400.000000,51.352425,-172733.540791,-172814.204991,5559.070540,-803.753917,390.690709,0.086097,156688.000000
2200,32400.000000,52.000000,-172903.008603,-172984.690012,1046.070016,-803.753917,390.690709,0.086091,164129.000000
2300,32400.000000,46.487524,-172689.757477,-172762.779909,1482.356613,-803.753917,390.690709,0.086078,171594.000000
2400,32400.000000,44.000000,-173122.778524,-173191.893562,6084.687173,-803.753917,390.690709,0.086079,178963.000000
2500,32400.000000,44.000000,-172951.735204,-173020.850243,6067.206734,-803.753917,390.690709,0.086085,186320.000000
2600,32400.000000,44.000000,-173144.888685,-173214.003723,6033.731482,-803.753917,390.690709,0.086079,193701.000000
2700,32400.000000,46.545529,-173006.913295,-173080.026840,5992.696741,-803.753917,390.690709,0.086077,201168.000000
2800,32400.000000,44.000000,-172932.280021,-173001.395060,3883.897207,-803.753917,390.690709,0.086064,208525.000000
