step,|phi|,Q_L,A_L,S_L,Xi_L,F_LRe,F_LIm,acc,dt
0,32400.000000,72.000000,-172611.376056,-172710.336225,-946.300781,-56.781942,-958.122577,0.084568,83.000000
100,32400.000000,71.793752,-172826.936527,-172925.613218,-806.187131,-56.781942,-958.122577,0.085907,7553.000000
200,32400.000000,67.592483,-172664.851768,-172757.754039,1149.541421,-56.781942,-958.122577,0.086037,14914.000000
300,32400.000000,68.000000,-172791.110374,-172884.572755,-247.972598,-56.781942,-958.122577,0.086058,22277.000000
400,32400.000000,69.716270,-172350.952996,-172446.774299,224.377590,-56.781942,-958.122577,0.086131,29790.000000
500,32400.000000,67.924477,-172288.971151,-172382.329730,184.092701,-56.781942,-958.122577,0.086168,37176.000000
600,32400.000000,68.000000,-172778.687465,-172872.149846,-594.943359,-56.781942,-958.122577,0.086105,44646.000000
700,32400.000000,67.940828,-172613.293633,-172706.674685,-533.357171,-56.781942,-958.122577,0.086106,52069.000000
800,32400.000000,62.852456,-172579.701008,-172666.088364,-1069.797753,-56.781942,-958.122577,0.086073,59475.000000
900,32400.000000,64.000000,-172463.538936,-172551.503530,-2090.335677,-56.781942,-958.122577,0.086117,66943.000000
1000,32400.000000,64.000000,-172634.309431,-172722.274025,-1235.158743,-56.781942,-958.122577,0.086116,74608.000000
1100,32400.000000,64.000000,-172634.371019,-172722.335613,962.569435,-56.781942,-958.122577,0.086092,82126.000000
1200,32400.000000,64.000000,-172723.132604,-172811.097199,-1243.872847,-56.781942,-958.122577,0.086070,89586.000000
1300,32400.000000,63.775017,-172599.271817,-172686.927184,-426.263155,-56.781942,-958.122577,0.086052,96994.000000
1400,32400.000000,60.000000,-172640.710160,-172723.176967,-1761.319699,-56.781942,-958.122577,0.086073,104415.000000
1500,32400.000000,60.000000,-172655.901800,-172738.368607,541.498412,-56.781942,-958.122577,0.086074,111782.000000
1600,32400.000000,60.000000,-172622.841153,-172705.307960,-553.667685,-56.781942,-958.122577,0.086075,119138.000000
1700,32400.000000,56.000000,-172807.615746,-172884.584766,-2654.184267,-56.781942,-958.122577,0.086073,126621.000000
1800,32400.000000,56.003811,-172359.470066,-172436.444325,-1818.797243,-56.781942,-958.122577,0.086084,134300.000000
1900,32400.000000,56.000000,-172822.875850,-172899.844870,-1120.083300,-56.781942,-958.122577,0.086092,141905.000000
2000,32400.000000,56.000000,-172823.978559,-172900.947579,-512.540448,-56.781942,-958.122577,0.086084,149557.000000
2100,32400.000000,55.455134,-172661.561598,-172737.781729,-1877.872714,-56.781942,-958.122577,0.086082,157227.000000
2200,32400.000000,55.976470,-172451.782929,-172528.719609,-2746.202150,-56.781942,-958.122577,0.086084,164901.000000
2300,32400.000000,52.000000,-172433.732692,-172505.203925,-2010.746451,-56.781942,-958.122577,0.086093,172616.000000
2400,32400.000000,49.557145,-172515.496800,-172583.610460,-439.600042,-56.781942,-958.122577,0.086089,180247.000000
2500,32400.000000,51.945716,-172605.162190,-172676.558812,-640.948100,-56.781942,-958.122577,0.086096,187914.000000
2600,32400.000000,48.000000,-172735.679610,-172801.653055,-3101.215236,-56.781942,-958.122577,0.086100,195518.000000
2700,32400.000000,48.000000,-172961.577503,-173027.550949,-3231.497703,-56.781942,-958.122577,0.086090,203174.000000
2800,32400.000000,48.503241,-172983.239087,-173049.904211,-3169.787692,-56.781942,-958.122577,0.086088,210805.000000
