step,|phi|,Q_L,A_L,S_L,Xi_L,F_LRe,F_LIm,acc,dt
0,32400.000000,16.000000,-172878.560885,-172884.844070,3550.195084,1396.421406,-992.255311,0.083580,73.000000
100,32400.000000,16.000000,-172892.829854,-172899.113039,2376.632730,1396.421406,-992.255311,0.085822,7436.000000
200,32400.000000,16.000000,-172709.782734,-172716.065919,2661.975616,1396.421406,-992.255311,0.085866,14830.000000
300,32400.000000,16.000000,-172768.686150,-172774.969335,2320.144352,1396.421406,-992.255311,0.085907,22215.000000
400,32400.000000,16.000000,-172835.938291,-172842.221476,3013.009413,1396.421406,-992.255311,0.085907,29895.000000
500,32400.000000,16.000000,-172668.160349,-172674.443535,2184.950908,1396.421406,-992.255311,0.085971,37434.000000
600,32400.000000,16.000000,-173056.247434,-173062.530620,2873.405621,1396.421406,-992.255311,0.086005,44880.000000
700,32400.000000,16.349928,-172798.804790,-172805.225392,3913.715259,1396.421406,-992.255311,0.085998,52318.000000
800,32400.000000,16.000000,-172707.221356,-172713.504541,2417.465531,1396.421406,-992.255311,0.086013,59776.000000
900,32400.000000,16.000000,-172508.008454,-172514.291639,3401.960424,1396.421406,-992.255311,0.086004,67230.000000
1000,32400.000000,16.000000,-172900.812442,-172907.095627,2049.363035,1396.421406,-992.255311,0.086004,74656.000000
1100,32400.000000,16.000000,-172683.449238,-172689.732423,2504.711640,1396.421406,-992.255311,0.085989,82025.000000
1200,32400.000000,16.000000,-172717.386835,-172723.670021,3142.105922,1396.421406,-992.255311,0.085968,89387.000000
1300,32400.000000,16.000000,-172975.372827,-172981.656012,-99.627940,1396.421406,-992.255311,0.085967,96749.000000
1400,32400.000000,16.000000,-173020.104753,-173026.387938,1397.418587,1396.421406,-992.255311,0.085972,104165.000000
1500,32400.000000,15.815546,-172847.032856,-172853.243607,3104.097197,1396.421406,-992.255311,0.085966,111623.000000
1600,32400.000000,16.000000,-172830.699178,-172836.982363,2125.214999,1396.421406,-992.255311,0.085968,118988.000000
1700,32400.000000,20.000000,-173244.429137,-173252.283118,2075.812653,1396.421406,-992.255311,0.085983,126417.000000
1800,32400.000000,20.234725,-173041.689490,-173049.635648,2870.098494,1396.421406,-992.255311,0.085956,133792.000000
1900,32400.000000,21.018029,-173162.671260,-173170.925021,3274.973263,1396.421406,-992.255311,0.085946,141196.000000
2000,32400.000000,20.000000,-172891.371649,-172899.225631,1412.335557,1396.421406,-992.255311,0.085942,148682.000000
2100,32400.000000,23.065559,-172903.355139,-172912.412963,2662.257603,1396.421406,-992.255311,0.085944,156074.000000
2200,32400.000000,24.000000,-172999.760421,-173009.185199,1909.193319,1396.421406,-992.255311,0.085959,163470.000000
2300,32400.000000,24.000000,-172881.826666,-172891.251444,3769.736403,1396.421406,-992.255311,0.085953,170923.000000
2400,32400.000000,24.000000,-172780.672957,-172790.097735,1834.181071,1396.421406,-992.255311,0.085955,178369.000000
2500,32400.000000,24.000000,-173080.756162,-173090.180940,4070.253525,1396.421406,-992.255311,0.085943,185746.000000
2600,32400.000000,24.000000,-173191.944988,-173201.369766,3337.982563,1396.421406,-992.255311,0.085931,193160.000000
2700,32400.000000,24.000000,-173066.194420,-173075.619198,3161.342350,1396.421406,-992.255311,0.085920,200584.000000
2800,32400.000000,24.000000,-173061.757508,-173071.182286,1871.242060,1396.421406,-992.255311,0.085911,207992.000000
2900,32400.000000,24.000000,-173056.795289,-173066.220067,2414.638438,1396.421406,-992.255311,0.085910,215454.000000
3000,32400.000000,24.000000,-173116.218746,-173125.643524,3942.527139,1396.421406,-992.255311,0.085917,222994.000000
3100,32400.000000,24.000000,-172913.250775,-172922.675553,1887.359972,1396.421406,-992.255311,0.085918,230407.000000
3200,32400.000000,24.000000,-172727.463515,-172736.888293,2048.137765,1396.421406,-992.255311,0.085925,237870.000000
3300,32400.000000,24.000000,-173034.762115,-173044.186893,-2256.478031,1396.421406,-992.255311,0.085929,245394.000000
3400,32400.000000,24.000000,-173085.208536,-173094.633314,2287.491359,1396.421406,-992.255311,0.085929,252770.000000
3500,32400.000000,22.570247,-172959.584786,-172968.448101,1730.036336,1396.421406,-992.255311,0.085937,260206.000000
3600,32400.000000,24.000000,-172891.012994,-172900.437772,1110.936322,1396.421406,-992.255311,0.085934,267565.000000
3700,32400.000000,24.000000,-172845.127596,-172854.552374,-1355.026663,1396.421406,-992.255311,0.085927,274923.000000
3800,32400.000000,24.000000,-172877.894269,-172887.319047,-1244.299197,1396.421406,-992.255311,0.085928,282434.000000
