step,|phi|,Q_L,A_L,S_L,Xi_L,F_LRe,F_LIm,acc,dt
0,32400.000000,20.000000,-172725.309756,-172729.236746,3172.462651,805.733523,-1665.156956,0.084691,84.000000
100,32400.000000,20.157827,-172774.717164,-172778.675144,-1252.257308,805.733523,-1665.156956,0.085943,7463.000000
200,32400.000000,16.000000,-172781.169495,-172784.311088,-312.801601,805.733523,-1665.156956,0.085937,14910.000000
300,32400.000000,16.016767,-172928.471271,-172931.616156,2569.224284,805.733523,-1665.156956,0.086037,22527.000000
400,32400.000000,15.785592,-172827.339903,-172830.439397,3737.029466,805.733523,-1665.156956,0.086116,29932.000000
500,32400.000000,16.000000,-172954.725359,-172957.866952,2461.141102,805.733523,-1665.156956,0.086128,37291.000000
600,32400.000000,16.000000,-172595.271390,-172598.412983,2781.645497,805.733523,-1665.156956,0.086073,44676.000000
700,32400.000000,16.554408,-172580.207560,-172583.458010,3447.998566,805.733523,-1665.156956,0.086129,52042.000000
800,32400.000000,15.674215,-172553.122575,-172556.200200,1664.238755,805.733523,-1665.156956,0.086173,59483.000000
900,32400.000000,16.000000,-172932.610264,-172935.751857,1142.104515,805.733523,-1665.156956,0.086203,66948.000000
1000,32400.000000,16.000000,-172603.113328,-172606.254921,1363.871753,805.733523,-1665.156956,0.086192,74471.000000
1100,32400.000000,16.000000,-172917.084979,-172920.226572,981.471034,805.733523,-1665.156956,0.086150,81888.000000
1200,32400.000000,16.000000,-172691.606949,-172694.748541,654.974944,805.733523,-1665.156956,0.086139,89277.000000
1300,32400.000000,16.000000,-172992.779439,-172995.921032,-338.268144,805.733523,-1665.156956,0.086146,96743.000000
1400,32400.000000,16.000000,-172911.387311,-172914.528904,-325.091164,805.733523,-1665.156956,0.086136,104110.000000
1500,32400.000000,16.000000,-172667.320698,-172670.462291,578.768720,805.733523,-1665.156956,0.086128,111498.000000
1600,32400.000000,16.000000,-172828.791593,-172831.933185,-749.138654,805.733523,-1665.156956,0.086125,118864.000000
1700,32400.000000,16.000000,-172770.294618,-172773.436210,-726.916627,805.733523,-1665.156956,0.086124,126222.000000
1800,32400.000000,16.000000,-173091.002345,-173094.143938,1426.902904,805.733523,-1665.156956,0.086114,133776.000000
1900,32400.000000,16.000000,-173270.160464,-173273.302056,1495.631113,805.733523,-1665.156956,0.086102,141144.000000
2000,32400.000000,16.000000,-172881.148606,-172884.290199,1099.015915,805.733523,-1665.156956,0.086102,148529.000000
2100,32400.000000,16.000000,-173170.867801,-173174.009394,1491.988653,805.733523,-1665.156956,0.086089,155906.000000
2200,32400.000000,16.000000,-172804.667713,-172807.809306,1286.380941,805.733523,-1665.156956,0.086079,163339.000000
2300,32400.000000,16.000000,-173307.137105,-173310.278698,100.767955,805.733523,-1665.156956,0.086066,170755.000000
2400,32400.000000,16.000000,-172915.180986,-172918.322579,1098.845493,805.733523,-1665.156956,0.086070,178156.000000
2500,32400.000000,16.000000,-172959.571865,-172962.713457,1125.368735,805.733523,-1665.156956,0.086069,185552.000000
2600,32400.000000,16.000000,-172916.879836,-172920.021429,2065.893371,805.733523,-1665.156956,0.086067,193061.000000
2700,32400.000000,16.000000,-173050.024375,-173053.165967,1668.496587,805.733523,-1665.156956,0.086059,200488.000000
2800,32400.000000,12.000000,-173045.169267,-173047.525461,1964.991965,805.733523,-1665.156956,0.086038,207884.000000
2900,32400.000000,12.000000,-173080.488301,-173082.844495,1840.895875,805.733523,-1665.156956,0.086038,215426.000000
3000,32400.000000,12.000000,-172612.140438,-172614.496632,1180.614661,805.733523,-1665.156956,0.086043,222886.000000
3100,32400.000000,12.000000,-172749.916766,-172752.272961,2179.944582,805.733523,-1665.156956,0.086030,230284.000000
3200,32400.000000,12.000000,-172750.717109,-172753.073304,1094.789422,805.733523,-1665.156956,0.086020,237739.000000
3300,32400.000000,12.000000,-172757.502083,-172759.858278,-44.110707,805.733523,-1665.156956,0.086019,245113.000000
3400,32400.000000,11.981055,-172909.639034,-172911.991509,77.484364,805.733523,-1665.156956,0.086019,252718.000000
3500,32400.000000,12.000000,-172763.356536,-172765.712730,1885.251072,805.733523,-1665.156956,0.086010,260184.000000
3600,32400.000000,12.005775,-172751.799076,-172754.156405,1908.684969,805.733523,-1665.156956,0.086018,267570.000000
3700,32400.000000,12.000000,-172994.726678,-172997.082872,2407.138439,805.733523,-1665.156956,0.086010,275077.000000
