i,j,G_avg
0,0,0.367577
0,1,-0.237880
0,2,0.232720
0,3,-0.198989
0,4,0.232515
0,5,-0.229199
0,6,0.218213
0,7,-0.270359
1,0,0.209530
1,1,-0.217101
1,2,0.207168
1,3,-0.245286
1,4,0.240691
1,5,-0.234078
1,6,0.205338
1,7,-0.230083
2,0,0.181829
2,1,-0.150046
2,2,0.216187
2,3,-0.197209
2,4,0.196416
2,5,-0.161491
2,6,0.159742
2,7,-0.178831
3,0,0.173825
3,1,-0.129275
3,2,0.109452
3,3,-0.122298
3,4,0.106431
3,5,-0.116417
3,6,0.106824
3,7,-0.095374
4,0,0.115897
4,1,-0.094978
4,2,0.115961
4,3,-0.150159
4,4,0.113242
4,5,-0.152431
4,6,0.124183
4,7,-0.071397
5,0,0.144746
5,1,-0.187148
5,2,0.149877
5,3,-0.116122
5,4,0.092177
5,5,-0.133853
5,6,0.113372
5,7,-0.173822
6,0,0.209716
6,1,-0.205198
6,2,0.196060
6,3,-0.132472
6,4,0.139267
6,5,-0.089059
6,6,0.214885
6,7,-0.168448
7,0,0.209084
7,1,-0.245997
7,2,0.196031
7,3,-0.227309
7,4,0.172461
7,5,-0.205004
7,6,0.213907
7,7,-0.247954
