step,|phi|,Q_L,A_L,S_L,Xi_L,F_LRe,F_LIm,acc,dt
0,64.000000,43.635161,-89.163157,-123.434133,-2.970605,6.547964,0.992736,0.484375,0.000000
1,64.000000,35.312599,-143.297272,-171.031723,-3.893139,6.547964,0.992736,0.453125,0.000000
2,64.000000,30.749359,-160.907269,-185.057760,-2.295224,6.547964,0.992736,0.401042,0.000000
3,64.000000,26.067146,-171.079728,-191.552816,1.050155,6.547964,0.992736,0.351562,0.000000
4,64.000000,24.314471,-192.284978,-211.381519,1.832279,6.547964,0.992736,0.328125,0.000000
5,64.000000,29.358950,-192.805337,-215.863802,1.987128,6.547964,0.992736,0.309896,0.000000
6,64.000000,24.393166,-212.973780,-232.132128,-0.069908,6.547964,0.992736,0.294643,0.000000
7,64.000000,24.092101,-221.905630,-240.827522,0.039764,6.547964,0.992736,0.283203,0.000000
8,64.000000,27.111042,-209.245148,-230.538110,-3.955457,6.547964,0.992736,0.265625,0.000000
9,64.000000,22.082631,-221.510939,-238.854596,-7.983732,6.547964,0.992736,0.254688,0.000000
10,64.000000,20.505309,-230.309053,-246.413885,13.483218,6.547964,0.992736,0.241477,0.000000
11,64.000000,20.131630,-239.588525,-255.399870,-11.354075,6.547964,0.992736,0.247396,0.000000
12,64.000000,17.314486,-239.173386,-252.772151,-10.425333,6.547964,0.992736,0.239183,0.000000
13,64.000000,19.956659,-238.135857,-253.809780,-11.364515,6.547964,0.992736,0.234375,0.000000
14,64.000000,16.997249,-245.189377,-258.538985,-12.855867,6.547964,0.992736,0.227083,1.000000
15,64.000000,18.540615,-241.917723,-256.479487,-16.686542,6.547964,0.992736,0.222656,1.000000
16,64.000000,22.920286,-235.608505,-253.610055,-14.629722,6.547964,0.992736,0.217831,1.000000
17,64.000000,20.914509,-234.400164,-250.826381,-18.362897,6.547964,0.992736,0.212674,1.000000
18,64.000000,19.590553,-239.986851,-255.373235,-1.852907,6.547964,0.992736,0.213816,1.000000
19,64.000000,18.527443,-234.610147,-249.161567,-0.467764,6.547964,0.992736,0.210938,1.000000
20,64.000000,19.701480,-246.247582,-261.721088,0.242072,6.547964,0.992736,0.207589,1.000000
21,64.000000,17.607514,-253.668874,-267.497783,1.649730,6.547964,0.992736,0.204545,1.000000
22,64.000000,15.697589,-257.545380,-269.874237,15.470249,6.547964,0.992736,0.205842,1.000000
23,64.000000,16.675095,-263.467667,-276.564256,29.308446,6.547964,0.992736,0.201823,1.000000
24,64.000000,16.472102,-265.643017,-278.580175,31.331797,6.547964,0.992736,0.198750,1.000000
25,64.000000,15.122456,-271.129389,-283.006538,34.042525,6.547964,0.992736,0.195913,1.000000
26,64.000000,15.452299,-270.647411,-282.783618,34.975024,6.547964,0.992736,0.193866,1.000000
27,64.000000,14.664249,-269.371926,-280.889200,34.848031,6.547964,0.992736,0.189174,1.000000
28,64.000000,12.250026,-284.916832,-294.537980,36.598034,6.547964,0.992736,0.189116,1.000000
29,64.000000,13.031708,-284.523913,-294.758993,37.522272,6.547964,0.992736,0.191146,1.000000
30,64.000000,15.847379,-277.593612,-290.040115,36.516137,6.547964,0.992736,0.190020,1.000000
31,64.000000,13.301257,-279.726703,-290.173486,37.851558,6.547964,0.992736,0.188965,1.000000
32,64.000000,11.881828,-283.522348,-292.854314,36.708407,6.547964,0.992736,0.186553,1.000000
33,64.000000,10.517906,-288.819486,-297.080230,36.248048,6.547964,0.992736,0.184283,1.000000
34,64.000000,7.715696,-300.534785,-306.594678,39.332972,6.547964,0.992736,0.185268,1.000000
35,64.000000,10.025331,-300.449126,-308.323002,37.808334,6.547964,0.992736,0.184028,1.000000
36,64.000000,6.212265,-315.481539,-320.360641,38.784953,6.547964,0.992736,0.181166,1.000000
37,64.000000,6.358598,-315.018262,-320.012294,38.339139,6.547964,0.992736,0.180099,1.000000
38,64.000000,5.740647,-323.869523,-328.378217,38.739815,6.547964,0.992736,0.177484,1.000000
39,64.000000,5.593529,-324.009115,-328.402262,38.067961,6.547964,0.992736,0.175000,1.000000
40,64.000000,5.599311,-323.775071,-328.172759,38.913360,6.547964,0.992736,0.172637,1.000000
41,64.000000,5.616789,-324.781111,-329.192527,39.967151,6.547964,0.992736,0.171503,1.000000
42,64.000000,4.636050,-335.033469,-338.674614,39.762192,6.547964,0.992736,0.170785,1.000000
43,64.000000,4.304550,-338.895766,-342.276552,40.247638,6.547964,0.992736,0.169389,1.000000
44,64.000000,4.429308,-338.786923,-342.265694,40.772052,6.547964,0.992736,0.166667,1.000000
45,64.000000,4.354219,-339.539959,-342.959754,41.065080,6.547964,0.992736,0.163723,1.000000
46,64.000000,4.990337,-332.110040,-336.029441,40.614155,6.547964,0.992736,0.163231,1.000000
47,64.000000,4.943777,-329.930141,-333.812975,49.914730,6.547964,0.992736,0.162435,1.000000
48,64.000000,4.951915,-330.673197,-334.562422,50.090542,6.547964,0.992736,0.160395,1.000000
49,64.000000,4.932374,-330.320265,-334.194143,50.518375,6.547964,0.992736,0.159062,1.000000
50,64.000000,4.543308,-330.129550,-333.697856,50.483641,6.547964,0.992736,0.159007,1.000000
51,64.000000,4.405359,-331.267623,-334.727584,50.809491,6.547964,0.992736,0.156250,1.000000
52,64.000000,4.334422,-334.812733,-338.216980,51.052439,6.547964,0.992736,0.155366,1.000000
53,64.000000,4.482705,-331.581488,-335.102197,50.360957,6.547964,0.992736,0.153935,1.000000
54,64.000000,5.259856,-327.871496,-332.002577,49.539580,6.547964,0.992736,0.153693,1.000000
55,64.000000,4.719309,-335.165348,-338.871885,49.820031,6.547964,0.992736,0.152623,1.000000
56,64.000000,4.727462,-334.593827,-338.306768,50.188041,6.547964,0.992736,0.150493,1.000000
57,64.000000,4.160821,-340.988216,-344.256117,51.345955,6.547964,0.992736,0.149515,1.000000
58,64.000000,4.433471,-339.147320,-342.629360,50.299764,6.547964,0.992736,0.148040,1.000000
59,64.000000,4.535300,-336.494221,-340.056238,50.784236,6.547964,0.992736,0.146875,1.000000
60,64.000000,4.537554,-339.068855,-342.632641,50.652641,6.547964,0.992736,0.145492,1.000000
61,64.000000,4.500899,-339.166690,-342.701688,51.538227,6.547964,0.992736,0.144153,1.000000
62,64.000000,4.231502,-343.091787,-346.415201,51.392773,6.547964,0.992736,0.143105,1.000000
63,64.000000,4.334619,-340.824874,-344.229276,50.784199,6.547964,0.992736,0.142334,1.000000
