i,j,G_avg
0,0,0.254263
0,1,0.200993
0,2,0.159906
0,3,0.125471
0,4,0.016039
0,5,-0.009274
0,6,0.037538
0,7,-0.007828
0,8,0.150687
0,9,0.164178
1,0,0.205857
1,1,0.188192
1,2,0.151288
1,3,0.140983
1,4,-0.015873
1,5,0.028148
1,6,0.042055
1,7,0.007359
1,8,0.097480
1,9,0.174339
2,0,0.125042
2,1,0.160697
2,2,0.141125
2,3,0.074982
2,4,-0.001488
2,5,-0.000736
2,6,0.017231
2,7,-0.011316
2,8,0.056537
2,9,0.157911
3,0,0.087006
3,1,0.078568
3,2,0.108956
3,3,0.033857
3,4,-0.005414
3,5,-0.026337
3,6,-0.032457
3,7,0.000020
3,8,0.047127
3,9,0.174075
4,0,0.082146
4,1,0.050834
4,2,0.039853
4,3,0.047738
4,4,-0.004485
4,5,-0.004584
4,6,-0.022830
4,7,-0.015954
4,8,0.066608
4,9,0.160896
5,0,0.073167
5,1,0.087079
5,2,0.056028
5,3,0.052756
5,4,-0.010470
5,5,-0.036518
5,6,-0.051673
5,7,0.050520
5,8,0.090696
5,9,0.122306
6,0,0.084284
6,1,0.089431
6,2,0.088889
6,3,0.089752
6,4,0.008715
6,5,-0.005343
6,6,-0.013810
6,7,0.100844
6,8,0.112628
6,9,0.109426
7,0,0.115615
7,1,0.106806
7,2,0.080364
7,3,0.091226
7,4,0.033954
7,5,0.001317
7,6,-0.025088
7,7,0.073703
7,8,0.093794
7,9,0.115887
8,0,0.158279
8,1,0.141629
8,2,0.107337
8,3,0.080325
8,4,-0.006050
8,5,-0.037060
8,6,-0.009782
8,7,0.040784
8,8,0.104817
8,9,0.137347
9,0,0.184711
9,1,0.186291
9,2,0.168509
9,3,0.091135
9,4,0.009917
9,5,-0.027059
9,6,0.009509
9,7,-0.022462
9,8,0.093793
9,9,0.143732
