i,j,G_avg
0,0,0.367577
0,1,0.097071
0,2,0.098249
0,3,0.021425
0,4,0.142004
0,5,0.066410
0,6,0.035393
0,7,0.027867
1,0,0.281109
1,1,0.100661
1,2,0.109367
1,3,0.049866
1,4,0.089934
1,5,0.103431
1,6,0.094599
1,7,0.031994
2,0,0.226553
2,1,0.089160
2,2,0.112477
2,3,0.041169
2,4,0.133253
2,5,0.091213
2,6,0.111660
2,7,0.000988
3,0,0.146480
3,1,0.100527
3,2,0.181688
3,3,0.098031
3,4,0.083245
3,5,0.045878
3,6,0.115876
3,7,0.022549
4,0,0.124471
4,1,0.119850
4,2,0.167335
4,3,0.057577
4,4,0.028762
4,5,-0.001620
4,6,0.049203
4,7,0.115606
5,0,0.145071
5,1,0.086955
5,2,0.088433
5,3,0.075484
5,4,0.010604
5,5,0.027948
5,6,0.067645
5,7,0.137718
6,0,0.169408
6,1,0.134672
6,2,0.063795
6,3,0.019471
6,4,0.004458
6,5,-0.021386
6,6,0.025917
6,7,0.105286
7,0,0.235288
7,1,0.127327
7,2,0.086629
7,3,0.031325
7,4,0.061243
7,5,0.010781
7,6,0.032974
7,7,0.104477
