step,|phi|,Q_L,A_L,S_L,Xi_L,F_LRe,F_LIm,acc,dt
0,16.000000,16.507042,-12.873611,-38.802811,4.630711,0.378685,-1.490459,0.375000,0.000000
1,16.000000,15.457726,-24.098989,-48.379928,2.480095,0.378685,-1.490459,0.375000,0.000000
2,16.000000,5.708284,-47.695668,-56.662219,1.253430,0.378685,-1.490459,0.354167,0.000000
3,16.000000,5.801078,-48.667143,-57.779455,1.614672,0.378685,-1.490459,0.296875,0.000000
4,16.000000,2.756190,-57.769161,-62.098575,4.211577,0.378685,-1.490459,0.287500,0.000000
5,16.000000,3.444636,-64.405943,-69.816765,2.928592,0.378685,-1.490459,0.291667,0.000000
6,16.000000,2.788136,-69.927648,-74.307241,11.628879,0.378685,-1.490459,0.267857,0.000000
7,16.000000,1.908865,-66.508962,-69.507400,12.101340,0.378685,-1.490459,0.265625,0.000000
8,16.000000,1.834977,-68.243705,-71.126080,12.724700,0.378685,-1.490459,0.256944,0.000000
9,16.000000,2.081542,-67.391243,-70.660922,12.090498,0.378685,-1.490459,0.250000,0.000000
10,16.000000,1.843898,-75.515289,-78.411677,12.224787,0.378685,-1.490459,0.261364,0.000000
11,16.000000,1.843898,-75.515289,-78.411677,12.224787,0.378685,-1.490459,0.239583,0.000000
12,16.000000,1.843898,-75.515289,-78.411677,12.224787,0.378685,-1.490459,0.221154,0.000000
13,16.000000,1.592719,-79.715342,-82.217179,12.397972,0.378685,-1.490459,0.223214,0.000000
14,16.000000,1.710242,-79.504539,-82.190982,12.284403,0.378685,-1.490459,0.216667,0.000000
15,16.000000,2.404820,-71.632946,-75.410429,10.813039,0.378685,-1.490459,0.218750,0.000000
16,16.000000,2.037606,-73.589714,-76.790377,10.865854,0.378685,-1.490459,0.213235,0.000000
17,16.000000,1.395327,-81.584247,-83.776022,11.794197,0.378685,-1.490459,0.204861,0.000000
18,16.000000,1.290771,-83.830091,-85.857629,12.508210,0.378685,-1.490459,0.200658,0.000000
19,16.000000,1.136939,-85.634181,-87.420081,12.755909,0.378685,-1.490459,0.193750,0.000000
20,16.000000,1.172338,-84.813325,-86.654829,12.797303,0.378685,-1.490459,0.190476,0.000000
21,16.000000,1.170572,-84.073802,-85.912533,8.984491,0.378685,-1.490459,0.184659,0.000000
22,16.000000,1.105048,-84.537944,-86.273749,8.935059,0.378685,-1.490459,0.179348,0.000000
23,16.000000,1.334707,-82.030984,-84.127537,8.540464,0.378685,-1.490459,0.179688,0.000000
24,16.000000,1.473013,-80.650137,-82.963941,8.665296,0.378685,-1.490459,0.175000,0.000000
25,16.000000,1.264782,-81.920845,-83.907560,9.873354,0.378685,-1.490459,0.173077,0.000000
26,16.000000,1.264782,-81.920845,-83.907560,9.873354,0.378685,-1.490459,0.166667,0.000000
27,16.000000,1.187876,-81.518865,-83.384776,10.195638,0.378685,-1.490459,0.162946,0.000000
28,16.000000,1.187876,-81.518865,-83.384776,10.195638,0.378685,-1.490459,0.157328,0.000000
29,16.000000,1.112144,-81.913817,-83.660769,9.986374,0.378685,-1.490459,0.156250,0.000000
30,16.000000,1.295318,-80.619067,-82.653748,9.821633,0.378685,-1.490459,0.153226,0.000000
31,16.000000,1.565945,-78.694345,-81.154125,5.265068,0.378685,-1.490459,0.152344,0.000000
32,16.000000,1.565945,-78.694345,-81.154125,5.265068,0.378685,-1.490459,0.147727,0.000000
33,16.000000,1.751512,-77.522058,-80.273326,5.350445,0.378685,-1.490459,0.148897,0.000000
34,16.000000,1.554437,-78.207224,-80.648928,5.576935,0.378685,-1.490459,0.148214,0.000000
35,16.000000,1.391779,-78.892914,-81.079115,12.756945,0.378685,-1.490459,0.149306,0.000000
36,16.000000,1.651691,-79.958597,-82.553066,13.071257,0.378685,-1.490459,0.152027,0.000000
37,16.000000,1.812943,-80.372043,-83.219808,12.904513,0.378685,-1.490459,0.149671,0.000000
