step,|phi|,Q_L,A_L,S_L,Xi_L,F_LRe,F_LIm,acc,dt
0,64.000000,51.696644,-83.130136,-164.335034,-2.785386,4.062949,1.309125,0.453125,0.000000
1,64.000000,61.658206,-99.879755,-196.732239,-3.873138,4.062949,1.309125,0.421875,0.000000
2,64.000000,46.995115,-140.378451,-214.198204,-2.358379,4.062949,1.309125,0.390625,0.000000
3,64.000000,52.555401,-144.696480,-227.250311,-9.227184,4.062949,1.309125,0.359375,0.000000
4,64.000000,50.359917,-167.038203,-246.143376,-10.524996,4.062949,1.309125,0.325000,0.000000
5,64.000000,49.539449,-167.265132,-245.081517,-10.272110,4.062949,1.309125,0.302083,0.000000
6,64.000000,43.274887,-183.327425,-251.303459,-11.881854,4.062949,1.309125,0.290179,0.000000
7,64.000000,44.621883,-184.671415,-254.763305,-8.580435,4.062949,1.309125,0.271484,0.000000
8,64.000000,49.070770,-166.553192,-243.633377,-10.284256,4.062949,1.309125,0.267361,0.000000
9,64.000000,44.613347,-185.384438,-255.462921,-9.092617,4.062949,1.309125,0.257812,0.000000
10,64.000000,42.287740,-189.928048,-256.353475,-8.397769,4.062949,1.309125,0.245739,0.000000
11,64.000000,42.372384,-189.951297,-256.509683,-8.873583,4.062949,1.309125,0.233073,0.000000
12,64.000000,36.467245,-201.080996,-258.363610,-10.608983,4.062949,1.309125,0.229567,0.000000
13,64.000000,38.691021,-193.366435,-254.142149,-12.808196,4.062949,1.309125,0.223214,0.000000
14,64.000000,33.634192,-206.212001,-259.044466,-11.394022,4.062949,1.309125,0.219792,0.000000
15,64.000000,35.309446,-211.623342,-267.087291,-13.180854,4.062949,1.309125,0.215820,0.000000
16,64.000000,34.869127,-208.123463,-262.895759,-13.326372,4.062949,1.309125,0.219669,0.000000
17,64.000000,38.151398,-205.533927,-265.462003,-10.438893,4.062949,1.309125,0.217882,0.000000
18,64.000000,36.371550,-208.874252,-266.006549,-12.219648,4.062949,1.309125,0.217105,0.000000
19,64.000000,35.241995,-208.422205,-263.780201,-12.889612,4.062949,1.309125,0.213281,0.000000
20,64.000000,31.792478,-217.422751,-267.362259,-14.344625,4.062949,1.309125,0.209821,0.000000
