step,|phi|,Q_L,A_L,S_L,Xi_L,F_LRe,F_LIm,acc,dt
0,16.000000,20.473306,-1.541531,-65.860318,0.134173,0.809280,-0.737422,0.500000,0.000000
1,16.000000,19.003842,-4.739018,-64.441347,0.848619,0.809280,-0.737422,0.406250,0.000000
2,16.000000,21.457302,-15.246501,-82.656603,2.821638,0.809280,-0.737422,0.375000,0.000000
3,16.000000,21.539970,-18.521051,-86.190864,1.907166,0.809280,-0.737422,0.328125,0.000000
4,16.000000,21.200496,-19.467992,-86.071314,1.925110,0.809280,-0.737422,0.275000,0.000000
5,16.000000,27.671708,-2.155388,-89.088621,1.277030,0.809280,-0.737422,0.250000,0.000000
6,16.000000,29.459676,-6.615548,-99.165851,0.704508,0.809280,-0.737422,0.267857,0.000000
7,16.000000,28.542629,-11.342027,-101.011339,0.134219,0.809280,-0.737422,0.250000,0.000000
8,16.000000,28.542629,-11.342027,-101.011339,0.134219,0.809280,-0.737422,0.222222,0.000000
9,16.000000,26.590226,-18.335665,-101.871324,0.552314,0.809280,-0.737422,0.206250,0.000000
10,16.000000,28.054470,-19.352124,-107.487840,1.036260,0.809280,-0.737422,0.210227,0.000000
11,16.000000,28.054470,-19.352124,-107.487840,1.036260,0.809280,-0.737422,0.192708,0.000000
12,16.000000,27.869459,-22.786669,-110.341158,0.439374,0.809280,-0.737422,0.182692,0.000000
13,16.000000,29.310205,-17.808428,-109.889153,0.758066,0.809280,-0.737422,0.178571,0.000000
14,16.000000,29.626747,-18.520341,-111.595513,0.857589,0.809280,-0.737422,0.170833,0.000000
15,16.000000,28.257274,-22.348592,-111.121435,0.691285,0.809280,-0.737422,0.171875,0.000000
16,16.000000,28.257274,-22.348592,-111.121435,0.691285,0.809280,-0.737422,0.161765,0.000000
17,16.000000,27.553224,-24.887447,-111.448455,-0.259922,0.809280,-0.737422,0.156250,0.000000
18,16.000000,28.803996,-24.965463,-115.455884,0.368590,0.809280,-0.737422,0.151316,0.000000
19,16.000000,28.803996,-24.965463,-115.455884,0.368590,0.809280,-0.737422,0.143750,0.000000
20,16.000000,28.803996,-24.965463,-115.455884,0.368590,0.809280,-0.737422,0.136905,0.000000
21,16.000000,28.954267,-23.060864,-114.023377,-0.083606,0.809280,-0.737422,0.139205,0.000000
