i,j,G_avg
0,0,0.018183
0,1,0.010712
0,2,0.006104
0,3,0.004274
0,4,0.001047
0,5,0.008271
0,6,0.001240
0,7,0.001323
0,8,0.003317
0,9,0.000093
0,10,0.000159
0,11,-0.004751
0,12,-0.000961
0,13,0.001023
0,14,0.007402
0,15,0.002606
0,16,-0.002229
0,17,-0.000749
0,18,0.006693
0,19,0.005760
0,20,0.007375
0,21,0.006675
0,22,0.004536
0,23,0.008953
0,24,0.002034
0,25,0.005493
0,26,0.005720
0,27,0.008155
0,28,0.006105
0,29,0.002287
0,30,0.007976
0,31,0.008347
0,32,0.004341
0,33,-0.000606
0,34,0.007812
0,35,0.008358
0,36,0.005395
0,37,0.009649
0,38,0.011915
0,39,0.008313
1,0,0.013616
1,1,0.009207
1,2,0.004405
1,3,0.003320
1,4,-0.000886
1,5,0.005981
1,6,0.000802
1,7,-0.001781
1,8,0.004485
1,9,-0.001138
1,10,0.000003
1,11,-0.000771
1,12,0.000598
1,13,0.006380
1,14,0.006918
1,15,0.004859
1,16,0.000188
1,17,0.001956
1,18,0.006069
1,19,0.004795
1,20,0.008977
1,21,0.009542
1,22,0.004746
1,23,0.010854
1,24,0.002623
1,25,0.006633
1,26,0.006587
1,27,0.008217
1,28,0.004143
1,29,0.004771
1,30,0.010908
1,31,0.008465
1,32,0.001042
1,33,0.001421
1,34,0.005119
1,35,0.010527
1,36,0.004880
1,37,0.011488
1,38,0.011245
1,39,0.010065
2,0,0.010259
2,1,0.010057
2,2,0.004592
2,3,0.003794
2,4,-0.002174
2,5,0.006372
2,6,0.002845
2,7,0.002048
2,8,0.003076
2,9,0.002767
2,10,0.000393
2,11,0.001873
2,12,-0.001625
2,13,0.002664
2,14,0.005713
2,15,0.005757
2,16,-0.000621
2,17,0.000826
2,18,0.006784
2,19,0.003002
2,20,0.007291
2,21,0.010706
2,22,0.009964
2,23,0.008231
2,24,0.003526
2,25,0.007340
2,26,0.005367
2,27,0.010363
2,28,0.000746
2,29,0.003566
2,30,0.008318
2,31,0.007532
2,32,0.007430
