i,j,G_avg
0,0,0.018183
0,1,0.013208
0,2,0.008929
0,3,0.004944
0,4,-0.002570
0,5,-0.001845
0,6,-0.006029
0,7,-0.007384
0,8,-0.003782
0,9,-0.001469
0,10,0.001902
0,11,0.000875
0,12,0.003532
0,13,0.000263
0,14,-0.005208
0,15,-0.004037
0,16,-0.007494
0,17,-0.008670
0,18,-0.005578
0,19,-0.003850
0,20,0.001091
0,21,0.001922
0,22,0.001717
0,23,0.002399
0,24,0.001661
0,25,0.001156
0,26,-0.006683
0,27,-0.006335
0,28,-0.004747
0,29,-0.005301
0,30,-0.002736
0,31,-0.000640
0,32,0.002484
0,33,0.005017
0,34,0.003160
0,35,-0.002144
0,36,0.002059
0,37,0.005092
0,38,0.010851
0,39,0.005477
1,0,0.014972
1,1,0.010926
1,2,0.010625
1,3,0.005158
1,4,-0.002891
1,5,-0.001065
1,6,0.000273
1,7,-0.006217
1,8,-0.003262
1,9,-0.003251
1,10,0.003140
1,11,0.006614
1,12,0.006389
1,13,0.001247
1,14,-0.005109
1,15,-0.000164
1,16,-0.003036
1,17,-0.006240
1,18,-0.003066
1,19,-0.004756
1,20,0.001982
1,21,0.003515
1,22,0.005885
1,23,0.004392
1,24,0.003660
1,25,0.002959
1,26,-0.007213
1,27,-0.004972
1,28,-0.005190
1,29,-0.002989
1,30,-0.000162
1,31,-0.000151
1,32,-0.003299
1,33,0.004061
1,34,-0.001714
1,35,-0.000510
1,36,0.001395
1,37,0.007485
1,38,0.010467
1,39,0.010492
2,0,0.014438
2,1,0.014000
2,2,0.008876
2,3,0.001959
2,4,-0.005244
2,5,0.002605
2,6,0.003286
2,7,-0.004074
2,8,-0.001066
2,9,-0.002839
2,10,0.002426
2,11,0.008651
2,12,0.001374
2,13,-0.005377
2,14,-0.005702
2,15,-0.000230
2,16,-0.000970
2,17,-0.004835
2,18,-0.002695
2,19,-0.003776
2,20,0.003200
2,21,0.004120
2,22,0.008308
2,23,0.002797
2,24,-0.003181
2,25,0.000900
2,26,-0.004085
2,27,-0.001593
2,28,-0.006040
2,29,-0.005165
2,30,-0.002936
2,31,-0.002229
2,32,-0.001354
2,33,-0.000580
2,34,-0.005968
2,35,-0.001836
2,36,0.003866
2,37,0.006502
2,38,0.010011
2,39,0.008154
3,0,0.012149
3,1,0.013194
3,2,0.008343
3,3,0.001011
3,4,-0.002115
3,5,0.001180
3,6,0.001369
3,7,-0.001232
3,8,-0.000267
3,9,-0.000252
3,10,0.005672
3,11,0.008682
3,12,0.000137
3,13,-0.005997
3,14,-0.008178
3,15,-0.003328
3,16,-0.002211
3,17,-0.003319
3,18,0.001139
3,19,0.000969
3,20,0.003792
3,21,0.003357
3,22,0.007242
3,23,0.003422
3,24,-0.000667
3,25,0.000706
3,26,-0.002850
3,27,0.000244
3,28,-0.006793
3,29,-0.004459
3,30,-0.001339
3,31,-0.003874
3,32,-0.001156
3,33,-0.001782
3,34,-0.007079
3,35,-0.000643
3,36,0.006061
3,37,0.008171
3,38,0.004454
3,39,0.008220
4,0,0.010554
4,1,0.013583
4,2,0.006190
4,3,-0.002011
4,4,-0.002633
4,5,0.001358
4,6,-0.004113
4,7,-0.005406
4,8,-0.003275
4,9,-0.000328
4,10,0.004845
4,11,0.004946
4,12,0.000460
4,13,-0.002667
4,14,-0.004247
4,15,-0.002484
4,16,0.001082
4,17,-0.001725
4,18,0.002127
4,19,0.000127
4,20,-0.001244
4,21,0.002391
4,22,0.006312
4,23,0.000199
4,24,0.001427
4,25,0.003652
4,26,-0.001597
4,27,0.000635
4,28,-0.002348
4,29,-0.005816
4,30,-0.001472
4,31,-0.006242
4,32,-0.002921
4,33,-0.001571
4,34,-0.005151
4,35,-0.000007
4,36,0.006075
4,37,0.008595
4,38,0.003647
4,39,0.004033
5,0,0.008728
5,1,0.011173
5,2,0.004480
5,3,-0.001001
5,4,-0.003748
5,5,-0.003160
5,6,-0.006082
5,7,-0.004978
5,8,-0.003604
5,9,-0.000906
5,10,0.004638
5,11,0.001916
5,12,-0.000873
5,13,-0.005111
5,14,-0.004327
5,15,-0.002708
5,16,-0.003652
5,17,-0.001219
5,18,0.000056
5,19,-0.002642
5,20,-0.003823
5,21,0.000892
5,22,0.005353
5,23,0.000087
5,24,0.006569
5,25,0.002494
5,26,-0.003240
5,27,-0.001292
5,28,-0.003697
5,29,-0.007009
5,30,-0.003366
5,31,-0.000620
5,32,-0.004067
5,33,-0.005603
5,34,0.000147
5,35,0.001817
5,36,0.004943
5,37,0.005378
5,38,0.006962
5,39,0.006267
6,0,0.008466
6,1,0.008658
6,2,0.003332
6,3,-0.001259
6,4,-0.003705
6,5,-0.000249
6,6,-0.000969
6,7,-0.005926
6,8,-0.002475
6,9,0.002972
6,10,0.004817
6,11,0.002490
6,12,-0.004443
6,13,-0.006024
6,14,-0.006652
6,15,-0.007799
6,16,-0.008586
6,17,-0.005983
6,18,-0.003934
6,19,-0.006918
6,20,-0.009753
6,21,-0.003329
6,22,0.005366
6,23,0.001523
6,24,0.006036
6,25,0.003572
6,26,0.000621
6,27,-0.003779
6,28,-0.005577
6,29,-0.007381
6,30,0.000537
6,31,0.002921
6,32,-0.002200
6,33,-0.005655
6,34,0.000840
6,35,0.008477
6,36,0.007468
6,37,0.006888
6,38,0.006415
6,39,0.010511
7,0,0.009727
7,1,0.006362
7,2,0.007622
7,3,0.003294
7,4,-0.001185
7,5,0.001293
7,6,-0.000871
7,7,-0.003330
7,8,-0.000804
7,9,0.005812
7,10,0.008193
7,11,0.000192
7,12,-0.005237
7,13,-0.004333
7,14,-0.005075
7,15,-0.005955
7,16,-0.007598
7,17,-0.007945
7,18,-0.006737
7,19,-0.009151
7,20,-0.008070
7,21,-0.007661
7,22,0.002276
7,23,0.002859
7,24,-0.000877
7,25,-0.000012
7,26,0.000120
7,27,-0.002824
7,28,-0.004713
7,29,-0.003381
7,30,0.001266
7,31,0.004524
7,32,0.000178
7,33,-0.004339
7,34,0.002616
7,35,0.005032
7,36,0.005559
7,37,0.006237
7,38,0.007592
7,39,0.011197
8,0,0.007059
8,1,0.006185
8,2,0.004326
8,3,0.005446
8,4,0.001806
8,5,0.001581
8,6,-0.001763
8,7,-0.000850
8,8,0.004452
8,9,0.007888
8,10,0.003371
8,11,0.001784
8,12,-0.003009
8,13,-0.002726
8,14,-0.003052
8,15,-0.002686
8,16,-0.005760
8,17,-0.009435
8,18,-0.005643
8,19,-0.009376
8,20,-0.003913
8,21,-0.004327
8,22,0.003107
8,23,0.003199
8,24,-0.001268
8,25,-0.006773
8,26,-0.006758
8,27,-0.006607
8,28,-0.005590
8,29,-0.007798
8,30,-0.000854
8,31,0.003321
8,32,-0.001835
8,33,-0.005480
8,34,0.001017
8,35,0.004541
8,36,0.006036
8,37,0.004721
8,38,0.005796
8,39,0.009939
9,0,0.006124
9,1,0.006241
9,2,0.005513
9,3,0.008193
9,4,0.004298
9,5,0.002440
9,6,-0.000659
9,7,0.000180
9,8,0.002066
9,9,0.006378
9,10,0.006062
9,11,0.001464
9,12,-0.002540
9,13,0.002806
9,14,0.001091
9,15,0.002517
9,16,-0.000496
9,17,-0.005978
9,18,-0.005165
9,19,-0.008626
9,20,-0.004725
9,21,-0.000720
9,22,0.005435
9,23,0.002064
9,24,-0.003213
9,25,-0.006928
9,26,-0.010490
9,27,-0.009442
9,28,-0.003305
9,29,-0.005117
9,30,0.000780
9,31,0.006143
9,32,-0.001550
9,33,-0.004599
9,34,-0.004466
9,35,0.003363
9,36,0.003549
9,37,0.004227
9,38,0.005123
9,39,0.007492
10,0,0.012812
10,1,0.008845
10,2,0.009453
10,3,0.007556
10,4,-0.001123
10,5,0.000197
10,6,-0.001756
10,7,0.004701
10,8,0.003799
10,9,0.004990
10,10,0.002134
10,11,-0.002630
10,12,-0.001270
10,13,0.005542
10,14,0.000599
10,15,0.001759
10,16,-0.001444
10,17,-0.005643
10,18,-0.001945
10,19,-0.004102
10,20,-0.003371
10,21,-0.002692
10,22,0.006819
10,23,0.000869
10,24,-0.002857
10,25,-0.007056
10,26,-0.007502
10,27,-0.009676
10,28,-0.002978
10,29,-0.000234
10,30,0.004508
10,31,0.007846
10,32,0.002524
10,33,-0.003384
10,34,-0.004790
10,35,-0.000640
10,36,0.000949
10,37,0.003433
10,38,0.005061
10,39,0.006903
11,0,0.010706
11,1,0.007596
11,2,0.007674
11,3,0.003442
11,4,-0.000881
11,5,-0.002578
11,6,-0.003528
11,7,0.002879
11,8,0.005221
11,9,0.003695
11,10,0.000202
11,11,-0.004545
11,12,-0.001590
11,13,0.005395
11,14,0.000506
11,15,-0.002948
11,16,-0.003953
11,17,-0.006481
11,18,-0.002879
11,19,-0.007771
11,20,-0.005656
11,21,-0.001097
11,22,0.005136
11,23,-0.000705
11,24,-0.006542
11,25,-0.003178
11,26,-0.009270
11,27,-0.004189
11,28,0.000151
11,29,-0.001402
11,30,0.004659
11,31,0.008244
11,32,0.005048
11,33,-0.000498
11,34,0.000025
11,35,-0.001717
11,36,0.003857
11,37,0.003872
11,38,0.004331
11,39,0.006906
12,0,0.008240
12,1,0.004584
12,2,0.004160
12,3,0.001375
12,4,-0.003228
12,5,0.001358
12,6,-0.000027
12,7,0.006163
12,8,0.007286
12,9,0.005532
12,10,0.000303
12,11,-0.002178
12,12,-0.000868
12,13,0.004067
12,14,0.001221
12,15,-0.002693
12,16,-0.004552
12,17,-0.004826
12,18,-0.002333
12,19,-0.008372
12,20,0.003137
12,21,0.002946
12,22,0.000304
12,23,-0.003561
12,24,-0.006533
12,25,-0.002945
12,26,-0.009550
12,27,-0.002440
12,28,-0.003770
12,29,-0.000571
12,30,0.004711
12,31,0.006420
12,32,0.006495
12,33,-0.001931
12,34,-0.002841
12,35,-0.001446
12,36,0.001723
12,37,0.001225
12,38,0.002747
12,39,0.006618
13,0,0.008933
13,1,0.004089
13,2,0.007335
13,3,0.001276
13,4,-0.002656
13,5,0.002047
13,6,0.002498
13,7,0.002850
13,8,0.007202
13,9,0.006152
13,10,0.003509
13,11,0.004781
13,12,0.003256
13,13,0.004389
13,14,0.002088
13,15,-0.002466
13,16,-0.006554
13,17,-0.007757
13,18,-0.003662
13,19,-0.006444
13,20,0.006176
13,21,0.003299
13,22,0.002662
13,23,-0.001760
13,24,-0.001806
13,25,0.000772
13,26,-0.006108
13,27,-0.005458
13,28,-0.003437
13,29,-0.001447
13,30,0.004194
13,31,0.003197
13,32,0.003150
13,33,-0.000963
13,34,-0.001999
13,35,0.001278
13,36,-0.001245
13,37,-0.003497
13,38,0.001736
13,39,0.009204
14,0,0.008627
14,1,0.003475
14,2,0.004686
14,3,-0.003809
14,4,-0.000958
14,5,-0.002121
14,6,-0.000255
14,7,0.003409
14,8,0.008781
14,9,0.008131
14,10,0.004470
14,11,0.006617
14,12,0.008354
14,13,0.003169
14,14,0.004571
14,15,-0.002276
14,16,-0.003631
14,17,-0.008289
14,18,-0.004294
14,19,-0.000315
14,20,0.004360
14,21,0.000254
14,22,0.004473
14,23,0.003828
14,24,-0.000967
14,25,-0.000014
14,26,-0.000931
14,27,0.000176
14,28,-0.004954
14,29,-0.005242
14,30,0.001233
14,31,0.002434
14,32,0.002733
14,33,0.002666
14,34,-0.002122
14,35,-0.002253
14,36,-0.002740
14,37,-0.002174
14,38,0.007696
14,39,0.008702
15,0,0.005726
15,1,0.003531
15,2,0.003399
15,3,-0.000007
15,4,-0.002014
15,5,-0.003216
15,6,0.001573
15,7,0.005710
15,8,0.005660
15,9,0.005567
15,10,0.005060
15,11,0.003804
15,12,0.007993
15,13,0.006060
15,14,0.001915
15,15,-0.004114
15,16,-0.001653
15,17,-0.005098
15,18,-0.004749
15,19,0.003093
15,20,0.005184
15,21,0.005395
15,22,0.007828
15,23,0.004055
15,24,0.001756
15,25,0.004108
15,26,0.004176
15,27,-0.001154
15,28,-0.005314
15,29,-0.003723
15,30,-0.002108
15,31,0.001330
15,32,0.001064
15,33,0.001720
15,34,-0.001818
15,35,-0.004909
15,36,-0.003412
15,37,-0.001401
15,38,0.007302
15,39,0.004994
16,0,0.004025
16,1,0.003405
16,2,-0.000222
16,3,-0.002163
16,4,0.000315
16,5,-0.002259
16,6,0.000592
16,7,0.005342
16,8,0.010062
16,9,0.008558
16,10,0.003950
16,11,-0.001359
16,12,0.007164
16,13,0.009174
16,14,0.000986
16,15,-0.004742
16,16,-0.001611
16,17,-0.002263
16,18,-0.003030
16,19,0.000300
16,20,0.001915
16,21,0.007812
16,22,0.005560
16,23,0.003429
16,24,0.005811
16,25,0.003155
16,26,0.004981
16,27,-0.004370
16,28,-0.004777
16,29,-0.001459
16,30,-0.000560
16,31,-0.001531
16,32,-0.001943
16,33,0.000634
16,34,-0.002837
16,35,-0.002306
16,36,-0.000108
16,37,0.002752
16,38,0.004265
16,39,0.000474
17,0,0.003530
17,1,0.004043
17,2,-0.001409
17,3,-0.000927
17,4,-0.000231
17,5,-0.001981
17,6,0.003220
17,7,0.003110
17,8,0.006823
17,9,0.007531
17,10,0.003833
17,11,0.000330
17,12,0.003005
17,13,0.010265
17,14,0.001448
17,15,-0.004539
17,16,-0.004344
17,17,0.001173
17,18,-0.001871
17,19,-0.000175
17,20,0.000630
17,21,0.004042
17,22,0.004413
17,23,0.003789
17,24,0.004862
17,25,0.001353
17,26,0.003288
17,27,-0.004374
17,28,-0.004923
17,29,-0.002556
17,30,0.001037
17,31,-0.004450
17,32,-0.005126
17,33,0.002437
17,34,-0.002049
17,35,-0.004359
17,36,0.002004
17,37,-0.003451
17,38,-0.003409
17,39,-0.001462
18,0,0.003968
18,1,0.002320
18,2,-0.001120
18,3,-0.000436
18,4,0.004574
18,5,0.005252
18,6,0.006437
18,7,0.005351
18,8,0.005595
18,9,0.003988
18,10,-0.001371
18,11,0.000819
18,12,0.002080
18,13,0.009433
18,14,-0.001874
18,15,-0.006279
18,16,-0.001082
18,17,-0.001127
18,18,-0.000405
18,19,0.001535
18,20,-0.002001
18,21,-0.000353
18,22,0.007767
18,23,0.006569
18,24,0.004944
18,25,-0.001464
18,26,0.000047
18,27,-0.002476
18,28,-0.003189
18,29,-0.001028
18,30,0.000947
18,31,-0.002623
18,32,-0.001648
18,33,0.000696
18,34,0.001043
18,35,-0.002187
18,36,0.000685
18,37,-0.003901
18,38,-0.001385
18,39,-0.001868
19,0,0.003511
19,1,0.000472
19,2,-0.002415
19,3,0.001945
19,4,0.003502
19,5,0.008556
19,6,0.010109
19,7,0.005448
19,8,0.005607
19,9,0.002527
19,10,-0.001782
19,11,0.002567
19,12,0.004227
19,13,0.009705
19,14,-0.003041
19,15,-0.006927
19,16,-0.001207
19,17,-0.001454
19,18,0.000891
19,19,0.000019
19,20,0.001695
19,21,0.004585
19,22,0.004141
19,23,0.006633
19,24,0.007217
19,25,-0.001199
19,26,-0.004403
19,27,-0.003499
19,28,-0.001672
19,29,0.002163
19,30,0.006298
19,31,0.002725
19,32,-0.000911
19,33,0.001797
19,34,0.001982
19,35,0.000409
19,36,0.001445
19,37,0.001082
19,38,-0.001045
19,39,0.001542
20,0,-0.001946
20,1,0.000970
20,2,-0.002990
20,3,0.001680
20,4,0.004604
20,5,0.012440
20,6,0.012598
20,7,0.011133
20,8,0.006582
20,9,0.003021
20,10,0.002309
20,11,0.006616
20,12,0.004392
20,13,0.006691
20,14,-0.001064
20,15,-0.004427
20,16,-0.004987
20,17,-0.005347
20,18,-0.003209
20,19,-0.001483
20,20,-0.001347
20,21,0.003638
20,22,0.005582
20,23,0.006848
20,24,0.004616
20,25,0.001950
20,26,-0.001937
20,27,-0.002974
20,28,0.002321
20,29,0.004625
20,30,0.003317
20,31,0.001832
20,32,-0.002895
20,33,0.002831
20,34,0.004694
20,35,0.001146
20,36,0.003804
20,37,0.003707
20,38,-0.002180
20,39,-0.001566
21,0,0.001495
21,1,-0.001600
21,2,-0.003310
21,3,-0.002783
21,4,0.002334
21,5,0.010713
21,6,0.008089
21,7,0.011925
21,8,0.006703
21,9,0.005161
21,10,0.005653
21,11,0.006663
21,12,0.006592
21,13,0.001336
21,14,-0.003768
21,15,-0.005123
21,16,-0.006364
21,17,-0.006526
21,18,-0.003995
21,19,-0.002155
21,20,-0.001968
21,21,-0.002339
21,22,0.004082
21,23,0.001962
21,24,0.006717
21,25,0.000680
21,26,-0.000569
21,27,-0.002156
21,28,0.001278
21,29,0.003329
21,30,0.004326
21,31,0.005599
21,32,0.001162
21,33,0.006858
21,34,0.006825
21,35,0.007271
21,36,0.005665
21,37,0.001446
21,38,-0.001477
21,39,-0.002219
22,0,-0.000121
22,1,-0.003080
22,2,-0.002982
22,3,0.001743
22,4,0.002256
22,5,0.009863
22,6,0.012304
22,7,0.009674
22,8,0.006048
22,9,0.004394
22,10,0.006801
22,11,0.009243
22,12,0.008558
22,13,0.000536
22,14,-0.004963
22,15,-0.006972
22,16,0.000618
22,17,-0.002079
22,18,-0.000693
22,19,0.000206
22,20,0.003785
22,21,-0.004085
22,22,-0.000008
22,23,0.002330
22,24,0.005000
22,25,-0.002205
22,26,-0.004904
22,27,-0.000001
22,28,0.001823
22,29,0.000589
22,30,0.001000
22,31,0.002965
22,32,0.006683
22,33,0.009090
22,34,0.007445
22,35,0.007202
22,36,0.005074
22,37,-0.000266
22,38,0.000666
22,39,-0.003632
23,0,-0.002314
23,1,-0.004736
23,2,-0.004540
23,3,-0.001454
23,4,-0.000604
23,5,0.009394
23,6,0.011039
23,7,0.007774
23,8,0.005335
23,9,0.005070
23,10,0.007016
23,11,0.005903
23,12,0.006420
23,13,0.000692
23,14,-0.004559
23,15,-0.005055
23,16,0.001809
23,17,-0.001927
23,18,0.002513
23,19,0.000876
23,20,0.006070
23,21,-0.002238
23,22,0.001257
23,23,0.001183
23,24,0.002415
23,25,-0.000724
