step,|phi|,Q_L,A_L,S_L,Xi_L,F_LRe, F_LIm, acc
0,100.000000,3.523079,-147.744121,-158.812199,2.988006,4.415365,0.915387,0.440000
1,100.000000,13.237280,-235.792688,-277.378828,3.502511,4.415365,0.915387,0.410000
2,100.000000,15.874697,-285.275380,-335.147212,10.368149,4.415365,0.915387,0.356667
3,100.000000,15.674898,-302.615739,-351.859883,10.720400,4.415365,0.915387,0.330000
4,100.000000,17.512214,-312.048190,-367.064434,13.972512,4.415365,0.915387,0.290000
5,100.000000,18.710916,-321.458574,-380.240650,16.167791,4.415365,0.915387,0.271667
6,100.000000,17.246443,-330.080733,-384.262031,16.960610,4.415365,0.915387,0.245714
7,100.000000,17.522267,-344.605941,-399.653767,17.969857,4.415365,0.915387,0.230000
8,100.000000,17.522267,-351.303978,-406.351804,17.214383,4.415365,0.915387,0.216667
9,100.000000,21.822988,-354.944777,-423.503716,15.747707,4.415365,0.915387,0.214000
10,100.000000,21.977309,-363.467434,-432.511188,12.497969,4.415365,0.915387,0.211818
11,100.000000,22.204428,-356.757136,-426.514404,13.620807,4.415365,0.915387,0.206667
12,100.000000,21.197219,-364.024713,-430.617741,12.475749,4.415365,0.915387,0.196154
13,100.000000,22.165842,-363.766584,-433.402630,11.428930,4.415365,0.915387,0.193571
14,100.000000,20.789130,-368.796172,-434.107150,12.375515,4.415365,0.915387,0.188667
15,100.000000,20.789130,-369.455564,-434.766541,10.748285,4.415365,0.915387,0.182500
16,100.000000,20.718092,-373.023632,-438.111438,9.246548,4.415365,0.915387,0.179412
17,100.000000,20.487291,-378.102167,-442.464889,10.264174,4.415365,0.915387,0.176111
18,100.000000,20.135404,-378.370372,-441.627608,12.146256,4.415365,0.915387,0.172632
19,100.000000,20.840469,-382.949092,-448.421356,10.584730,4.415365,0.915387,0.172000
20,100.000000,21.102828,-384.789809,-451.086297,11.567826,4.415365,0.915387,0.167619
21,100.000000,21.726712,-378.816501,-447.072981,9.773945,4.415365,0.915387,0.163636
22,100.000000,21.497116,-383.922331,-451.457513,10.617777,4.415365,0.915387,0.162174
23,100.000000,21.716821,-377.103087,-445.328491,10.661102,4.415365,0.915387,0.160000
24,100.000000,21.632194,-381.134107,-449.093648,13.548178,4.415365,0.915387,0.159600
25,100.000000,21.639570,-379.116113,-447.098827,13.246246,4.415365,0.915387,0.157308
26,100.000000,21.639570,-383.891529,-451.874243,11.760236,4.415365,0.915387,0.155185
27,100.000000,21.645768,-388.016664,-456.018851,10.517034,4.415365,0.915387,0.153214
28,100.000000,22.100484,-391.890937,-461.321653,7.787168,4.415365,0.915387,0.153103
29,100.000000,20.142009,-393.201530,-456.479516,9.136804,4.415365,0.915387,0.150667
30,100.000000,20.142009,-391.348170,-454.626156,8.363720,4.415365,0.915387,0.148065
31,100.000000,21.410714,-388.268869,-455.532610,8.464571,4.415365,0.915387,0.147187
32,100.000000,20.765159,-387.036670,-452.272341,7.922413,4.415365,0.915387,0.145758
33,100.000000,19.956835,-393.519165,-456.215410,9.029107,4.415365,0.915387,0.145294
34,100.000000,19.956835,-392.829379,-455.525625,17.334119,4.415365,0.915387,0.143143
35,100.000000,19.191776,-391.906767,-452.199510,14.719804,4.415365,0.915387,0.143056
36,100.000000,19.721028,-390.158273,-452.113710,15.295535,4.415365,0.915387,0.143514
37,100.000000,18.551290,-400.932312,-459.212908,16.593580,4.415365,0.915387,0.143684
38,100.000000,18.383472,-396.991868,-454.745248,20.065237,4.415365,0.915387,0.143077
39,100.000000,17.835361,-403.381755,-459.413196,22.255865,4.415365,0.915387,0.142750
40,100.000000,17.009401,-398.690621,-452.127230,23.045522,4.415365,0.915387,0.142195
41,100.000000,17.634245,-405.209256,-460.608872,21.256246,4.415365,0.915387,0.142143
42,100.000000,18.087965,-405.342970,-462.167988,20.337633,4.415365,0.915387,0.141860
43,100.000000,18.836457,-403.975343,-463.151818,21.160070,4.415365,0.915387,0.140455
44,100.000000,18.740719,-405.953915,-464.829619,17.474001,4.415365,0.915387,0.140222
45,100.000000,17.902606,-405.699478,-461.942174,18.398218,4.415365,0.915387,0.140000
46,100.000000,16.916283,-409.344308,-462.488380,19.771599,4.415365,0.915387,0.140213
47,100.000000,17.689432,-410.199304,-465.772293,19.154931,4.415365,0.915387,0.138333
48,100.000000,17.642980,-407.893732,-463.320789,19.247472,4.415365,0.915387,0.137755
49,100.000000,17.444543,-408.584114,-463.387763,17.489557,4.415365,0.915387,0.136600
50,100.000000,17.444543,-405.022941,-459.826589,14.687006,4.415365,0.915387,0.135882
51,100.000000,17.509786,-411.240649,-466.249265,16.520296,4.415365,0.915387,0.135577
52,100.000000,17.312812,-412.945072,-467.334873,17.764969,4.415365,0.915387,0.135849
53,100.000000,17.605403,-416.810851,-472.119856,18.571668,4.415365,0.915387,0.135185
54,100.000000,16.351648,-419.061551,-470.431767,21.317129,4.415365,0.915387,0.133818
55,100.000000,18.386131,-414.063771,-471.825506,21.485718,4.415365,0.915387,0.133929
56,100.000000,18.272467,-412.529125,-469.933772,20.163656,4.415365,0.915387,0.133684
57,100.000000,17.129555,-411.795764,-465.609847,22.805445,4.415365,0.915387,0.133276
58,100.000000,17.673971,-409.745994,-465.270411,22.584017,4.415365,0.915387,0.131864
59,100.000000,17.809040,-406.986821,-462.935570,19.315911,4.415365,0.915387,0.131500
60,100.000000,18.341142,-414.277422,-471.897818,23.703067,4.415365,0.915387,0.131148
61,100.000000,18.035775,-416.255787,-472.916844,23.705167,4.415365,0.915387,0.130484
62,100.000000,18.037810,-419.282177,-475.949627,23.239726,4.415365,0.915387,0.129524
63,100.000000,17.587111,-418.263892,-473.515431,20.232689,4.415365,0.915387,0.128906
64,100.000000,18.118829,-412.166631,-469.088610,18.238854,4.415365,0.915387,0.128615
65,100.000000,17.565793,-408.773325,-463.957890,2.762072,4.415365,0.915387,0.128333
66,100.000000,17.626769,-404.711708,-460.087836,2.948610,4.415365,0.915387,0.127761
67,100.000000,18.292961,-416.807428,-474.276459,9.053880,4.415365,0.915387,0.127794
68,100.000000,18.407808,-415.308047,-473.137880,9.778128,4.415365,0.915387,0.126812
69,100.000000,18.407808,-409.689694,-467.519527,10.651059,4.415365,0.915387,0.127429
70,100.000000,18.462045,-411.087206,-469.087430,11.858654,4.415365,0.915387,0.126620
71,100.000000,18.462045,-411.946482,-469.946705,14.034974,4.415365,0.915387,0.126250
