i,j,G_avg
0,0,0.018183
0,1,0.010233
0,2,0.009254
0,3,0.007853
0,4,0.003422
0,5,0.007874
0,6,0.001491
0,7,0.003649
0,8,0.003425
0,9,-0.003046
0,10,-0.001859
0,11,-0.003053
0,12,0.004871
0,13,-0.003918
0,14,0.009189
0,15,0.001161
0,16,-0.004371
0,17,-0.003150
0,18,0.003908
0,19,0.005298
0,20,0.007938
0,21,0.001324
0,22,0.003342
0,23,0.007001
0,24,0.001647
0,25,0.009673
0,26,0.004164
0,27,0.006542
0,28,0.003061
0,29,-0.007418
0,30,-0.004285
0,31,0.000519
0,32,0.002190
0,33,-0.001643
0,34,0.004372
0,35,0.006137
0,36,0.000861
0,37,0.006960
0,38,0.008978
0,39,0.007461
1,0,0.012897
1,1,0.008632
1,2,0.010234
1,3,0.006985
1,4,0.002947
1,5,0.006013
1,6,0.001238
1,7,0.000306
1,8,0.004312
1,9,-0.004610
1,10,0.000643
1,11,0.001580
1,12,0.003817
1,13,0.004617
1,14,0.009169
1,15,0.004509
1,16,0.000844
1,17,0.001273
1,18,0.005200
1,19,0.004303
1,20,0.008453
1,21,0.006870
1,22,0.006341
1,23,0.008904
1,24,0.002274
1,25,0.006947
1,26,0.004532
1,27,0.006669
1,28,0.004167
1,29,-0.000571
1,30,0.001502
1,31,0.004825
1,32,-0.001728
1,33,-0.001226
1,34,0.000965
1,35,0.007400
1,36,-0.000244
1,37,0.006922
1,38,0.003741
1,39,0.008027
2,0,0.009547
2,1,0.009012
2,2,0.006436
2,3,0.008654
2,4,0.002179
2,5,0.007157
2,6,0.004194
2,7,0.003632
2,8,0.004795
2,9,0.002185
2,10,0.001467
2,11,0.003111
2,12,0.002980
2,13,0.001520
2,14,0.006585
2,15,0.006102
2,16,0.001646
2,17,0.002332
2,18,0.005988
2,19,0.004431
2,20,0.006313
2,21,0.008229
2,22,0.006929
2,23,0.006253
2,24,0.001908
2,25,0.007222
2,26,0.002155
2,27,0.004752
2,28,0.002053
2,29,0.001508
2,30,0.005850
2,31,0.005982
2,32,0.004786
2,33,-0.004079
2,34,-0.002914
2,35,0.005196
2,36,-0.004117
2,37,-0.001689
2,38,-0.000256
2,39,0.003876
3,0,0.005233
3,1,0.004374
3,2,0.004566
3,3,0.012692
3,4,0.007118
3,5,0.009659
3,6,0.008251
3,7,0.007927
3,8,0.005950
3,9,0.004774
3,10,0.000508
3,11,0.003885
3,12,-0.000652
3,13,-0.001476
3,14,0.002710
3,15,0.005162
3,16,-0.001289
3,17,0.001296
3,18,0.005998
3,19,0.006692
3,20,0.006211
3,21,0.006400
3,22,0.008071
3,23,0.005075
3,24,0.004490
3,25,0.004832
3,26,0.000841
3,27,0.002983
3,28,0.001843
3,29,0.006747
3,30,0.006325
3,31,0.004113
3,32,0.006587
3,33,-0.003071
3,34,0.000309
3,35,0.005016
3,36,-0.004609
3,37,-0.003456
3,38,-0.002945
3,39,0.006298
4,0,0.005517
4,1,0.005047
4,2,-0.000024
4,3,0.008137
4,4,0.007425
4,5,0.010659
4,6,0.004074
4,7,0.005456
4,8,0.002610
4,9,0.002889
4,10,-0.004928
4,11,-0.002959
4,12,-0.001200
4,13,-0.001958
4,14,0.003956
4,15,0.004663
4,16,0.004256
4,17,0.006229
4,18,0.008174
4,19,0.007700
4,20,0.006148
4,21,0.006584
4,22,0.005112
4,23,0.003648
4,24,0.003161
4,25,0.002943
4,26,-0.000949
4,27,0.000692
4,28,0.006137
4,29,0.004137
4,30,0.005737
4,31,-0.000223
4,32,0.004256
4,33,0.002088
4,34,0.002624
4,35,0.004720
4,36,-0.004739
4,37,-0.005103
4,38,-0.000301
4,39,0.004474
5,0,0.008871
5,1,0.002783
5,2,-0.002291
5,3,0.005126
5,4,0.005607
5,5,0.010009
5,6,0.002912
5,7,0.003154
5,8,-0.000812
5,9,-0.003357
5,10,-0.001536
5,11,0.000900
5,12,0.000923
5,13,-0.005208
5,14,0.000851
5,15,0.001845
5,16,0.006280
5,17,0.006832
5,18,0.005280
5,19,0.008029
5,20,0.008083
5,21,0.008760
5,22,0.001268
5,23,0.005399
5,24,0.005113
5,25,-0.001858
5,26,-0.004541
5,27,-0.002793
5,28,0.000814
5,29,0.001437
5,30,0.003780
5,31,0.002416
5,32,0.000717
5,33,0.001579
5,34,0.005221
5,35,0.002936
5,36,-0.007439
5,37,-0.007389
5,38,0.004486
5,39,0.009515
6,0,0.007376
6,1,0.001380
6,2,-0.003379
6,3,0.000090
6,4,-0.001387
6,5,0.005686
6,6,0.002292
6,7,0.003251
6,8,-0.003524
6,9,-0.003212
6,10,-0.001027
6,11,0.003306
6,12,0.002688
6,13,-0.001991
6,14,-0.000322
6,15,0.002280
6,16,0.003751
6,17,0.001984
6,18,0.005296
6,19,0.005332
6,20,0.002412
6,21,0.005847
6,22,-0.000446
6,23,0.007003
6,24,0.008183
6,25,0.000463
6,26,-0.001303
6,27,-0.005154
6,28,-0.003594
6,29,-0.002077
6,30,0.000412
6,31,0.001355
6,32,-0.003827
6,33,0.000940
6,34,0.000948
6,35,0.003316
6,36,-0.004387
6,37,-0.001864
6,38,0.005606
6,39,0.004808
7,0,0.001311
7,1,-0.004211
7,2,0.000891
7,3,-0.003106
7,4,-0.004653
7,5,0.005785
7,6,0.001976
7,7,0.000795
7,8,-0.007097
7,9,-0.004347
7,10,0.000145
7,11,0.001144
7,12,0.002859
7,13,-0.002606
7,14,-0.002750
7,15,0.003057
7,16,-0.002402
7,17,0.001862
7,18,0.006106
7,19,0.007460
7,20,0.003497
7,21,0.002165
7,22,-0.003279
7,23,0.005883
7,24,0.005415
7,25,0.002887
7,26,0.000684
7,27,0.000080
7,28,0.002981
7,29,0.004354
7,30,0.002064
7,31,0.003396
7,32,-0.002467
7,33,-0.003806
7,34,0.000060
7,35,0.001277
7,36,-0.000951
7,37,0.002387
7,38,0.005087
7,39,0.004073
8,0,-0.001271
8,1,-0.004661
8,2,-0.003985
8,3,-0.003490
8,4,-0.004383
8,5,0.009594
8,6,-0.001715
8,7,0.000072
8,8,-0.005404
8,9,-0.004889
8,10,-0.002660
8,11,-0.001741
8,12,-0.001939
8,13,-0.006710
8,14,-0.003404
8,15,-0.000963
8,16,-0.003663
8,17,0.000375
8,18,0.006263
8,19,0.007407
8,20,0.002189
8,21,0.003693
8,22,-0.004292
8,23,0.002371
8,24,0.009701
8,25,0.002905
8,26,-0.001886
8,27,0.001438
8,28,0.007192
8,29,0.009008
8,30,0.001393
8,31,0.000785
8,32,-0.001597
8,33,-0.000481
8,34,0.001623
8,35,0.004545
8,36,0.005271
8,37,0.001665
8,38,0.000615
8,39,0.002099
9,0,0.000135
9,1,-0.004219
9,2,-0.003854
9,3,-0.000818
9,4,-0.001589
9,5,0.009632
9,6,0.000224
9,7,-0.003349
9,8,-0.002780
9,9,-0.004157
9,10,-0.005803
9,11,-0.006671
9,12,-0.002291
9,13,-0.005136
9,14,-0.002901
9,15,0.000688
9,16,-0.002745
9,17,-0.002293
9,18,0.005918
9,19,0.005607
9,20,0.002979
9,21,0.005764
9,22,-0.003460
9,23,-0.005859
9,24,0.005404
9,25,0.004364
9,26,-0.001532
9,27,0.000662
9,28,0.011580
9,29,0.011272
9,30,-0.001544
9,31,-0.001676
9,32,-0.002157
9,33,0.002866
9,34,0.002649
9,35,0.006462
9,36,0.005814
9,37,0.006357
9,38,0.003371
9,39,0.000885
10,0,0.007865
10,1,-0.002773
10,2,-0.001195
10,3,0.001572
10,4,-0.003317
10,5,0.008572
10,6,-0.001790
10,7,-0.004018
10,8,-0.002580
10,9,-0.001473
10,10,-0.006314
10,11,-0.002827
10,12,-0.000299
10,13,-0.003340
10,14,-0.006059
10,15,-0.000818
10,16,-0.002608
10,17,-0.002978
10,18,0.002243
10,19,0.005270
10,20,0.005693
10,21,0.002962
10,22,-0.001603
10,23,-0.006320
10,24,0.001385
10,25,0.002898
10,26,0.000780
10,27,0.001709
10,28,0.009605
