i,j,G_avg
0,0,0.043113
0,1,0.011431
0,2,0.012792
0,3,-0.010273
0,4,0.002830
0,5,-0.016262
0,6,0.015414
0,7,0.007511
0,8,-0.004374
0,9,-0.000593
0,10,-0.011709
0,11,-0.007532
0,12,-0.015732
0,13,0.021972
0,14,0.001971
0,15,0.005600
0,16,0.024063
0,17,0.007744
0,18,-0.007230
0,19,0.011415
1,0,0.022567
1,1,0.014385
1,2,0.008223
1,3,-0.023098
1,4,-0.012441
1,5,-0.011322
1,6,0.009578
1,7,0.013361
1,8,0.006437
1,9,0.020093
1,10,0.015712
1,11,-0.017425
1,12,-0.011569
1,13,0.007751
1,14,0.014293
1,15,0.001659
1,16,0.006870
1,17,0.009580
1,18,-0.009754
1,19,0.012268
2,0,0.006629
2,1,0.018236
2,2,0.019593
2,3,-0.006813
2,4,-0.003619
2,5,0.009347
2,6,0.014915
2,7,0.025790
2,8,0.022356
2,9,0.024083
2,10,0.015799
2,11,-0.005608
2,12,0.001404
2,13,-0.010670
2,14,0.017914
2,15,-0.011563
2,16,-0.005254
2,17,0.019462
2,18,0.004804
2,19,0.012001
3,0,-0.016871
3,1,0.006559
3,2,0.011953
3,3,0.010839
3,4,0.009540
3,5,0.003214
3,6,0.017498
3,7,0.006134
3,8,0.016798
3,9,0.007017
3,10,-0.006155
3,11,-0.004325
3,12,0.018511
3,13,0.003300
3,14,0.003214
3,15,-0.016926
3,16,-0.012000
3,17,0.006233
3,18,-0.006875
3,19,-0.002385
4,0,-0.001811
4,1,-0.009424
4,2,-0.001938
4,3,-0.000500
4,4,0.004426
4,5,-0.008126
4,6,-0.002378
4,7,-0.004159
4,8,0.013808
4,9,0.021557
4,10,-0.001844
4,11,0.001168
4,12,0.020310
4,13,0.022392
4,14,0.002624
4,15,-0.028085
4,16,-0.019139
4,17,-0.022146
4,18,-0.022899
4,19,-0.008564
5,0,-0.000734
5,1,-0.002378
5,2,-0.005194
5,3,-0.011498
5,4,-0.009169
5,5,-0.013159
5,6,0.022914
5,7,0.014358
5,8,0.016621
5,9,0.015479
5,10,0.000217
5,11,-0.021924
5,12,0.016486
5,13,0.016092
5,14,0.008330
5,15,-0.028898
5,16,-0.016889
5,17,-0.028906
5,18,-0.028380
5,19,-0.012526
6,0,0.018237
6,1,0.003062
6,2,-0.010235
6,3,-0.030125
6,4,-0.018735
6,5,-0.001110
6,6,0.023855
6,7,0.015484
6,8,0.007321
6,9,0.009825
6,10,-0.004022
6,11,-0.017070
6,12,0.012554
6,13,-0.000265
6,14,0.012274
6,15,-0.019037
6,16,-0.017617
6,17,-0.030672
6,18,-0.014984
6,19,0.003009
7,0,0.007784
7,1,-0.005436
7,2,-0.004080
7,3,-0.013180
7,4,-0.012821
7,5,-0.021150
7,6,0.010615
7,7,0.024868
7,8,0.011966
7,9,-0.014355
7,10,-0.011758
7,11,-0.022653
7,12,-0.006158
7,13,-0.000691
7,14,-0.012419
7,15,-0.031267
7,16,-0.018994
7,17,-0.017195
7,18,-0.018108
7,19,-0.007859
8,0,0.003229
8,1,-0.011832
8,2,-0.003079
8,3,-0.010087
8,4,-0.007762
8,5,-0.009534
8,6,0.000271
8,7,0.009041
8,8,-0.000343
8,9,-0.030049
8,10,-0.017353
8,11,0.001290
8,12,-0.009504
8,13,0.006375
8,14,-0.019330
8,15,-0.017912
8,16,-0.015184
8,17,-0.013660
8,18,-0.007923
8,19,-0.009087
9,0,0.004421
9,1,-0.008394
9,2,0.001275
9,3,0.010910
9,4,-0.002438
9,5,-0.020410
9,6,-0.024397
9,7,-0.002224
9,8,0.008178
9,9,-0.021875
9,10,-0.007594
9,11,0.002245
9,12,-0.002477
9,13,0.015959
9,14,-0.003436
9,15,0.005384
9,16,-0.017829
9,17,-0.014522
9,18,-0.016259
9,19,-0.013861
10,0,0.004680
10,1,0.015168
10,2,0.030753
10,3,0.013345
10,4,0.001537
10,5,-0.021297
10,6,-0.010865
10,7,-0.011832
10,8,0.008491
10,9,-0.010169
10,10,0.001137
10,11,0.006400
10,12,0.000280
10,13,0.020684
10,14,0.000147
10,15,0.002647
10,16,-0.009223
10,17,0.014945
10,18,-0.000333
10,19,-0.021085
11,0,0.004637
11,1,0.024474
11,2,0.013838
11,3,0.010733
11,4,0.015159
11,5,0.005230
11,6,0.003219
11,7,0.000934
11,8,0.020944
11,9,-0.007288
11,10,0.005951
11,11,-0.002050
11,12,-0.001890
11,13,0.016573
11,14,-0.013864
11,15,-0.002927
11,16,0.010347
11,17,0.017030
11,18,-0.005400
11,19,-0.012448
12,0,0.028011
12,1,0.015068
12,2,0.018490
12,3,0.012426
12,4,0.021057
12,5,0.013157
12,6,-0.005286
12,7,-0.014191
12,8,0.000186
12,9,-0.015800
12,10,0.003490
12,11,0.008361
12,12,-0.000180
12,13,-0.000548
12,14,-0.028451
12,15,-0.010165
12,16,-0.016210
12,17,-0.001946
12,18,-0.001212
12,19,0.006004
13,0,0.027168
13,1,0.019111
13,2,0.023438
13,3,0.009436
13,4,0.025873
13,5,0.010939
