step,|phi|,Q_L,A_L,S_L,Xi_L,F_LRe, F_LIm, acc
0,1600.000000,186.037286,-2291.759836,-2730.099863,-16.089580,-9.279060,20.652048,0.515000
1,1600.000000,268.884876,-3267.900270,-3901.445333,4.772093,-9.279060,20.652048,0.415000
2,1600.000000,259.695372,-3919.626925,-4531.519730,2.812296,-9.279060,20.652048,0.363125
3,1600.000000,252.729367,-4375.542167,-4971.021708,55.972013,-9.279060,20.652048,0.322813
4,1600.000000,241.927494,-4747.387300,-5317.415529,55.071617,-9.279060,20.652048,0.299125
5,1600.000000,244.499635,-5035.824682,-5611.913376,61.571538,-9.279060,20.652048,0.282292
6,1600.000000,236.345187,-5266.096966,-5822.972193,60.470505,-9.279060,20.652048,0.264464
7,1600.000000,235.692404,-5455.044766,-6010.381909,58.111830,-9.279060,20.652048,0.251016
8,1600.000000,228.552093,-5624.507415,-6163.020597,68.284601,-9.279060,20.652048,0.238889
9,1600.000000,221.208595,-5775.471849,-6296.682320,75.133224,-9.279060,20.652048,0.227375
10,1600.000000,212.255489,-5886.436267,-6386.551481,73.685575,-9.279060,20.652048,0.219261
11,1600.000000,230.763202,-5925.029766,-6468.752752,97.960018,-9.279060,20.652048,0.212448
12,1600.000000,234.954732,-6029.530683,-6583.129727,104.830298,-9.279060,20.652048,0.205865
13,1600.000000,235.202097,-6061.678798,-6615.860683,104.855360,-9.279060,20.652048,0.200179
14,1600.000000,230.625176,-6150.735263,-6694.133032,115.162246,-9.279060,20.652048,0.195000
15,1600.000000,224.183557,-6196.334512,-6724.554573,114.132176,-9.279060,20.652048,0.190156
16,1600.000000,221.203745,-6262.641105,-6783.840151,121.564362,-9.279060,20.652048,0.186140
17,1600.000000,219.071608,-6304.857991,-6821.033307,126.484770,-9.279060,20.652048,0.182535
18,1600.000000,222.360262,-6384.361623,-6908.285647,135.395347,-9.279060,20.652048,0.179342
19,1600.000000,229.381257,-6420.824710,-6961.291563,134.844720,-9.279060,20.652048,0.175813
20,1600.000000,225.156497,-6460.935268,-6991.447766,133.458646,-9.279060,20.652048,0.173274
