i,j,G_avg
0,0,0.070763
0,1,0.028584
0,2,0.018964
0,3,0.026648
0,4,0.022356
0,5,0.013550
0,6,0.028663
0,7,0.011497
0,8,0.011282
0,9,0.013556
0,10,0.019207
0,11,0.040653
0,12,0.023613
0,13,0.038827
0,14,0.021765
0,15,0.040489
0,16,0.040219
0,17,0.035423
0,18,0.041616
0,19,0.047732
1,0,0.048588
1,1,0.028141
1,2,0.017045
1,3,0.015941
1,4,0.002390
1,5,0.001043
1,6,0.027288
1,7,0.016493
1,8,0.017223
1,9,0.016568
1,10,0.034166
1,11,0.038815
1,12,0.019538
1,13,0.021747
1,14,0.032674
1,15,0.038393
1,16,0.025694
1,17,0.029156
1,18,0.037671
1,19,0.049416
2,0,0.037841
2,1,0.039360
2,2,0.033970
2,3,0.022432
2,4,0.008567
2,5,0.017206
2,6,0.021541
2,7,0.029242
2,8,0.025302
2,9,0.012152
2,10,0.024807
2,11,0.017913
2,12,0.021573
2,13,0.014683
2,14,0.019460
2,15,0.016752
2,16,0.020765
2,17,0.044002
2,18,0.049438
2,19,0.049936
3,0,0.017561
3,1,0.028472
3,2,0.041653
3,3,0.039749
3,4,0.025590
3,5,0.009542
3,6,0.020982
3,7,0.009389
3,8,0.012035
3,9,0.014188
3,10,0.015240
3,11,0.015297
3,12,0.033020
3,13,0.016640
3,14,0.016187
3,15,-0.001231
3,16,0.028908
3,17,0.037138
3,18,0.032297
3,19,0.035500
4,0,0.024729
4,1,0.013979
4,2,0.024950
4,3,0.032008
4,4,0.028775
4,5,0.005370
4,6,0.007632
4,7,-0.004820
4,8,0.009077
4,9,0.028539
4,10,0.027639
4,11,0.028974
4,12,0.026930
4,13,0.022697
4,14,0.022323
4,15,-0.002063
4,16,0.025737
4,17,0.009443
4,18,0.011412
4,19,0.024047
5,0,0.015516
5,1,0.009976
5,2,0.019210
5,3,0.021285
5,4,0.006675
5,5,0.004438
5,6,0.015044
5,7,0.009556
5,8,0.010872
5,9,0.019721
5,10,0.025682
5,11,0.025298
