i,j,G_avg
14,19,0.035989
15,0,0.033601
15,1,0.037935
15,2,0.043803
15,3,0.016278
15,4,0.018106
15,5,-0.005728
15,6,-0.014668
15,7,-0.015211
15,8,-0.010453
15,9,-0.002063
15,10,-0.015835
15,11,-0.001721
15,12,0.007345
15,13,0.009027
15,14,0.015796
15,15,0.017064
15,16,0.024377
15,17,0.010821
15,18,0.039550
15,19,0.036712
16,0,0.029909
16,1,0.037880
16,2,0.037013
16,3,0.026846
16,4,0.013958
16,5,-0.004722
16,6,-0.007193
16,7,-0.016152
16,8,-0.028657
16,9,-0.021968
16,10,-0.022324
16,11,-0.019397
16,12,-0.010722
16,13,0.000165
16,14,0.013090
16,15,0.017609
16,16,0.039498
16,17,0.031401
16,18,0.034994
16,19,0.042261
17,0,0.018101
17,1,0.021180
17,2,0.030465
17,3,0.039723
17,4,0.029392
17,5,-0.009701
17,6,0.011213
17,7,-0.012146
17,8,-0.013934
17,9,-0.008599
17,10,-0.009657
17,11,-0.011078
17,12,-0.026287
17,13,-0.020899
17,14,-0.011504
17,15,0.006702
17,16,0.036653
17,17,0.028751
17,18,0.029736
17,19,0.043704
18,0,0.030716
18,1,0.020891
18,2,0.031197
18,3,0.037704
18,4,0.028463
18,5,0.004981
18,6,0.005216
18,7,-0.000235
18,8,-0.018532
18,9,-0.001476
18,10,-0.000201
18,11,-0.016348
18,12,-0.021708
18,13,-0.008205
18,14,-0.014344
18,15,-0.001697
18,16,0.019607
18,17,0.042720
18,18,0.038319
18,19,0.040354
19,0,0.052269
19,1,0.026517
19,2,0.041707
19,3,0.030132
19,4,0.020316
19,5,0.008393
19,6,0.014226
19,7,-0.001578
19,8,-0.019898
19,9,-0.009643
19,10,0.008627
19,11,0.009975
19,12,-0.017835
19,13,-0.007953
19,14,-0.002439
19,15,-0.011378
19,16,0.032476
19,17,0.048992
19,18,0.039112
19,19,0.044631
