step,|phi|,Q_L,A_L,S_L,Xi_L,F_LRe,F_LIm,acc,dt
0,400.000000,18.077254,-679.011358,-686.110279,4.857546,-8.477229,-10.059239,0.545000,1.000000
1,400.000000,9.525227,-912.800400,-916.540948,20.082285,-8.477229,-10.059239,0.415000,3.000000
2,400.000000,11.144178,-1063.494525,-1067.870833,24.387657,-8.477229,-10.059239,0.375833,4.000000
3,400.000000,8.744022,-1182.397096,-1185.830865,33.320123,-8.477229,-10.059239,0.342500,5.000000
4,400.000000,6.869162,-1272.404184,-1275.101698,34.713914,-8.477229,-10.059239,0.312500,7.000000
5,400.000000,5.165918,-1343.570930,-1345.599581,40.344854,-8.477229,-10.059239,0.289583,8.000000
6,400.000000,3.035199,-1397.307782,-1398.499702,48.802903,-8.477229,-10.059239,0.272857,10.000000
7,400.000000,8.785912,-1438.448564,-1441.898783,48.977437,-8.477229,-10.059239,0.255937,11.000000
8,400.000000,0.931926,-1495.475968,-1495.841935,-7.167333,-8.477229,-10.059239,0.246944,13.000000
9,400.000000,4.101901,-1534.229482,-1535.840295,-12.275789,-8.477229,-10.059239,0.236000,14.000000
10,400.000000,4.897350,-1558.971794,-1560.894979,-8.146205,-8.477229,-10.059239,0.228636,15.000000
11,400.000000,0.765856,-1580.484571,-1580.785322,10.478194,-8.477229,-10.059239,0.223333,17.000000
12,400.000000,-2.618083,-1603.380666,-1602.352547,10.406167,-8.477229,-10.059239,0.214615,18.000000
13,400.000000,-2.848750,-1632.330453,-1631.211751,14.903153,-8.477229,-10.059239,0.205714,20.000000
14,400.000000,-4.570843,-1632.279874,-1630.484908,19.498036,-8.477229,-10.059239,0.201833,21.000000
15,400.000000,-1.505407,-1667.316268,-1666.725096,29.338122,-8.477229,-10.059239,0.197813,22.000000
16,400.000000,3.328512,-1682.333887,-1683.640991,29.481280,-8.477229,-10.059239,0.192941,24.000000
17,400.000000,8.461978,-1707.858137,-1711.181148,28.278382,-8.477229,-10.059239,0.189306,25.000000
18,400.000000,7.743890,-1709.803154,-1712.844172,27.076975,-8.477229,-10.059239,0.184605,27.000000
19,400.000000,7.672701,-1736.779767,-1739.792830,27.805078,-8.477229,-10.059239,0.182750,28.000000
20,400.000000,6.880429,-1764.950687,-1767.652626,27.788556,-8.477229,-10.059239,0.180000,29.000000
21,400.000000,9.555002,-1770.052262,-1773.804502,33.060785,-8.477229,-10.059239,0.178750,31.000000
22,400.000000,5.761368,-1774.567435,-1776.829919,35.645021,-8.477229,-10.059239,0.177065,32.000000
23,400.000000,11.588033,-1783.829919,-1788.380529,31.371094,-8.477229,-10.059239,0.173437,34.000000
24,400.000000,4.700867,-1814.814142,-1816.660168,32.872899,-8.477229,-10.059239,0.170900,35.000000
25,400.000000,7.934143,-1815.864070,-1818.979801,34.975938,-8.477229,-10.059239,0.168846,36.000000
26,400.000000,7.507986,-1836.917668,-1839.866047,31.796937,-8.477229,-10.059239,0.167685,38.000000
27,400.000000,6.930315,-1850.045632,-1852.767160,28.760258,-8.477229,-10.059239,0.164911,39.000000
28,400.000000,7.677927,-1852.186537,-1855.201651,33.292304,-8.477229,-10.059239,0.163966,41.000000
29,400.000000,5.274068,-1868.241062,-1870.312183,37.556574,-8.477229,-10.059239,0.162667,42.000000
30,400.000000,3.433132,-1899.077629,-1900.425817,41.155039,-8.477229,-10.059239,0.160403,43.000000
31,400.000000,3.719150,-1914.132094,-1915.592601,52.818410,-8.477229,-10.059239,0.158906,45.000000
32,400.000000,4.352404,-1916.536010,-1918.245195,50.618727,-8.477229,-10.059239,0.157652,46.000000
33,400.000000,4.425170,-1922.798308,-1924.536068,52.942886,-8.477229,-10.059239,0.156176,48.000000
34,400.000000,2.020333,-1915.906905,-1916.700288,53.576168,-8.477229,-10.059239,0.154071,49.000000
35,400.000000,3.556777,-1914.161337,-1915.558080,58.343109,-8.477229,-10.059239,0.152569,51.000000
36,400.000000,3.556777,-1924.698647,-1926.095390,56.195148,-8.477229,-10.059239,0.151014,52.000000
37,400.000000,2.938368,-1923.065334,-1924.219228,57.510212,-8.477229,-10.059239,0.149868,53.000000
38,400.000000,1.096091,-1934.704013,-1935.134447,57.485973,-8.477229,-10.059239,0.148846,55.000000
39,400.000000,1.096091,-1937.994480,-1938.424914,56.206971,-8.477229,-10.059239,0.147625,56.000000
40,400.000000,3.978875,-1935.245945,-1936.808446,54.218029,-8.477229,-10.059239,0.146280,58.000000
41,400.000000,4.000000,-1933.706972,-1935.277768,51.507771,-8.477229,-10.059239,0.145179,59.000000
42,400.000000,0.000000,-1934.974529,-1934.974529,53.321577,-8.477229,-10.059239,0.143314,60.000000
43,400.000000,4.000000,-1923.962982,-1925.533778,50.773593,-8.477229,-10.059239,0.142273,62.000000
44,400.000000,4.000000,-1927.832134,-1929.402931,51.937152,-8.477229,-10.059239,0.141444,63.000000
45,400.000000,4.000000,-1921.784019,-1923.354815,54.703213,-8.477229,-10.059239,0.140489,65.000000
46,400.000000,4.000000,-1925.006984,-1926.577780,52.115046,-8.477229,-10.059239,0.139521,66.000000
47,400.000000,4.000000,-1933.797116,-1935.367912,52.496414,-8.477229,-10.059239,0.139167,67.000000
48,400.000000,3.974797,-1936.241291,-1937.802190,-27.016814,-8.477229,-10.059239,0.138418,69.000000
49,400.000000,4.000000,-1947.826574,-1949.397371,-26.923732,-8.477229,-10.059239,0.137700,70.000000
50,400.000000,4.000000,-1945.275932,-1946.846728,-29.719330,-8.477229,-10.059239,0.136667,72.000000
51,400.000000,4.000000,-1937.045761,-1938.616558,-28.750138,-8.477229,-10.059239,0.136202,73.000000
52,400.000000,4.000000,-1958.120586,-1959.691383,-34.854671,-8.477229,-10.059239,0.135708,74.000000
53,400.000000,4.000000,-1973.306604,-1974.877401,-36.998342,-8.477229,-10.059239,0.135000,76.000000
54,400.000000,4.000000,-1992.318051,-1993.888847,-34.065649,-8.477229,-10.059239,0.134364,77.000000
55,400.000000,4.083192,-1992.213179,-1993.816644,-32.255118,-8.477229,-10.059239,0.133839,79.000000
