i,j,G_avg
0,0,0.070763
0,1,0.023972
0,2,0.016386
0,3,0.019807
0,4,0.020719
0,5,-0.009267
0,6,0.014571
0,7,0.004074
0,8,-0.006852
0,9,-0.002781
0,10,0.003542
0,11,0.022237
0,12,0.010831
0,13,0.024283
0,14,0.009645
0,15,0.023599
0,16,0.007459
0,17,0.016163
0,18,0.021414
0,19,0.043040
1,0,0.048162
1,1,0.021276
1,2,0.008636
1,3,0.013219
1,4,0.004400
1,5,-0.016160
1,6,0.012062
1,7,0.003869
1,8,-0.004878
1,9,-0.011528
1,10,0.005874
1,11,0.011997
1,12,0.003539
1,13,0.010417
1,14,0.011793
1,15,0.012771
1,16,0.003690
1,17,0.006619
1,18,0.018226
1,19,0.043242
2,0,0.039282
2,1,0.027761
2,2,0.009404
2,3,0.011157
2,4,0.008989
2,5,0.002323
2,6,0.010190
2,7,0.016436
2,8,0.004745
2,9,-0.023622
2,10,-0.013608
2,11,-0.009842
2,12,0.006294
2,13,0.001746
2,14,-0.008144
2,15,-0.007936
2,16,-0.007181
2,17,0.015229
2,18,0.030106
2,19,0.046839
3,0,0.017454
3,1,0.019951
3,2,0.005953
3,3,0.014540
3,4,0.025078
3,5,0.000856
3,6,0.009379
3,7,0.000391
3,8,0.004262
3,9,-0.008449
3,10,-0.016337
3,11,-0.010148
3,12,0.022096
3,13,-0.000853
3,14,-0.010079
3,15,-0.018832
3,16,0.006201
3,17,0.009326
3,18,0.012731
3,19,0.026419
4,0,0.022714
4,1,0.002683
4,2,0.013665
4,3,0.016827
4,4,0.023868
4,5,-0.001423
4,6,-0.006964
4,7,-0.005838
4,8,0.004755
4,9,0.013281
4,10,0.001372
4,11,0.003412
4,12,0.016662
4,13,0.004970
4,14,-0.010444
4,15,-0.021249
4,16,0.002929
4,17,-0.015508
4,18,-0.005317
4,19,0.014105
5,0,0.013293
5,1,0.005528
5,2,0.019706
5,3,0.015499
5,4,0.006349
5,5,0.004956
5,6,0.008236
5,7,0.014345
5,8,0.015831
5,9,0.005188
5,10,0.003034
5,11,0.013433
5,12,0.013318
5,13,-0.002860
5,14,-0.002313
5,15,-0.014656
5,16,-0.004045
5,17,-0.012670
5,18,-0.009990
5,19,0.005666
6,0,0.014389
6,1,0.013831
6,2,0.019318
6,3,0.006800
6,4,0.003164
6,5,0.013442
6,6,0.015548
6,7,0.013019
6,8,0.011996
6,9,-0.003382
6,10,-0.007461
6,11,-0.006022
6,12,0.009422
6,13,-0.013624
6,14,0.004606
6,15,-0.004464
6,16,-0.007864
6,17,-0.014482
6,18,0.001134
6,19,0.001844
7,0,0.010320
7,1,0.013436
7,2,0.024037
7,3,0.018870
7,4,0.015376
7,5,0.006508
7,6,0.004667
7,7,0.014812
7,8,0.015868
7,9,-0.005500
7,10,0.002816
7,11,-0.009762
7,12,-0.006804
7,13,-0.013050
7,14,-0.014156
7,15,-0.018593
7,16,-0.010247
7,17,-0.012351
7,18,0.002604
7,19,0.003456
8,0,0.016920
8,1,0.003403
8,2,0.021277
8,3,0.024562
8,4,0.022735
8,5,0.010698
8,6,-0.007847
8,7,0.002213
8,8,0.006693
8,9,-0.000403
8,10,0.009730
8,11,0.010529
8,12,-0.006694
8,13,-0.000458
8,14,-0.015313
8,15,-0.020727
8,16,-0.009822
8,17,-0.002235
8,18,0.002835
8,19,0.007966
9,0,0.010572
9,1,0.006312
9,2,0.021109
9,3,0.035082
9,4,0.029607
9,5,0.003824
9,6,-0.001417
9,7,-0.004478
9,8,0.005423
9,9,-0.000148
9,10,0.000195
9,11,0.015029
9,12,-0.003033
9,13,0.006963
9,14,-0.012514
9,15,-0.018502
9,16,-0.021978
9,17,-0.007653
9,18,-0.007761
9,19,0.007129
10,0,0.022324
10,1,0.033880
10,2,0.022260
10,3,0.023708
10,4,0.019100
10,5,0.007353
10,6,0.008521
10,7,-0.013725
10,8,-0.001482
10,9,-0.011689
10,10,0.013181
10,11,0.019563
10,12,0.002692
10,13,0.011553
10,14,-0.004347
10,15,-0.000889
10,16,-0.010420
10,17,0.007809
10,18,-0.000418
10,19,-0.001026
11,0,0.021592
11,1,0.039073
11,2,0.017467
11,3,0.015944
11,4,0.026385
11,5,0.021632
11,6,0.010568
11,7,0.002744
11,8,-0.003755
11,9,-0.003290
11,10,0.010773
11,11,0.002577
11,12,0.003216
11,13,0.015601
11,14,-0.007665
11,15,-0.005944
11,16,0.011706
11,17,0.013050
11,18,0.001704
11,19,0.009861
12,0,0.044218
12,1,0.023192
12,2,0.028960
12,3,0.017010
12,4,0.025277
12,5,0.019448
12,6,-0.003040
12,7,0.001242
12,8,-0.009673
12,9,-0.005310
12,10,0.001905
12,11,0.007425
12,12,0.007377
12,13,0.007053
12,14,-0.008800
12,15,0.005541
12,16,-0.005681
12,17,0.001146
12,18,0.009998
12,19,0.023490
13,0,0.042910
13,1,0.028243
13,2,0.032663
13,3,0.013455
13,4,0.031142
13,5,0.013779
13,6,-0.000863
13,7,0.011154
13,8,0.001824
13,9,0.002832
13,10,0.020200
13,11,0.031373
13,12,0.032340
13,13,0.018408
13,14,0.010332
13,15,0.010524
13,16,0.001291
13,17,0.000078
13,18,0.010592
13,19,0.040706
14,0,0.042309
14,1,0.034232
14,2,0.028318
14,3,0.014766
14,4,0.031005
14,5,0.007180
14,6,0.007025
14,7,0.004652
14,8,0.002677
14,9,0.002125
14,10,0.020125
14,11,0.024848
14,12,0.032104
14,13,0.019619
14,14,0.013996
14,15,0.016687
14,16,0.020125
14,17,0.004678
14,18,0.011514
14,19,0.032264
15,0,0.041741
15,1,0.038890
15,2,0.033775
15,3,0.017501
15,4,0.023910
15,5,0.005164
15,6,-0.003629
15,7,0.012396
15,8,0.003615
15,9,0.008852
15,10,0.007131
15,11,0.027218
15,12,0.030888
15,13,0.029724
15,14,0.021615
15,15,0.021316
15,16,0.033149
15,17,0.004250
15,18,0.021691
15,19,0.038072
16,0,0.028235
16,1,0.034603
16,2,0.028571
16,3,0.033107
16,4,0.025629
16,5,0.005382
16,6,-0.004074
16,7,0.000996
16,8,-0.011387
16,9,-0.006864
16,10,0.002346
16,11,0.012552
16,12,0.016146
16,13,0.032118
16,14,0.024982
16,15,0.032205
16,16,0.034633
16,17,0.017049
16,18,0.023309
16,19,0.039861
17,0,0.019921
17,1,0.017986
17,2,0.017170
17,3,0.037350
17,4,0.043929
17,5,-0.007274
17,6,-0.012617
17,7,0.004391
17,8,0.005123
17,9,0.002747
17,10,0.017185
17,11,0.017272
17,12,0.007788
17,13,0.003830
17,14,0.011573
17,15,0.016908
17,16,0.033789
17,17,0.015517
17,18,0.023365
17,19,0.038860
18,0,0.019817
18,1,0.021447
18,2,0.012416
18,3,0.028771
18,4,0.030759
18,5,-0.006168
18,6,-0.003723
18,7,0.013660
18,8,0.004372
18,9,0.018487
18,10,0.029543
18,11,0.004646
18,12,0.011314
18,13,0.012383
18,14,0.019081
18,15,0.006584
18,16,0.022325
18,17,0.028919
18,18,0.027929
18,19,0.039926
19,0,0.051908
19,1,0.021322
19,2,0.022515
19,3,0.013020
19,4,0.022246
19,5,-0.006906
19,6,0.014022
19,7,0.016162
19,8,-0.001824
19,9,0.014152
19,10,0.023890
19,11,0.018190
19,12,0.004306
19,13,0.011681
19,14,0.016494
19,15,0.008721
19,16,0.027940
19,17,0.032368
19,18,0.027956
19,19,0.042449
