step,|phi|,Q_L,A_L,S_L,Xi_L,F_LRe, F_LIm, acc
0,1600.000000,224.569750,-2180.073898,-2885.580575,-20.825602,-5.745333,11.761664,0.514375
1,1600.000000,309.639389,-3160.078884,-4132.839715,9.108419,-5.745333,11.761664,0.409687
2,1600.000000,309.185613,-3848.829243,-4820.164493,30.762037,-5.745333,11.761664,0.358542
3,1600.000000,331.421586,-4218.478131,-5259.669750,72.292594,-5.745333,11.761664,0.317812
4,1600.000000,334.231442,-4466.202140,-5516.221183,68.670127,-5.745333,11.761664,0.289500
5,1600.000000,329.216628,-4763.474706,-5797.739244,72.064094,-5.745333,11.761664,0.272604
6,1600.000000,344.750236,-4933.098405,-6016.163213,61.916556,-5.745333,11.761664,0.255268
7,1600.000000,346.830732,-5122.541977,-6212.142857,62.398495,-5.745333,11.761664,0.241172
8,1600.000000,346.693694,-5263.975772,-6353.146135,70.515417,-5.745333,11.761664,0.229722
9,1600.000000,341.298053,-5398.655796,-6470.875252,77.719459,-5.745333,11.761664,0.219062
10,1600.000000,344.307001,-5449.931903,-6531.604249,88.417772,-5.745333,11.761664,0.211136
11,1600.000000,351.098990,-5527.209432,-6630.219438,87.276506,-5.745333,11.761664,0.204479
12,1600.000000,349.301504,-5619.362936,-6716.725975,88.394882,-5.745333,11.761664,0.198798
13,1600.000000,351.004919,-5690.271896,-6792.986372,76.817970,-5.745333,11.761664,0.193348
14,1600.000000,346.561802,-5773.171586,-6861.927597,78.096353,-5.745333,11.761664,0.188417
15,1600.000000,346.947593,-5853.566616,-6943.534624,73.387223,-5.745333,11.761664,0.184414
16,1600.000000,346.316157,-5905.015953,-6993.000247,76.275649,-5.745333,11.761664,0.179963
17,1600.000000,337.341560,-5968.768978,-7028.558746,76.615766,-5.745333,11.761664,0.175868
18,1600.000000,329.374944,-6086.369701,-7121.131606,73.471096,-5.745333,11.761664,0.173059
19,1600.000000,336.915954,-6097.677095,-7156.129781,69.333450,-5.745333,11.761664,0.170031
20,1600.000000,339.158365,-6115.127179,-7180.624607,63.607903,-5.745333,11.761664,0.167054
21,1600.000000,341.861928,-6127.395942,-7201.386862,67.850174,-5.745333,11.761664,0.163778
22,1600.000000,340.645147,-6159.464340,-7229.632632,65.411169,-5.745333,11.761664,0.161685
23,1600.000000,338.124608,-6197.406798,-7259.656583,64.757103,-5.745333,11.761664,0.159401
24,1600.000000,337.827333,-6199.160320,-7260.476186,69.067447,-5.745333,11.761664,0.156850
25,1600.000000,341.399060,-6200.293486,-7272.830265,71.877400,-5.745333,11.761664,0.155096
26,1600.000000,338.252044,-6232.633501,-7295.283638,76.511879,-5.745333,11.761664,0.153588
27,1600.000000,336.933678,-6251.130722,-7309.639090,86.325631,-5.745333,11.761664,0.152188
28,1600.000000,337.905075,-6276.050829,-7337.610929,86.210324,-5.745333,11.761664,0.150603
29,1600.000000,342.273201,-6305.387586,-7380.670561,84.326965,-5.745333,11.761664,0.149000
30,1600.000000,339.261919,-6326.550533,-7392.373283,87.518856,-5.745333,11.761664,0.147903
31,1600.000000,338.683868,-6360.623593,-7424.630343,87.431890,-5.745333,11.761664,0.147246
