step,|phi|,Q_L,A_L,S_L,Xi_L,F_LRe, F_LIm, acc
0,100.000000,0.898917,-156.799433,-158.211449,6.210427,3.009414,1.373289,0.440000
1,100.000000,9.735862,-236.920010,-252.213067,3.025195,3.009414,1.373289,0.435000
2,100.000000,14.824397,-285.531395,-308.817503,9.125874,3.009414,1.373289,0.380000
3,100.000000,15.235291,-310.686542,-334.618081,10.275413,3.009414,1.373289,0.342500
4,100.000000,15.599160,-328.862867,-353.365970,13.546124,3.009414,1.373289,0.298000
5,100.000000,14.686041,-328.592037,-351.660816,12.879260,3.009414,1.373289,0.280000
6,100.000000,14.362279,-326.274711,-348.834926,11.259898,3.009414,1.373289,0.257143
7,100.000000,15.245775,-334.016597,-357.964604,11.007418,3.009414,1.373289,0.242500
8,100.000000,13.117658,-352.771371,-373.376539,11.874716,3.009414,1.373289,0.236667
9,100.000000,16.232808,-367.686318,-393.184753,9.924547,3.009414,1.373289,0.231000
10,100.000000,16.386205,-368.944817,-394.684207,13.770257,3.009414,1.373289,0.225455
11,100.000000,14.925168,-372.807339,-396.251738,13.510054,3.009414,1.373289,0.216667
12,100.000000,14.935087,-386.890608,-410.350588,12.137008,3.009414,1.373289,0.210000
13,100.000000,12.422534,-392.086717,-411.599987,9.845802,3.009414,1.373289,0.206429
14,100.000000,10.793806,-392.682544,-409.637415,9.571793,3.009414,1.373289,0.202000
15,100.000000,10.810123,-395.233229,-412.213730,9.708016,3.009414,1.373289,0.194375
16,100.000000,13.541647,-397.364914,-418.636084,7.607474,3.009414,1.373289,0.190588
17,100.000000,16.719405,-394.065432,-420.328212,8.368649,3.009414,1.373289,0.185000
18,100.000000,17.439837,-395.506540,-422.900971,12.012277,3.009414,1.373289,0.181579
19,100.000000,17.910769,-393.317642,-421.451811,11.733533,3.009414,1.373289,0.177500
20,100.000000,15.794927,-399.443347,-424.253960,11.520467,3.009414,1.373289,0.172857
21,100.000000,16.906114,-397.463331,-424.019392,12.195735,3.009414,1.373289,0.169545
22,100.000000,16.066686,-392.975910,-418.213402,10.461746,3.009414,1.373289,0.169565
23,100.000000,13.632405,-392.775552,-414.189284,8.625271,3.009414,1.373289,0.167083
24,100.000000,13.979606,-398.090894,-420.050008,8.798887,3.009414,1.373289,0.168000
25,100.000000,14.573540,-402.224776,-425.116839,10.863428,3.009414,1.373289,0.167692
26,100.000000,12.910582,-405.443121,-425.723016,10.019195,3.009414,1.373289,0.165556
27,100.000000,13.438986,-409.595407,-430.705317,9.316075,3.009414,1.373289,0.162500
28,100.000000,14.477444,-408.957199,-431.698315,10.679605,3.009414,1.373289,0.162759
29,100.000000,14.308961,-406.838360,-429.314824,11.031886,3.009414,1.373289,0.159333
30,100.000000,13.718759,-398.298540,-419.847915,10.854147,3.009414,1.373289,0.157419
31,100.000000,14.158400,-407.666100,-429.906062,10.111572,3.009414,1.373289,0.156875
32,100.000000,14.076247,-405.733198,-427.844115,8.801337,3.009414,1.373289,0.156364
33,100.000000,13.403916,-407.689160,-428.743982,5.882437,3.009414,1.373289,0.155882
34,100.000000,11.921142,-408.068032,-426.793718,6.164164,3.009414,1.373289,0.153714
35,100.000000,8.922412,-407.421285,-421.436577,3.745647,3.009414,1.373289,0.152222
36,100.000000,11.125879,-409.867462,-427.343952,4.240815,3.009414,1.373289,0.150811
37,100.000000,9.250295,-410.675182,-425.205511,3.700961,3.009414,1.373289,0.149737
38,100.000000,8.386684,-416.650262,-429.824034,4.860486,3.009414,1.373289,0.147692
39,100.000000,9.216158,-417.192894,-431.669601,3.819469,3.009414,1.373289,0.147000
40,100.000000,9.978407,-422.607798,-438.281842,2.138161,3.009414,1.373289,0.145366
41,100.000000,11.109742,-420.483744,-437.934886,-0.433195,3.009414,1.373289,0.144762
42,100.000000,13.517257,-416.014402,-437.247259,1.098445,3.009414,1.373289,0.144419
43,100.000000,11.590335,-422.020286,-440.226342,0.046349,3.009414,1.373289,0.144318
44,100.000000,11.652073,-414.881896,-433.184929,-0.797444,3.009414,1.373289,0.144889
45,100.000000,9.884912,-421.934472,-437.461655,-2.440044,3.009414,1.373289,0.143696
46,100.000000,9.613509,-422.893422,-437.994286,-4.454576,3.009414,1.373289,0.143617
47,100.000000,8.153989,-424.294183,-437.102440,-4.558443,3.009414,1.373289,0.141875
48,100.000000,7.615444,-426.051326,-438.013636,-6.718003,3.009414,1.373289,0.140612
49,100.000000,7.153843,-426.432494,-437.669724,-1.977023,3.009414,1.373289,0.139800
50,100.000000,7.153843,-428.296432,-439.533662,-1.963980,3.009414,1.373289,0.138039
51,100.000000,7.153843,-438.233151,-449.470381,-1.208299,3.009414,1.373289,0.137500
52,100.000000,6.305716,-445.631265,-455.536261,-1.606720,3.009414,1.373289,0.136604
53,100.000000,7.247847,-450.350039,-461.734931,-2.144375,3.009414,1.373289,0.135926
54,100.000000,7.637302,-450.281947,-462.278593,-1.461488,3.009414,1.373289,0.135455
55,100.000000,7.827797,-452.376361,-464.672236,-1.173078,3.009414,1.373289,0.135357
56,100.000000,7.827797,-454.476841,-466.772716,-0.933568,3.009414,1.373289,0.134561
57,100.000000,7.283381,-446.579140,-458.019848,-1.261305,3.009414,1.373289,0.134483
58,100.000000,7.827797,-442.378855,-454.674730,-4.249639,3.009414,1.373289,0.133390
59,100.000000,7.827797,-447.137877,-459.433751,-17.595720,3.009414,1.373289,0.132667
60,100.000000,7.827797,-458.119902,-470.415777,-12.483110,3.009414,1.373289,0.132951
61,100.000000,7.977666,-459.859720,-472.391008,-12.707836,3.009414,1.373289,0.132097
62,100.000000,8.000000,-459.006928,-471.573298,-13.766910,3.009414,1.373289,0.130635
63,100.000000,7.008451,-457.983226,-468.992076,-14.761534,3.009414,1.373289,0.130781
64,100.000000,7.468806,-457.995107,-469.727080,-12.750481,3.009414,1.373289,0.130769
65,100.000000,7.468806,-458.435126,-470.167100,-14.261126,3.009414,1.373289,0.130303
66,100.000000,6.682929,-467.861316,-478.358836,-12.667448,3.009414,1.373289,0.130149
67,100.000000,7.352418,-475.225950,-486.775102,0.058826,3.009414,1.373289,0.130147
68,100.000000,7.352418,-474.706939,-486.256091,0.398485,3.009414,1.373289,0.129275
69,100.000000,8.000000,-475.075598,-487.641969,-1.101605,3.009414,1.373289,0.128286
70,100.000000,7.985984,-472.823283,-485.367637,1.353145,3.009414,1.373289,0.127746
71,100.000000,8.000000,-470.695714,-483.262084,2.601995,3.009414,1.373289,0.127083
72,100.000000,8.000000,-469.065747,-481.632118,5.068553,3.009414,1.373289,0.126301
73,100.000000,8.000000,-471.429937,-483.996307,4.232555,3.009414,1.373289,0.125541
74,100.000000,8.000000,-470.544828,-483.111199,3.750431,3.009414,1.373289,0.124800
75,100.000000,7.886001,-467.070569,-479.457870,0.881712,3.009414,1.373289,0.124737
76,100.000000,8.000000,-466.061210,-478.627581,1.164804,3.009414,1.373289,0.124286
77,100.000000,7.649610,-466.622990,-478.638970,0.615204,3.009414,1.373289,0.124487
78,100.000000,7.649610,-464.803629,-476.819609,2.111374,3.009414,1.373289,0.123797
79,100.000000,7.649610,-463.453697,-475.469677,2.575935,3.009414,1.373289,0.123375
80,100.000000,8.000000,-461.613796,-474.180167,2.107201,3.009414,1.373289,0.122593
81,100.000000,8.000000,-458.960036,-471.526407,-8.517182,3.009414,1.373289,0.123171
82,100.000000,8.000000,-456.418068,-468.984439,-9.154355,3.009414,1.373289,0.124096
83,100.000000,8.000000,-456.904415,-469.470786,-9.315652,3.009414,1.373289,0.122738
84,100.000000,8.000000,-455.529525,-468.095896,-9.450911,3.009414,1.373289,0.122471
85,100.000000,8.000000,-455.686887,-468.253258,-10.405537,3.009414,1.373289,0.122674
86,100.000000,8.000000,-461.448128,-474.014498,-11.247036,3.009414,1.373289,0.122414
87,100.000000,8.000000,-461.358548,-473.924918,-16.923941,3.009414,1.373289,0.122727
88,100.000000,7.345992,-452.577521,-464.116578,-17.382693,3.009414,1.373289,0.122247
89,100.000000,7.345992,-453.401692,-464.940749,-19.237730,3.009414,1.373289,0.121778
90,100.000000,7.211605,-461.886060,-473.214023,-15.010368,3.009414,1.373289,0.121538
91,100.000000,7.211605,-461.992614,-473.320577,-15.305404,3.009414,1.373289,0.121087
92,100.000000,6.711980,-468.220544,-478.763699,-14.517813,3.009414,1.373289,0.120968
93,100.000000,6.711980,-459.981478,-470.524632,-14.595278,3.009414,1.373289,0.120745
94,100.000000,6.086900,-464.309366,-473.870646,-15.455979,3.009414,1.373289,0.120421
95,100.000000,5.621871,-470.464768,-479.295582,-13.460480,3.009414,1.373289,0.120417
96,100.000000,4.000000,-469.645465,-475.928650,-13.262839,3.009414,1.373289,0.119897
97,100.000000,7.237770,-459.894861,-471.263924,-3.314864,3.009414,1.373289,0.119796
98,100.000000,7.986442,-465.255044,-477.800118,-3.336015,3.009414,1.373289,0.119192
99,100.000000,7.986442,-471.082961,-483.628035,-1.683151,3.009414,1.373289,0.118800
100,100.000000,7.986442,-470.542927,-483.088002,-1.883363,3.009414,1.373289,0.118515
101,100.000000,7.724494,-473.431288,-485.564896,-1.248360,3.009414,1.373289,0.118235
102,100.000000,7.724494,-470.258437,-482.392045,-22.059077,3.009414,1.373289,0.117573
103,100.000000,7.724494,-468.146966,-480.280574,-20.288893,3.009414,1.373289,0.117212
104,100.000000,7.724494,-466.763485,-478.897092,-20.003554,3.009414,1.373289,0.116667
105,100.000000,7.724494,-464.677356,-476.810963,-20.581084,3.009414,1.373289,0.116415
106,100.000000,7.740476,-467.064556,-479.223267,-22.850978,3.009414,1.373289,0.116168
107,100.000000,7.608670,-472.261185,-484.212856,3.783770,3.009414,1.373289,0.116296
108,100.000000,7.422196,-470.018500,-481.677258,3.958801,3.009414,1.373289,0.116330
109,100.000000,7.528928,-469.972213,-481.798626,-9.278808,3.009414,1.373289,0.116364
110,100.000000,7.528928,-465.448864,-477.275277,-8.687847,3.009414,1.373289,0.116216
111,100.000000,7.603994,-473.970634,-485.914960,-10.813049,3.009414,1.373289,0.116339
112,100.000000,7.471987,-470.610110,-482.347079,-9.659866,3.009414,1.373289,0.116018
113,100.000000,7.471987,-467.536700,-479.273670,-9.316212,3.009414,1.373289,0.116228
114,100.000000,7.046830,-467.575754,-478.644888,-10.753501,3.009414,1.373289,0.116174
115,100.000000,6.984237,-468.690435,-479.661249,-8.333648,3.009414,1.373289,0.115776
116,100.000000,7.236851,-473.861849,-485.229468,-7.165759,3.009414,1.373289,0.115641
117,100.000000,7.236851,-470.827107,-482.194725,-7.173806,3.009414,1.373289,0.115508
118,100.000000,7.236851,-475.428329,-486.795948,-5.253365,3.009414,1.373289,0.115210
119,100.000000,6.189504,-481.087435,-490.809886,-2.005930,3.009414,1.373289,0.115250
120,100.000000,6.994825,-478.076881,-489.064326,1.530114,3.009414,1.373289,0.115124
121,100.000000,6.994825,-478.177573,-489.165018,1.118052,3.009414,1.373289,0.114836
122,100.000000,7.347678,-481.752270,-493.293975,1.240233,3.009414,1.373289,0.114472
123,100.000000,7.589704,-485.804182,-497.726061,32.375460,3.009414,1.373289,0.114355
124,100.000000,7.589704,-484.331802,-496.253681,8.262530,3.009414,1.373289,0.114400
125,100.000000,7.757931,-481.981543,-494.167673,9.281396,3.009414,1.373289,0.114365
126,100.000000,7.757931,-482.625960,-494.812090,8.832908,3.009414,1.373289,0.114252
127,100.000000,7.757931,-484.608639,-496.794768,8.711555,3.009414,1.373289,0.113750
128,100.000000,7.439721,-483.378251,-495.064538,9.561447,3.009414,1.373289,0.113566
129,100.000000,7.439721,-484.920773,-496.607060,12.735345,3.009414,1.373289,0.113615
130,100.000000,7.439721,-487.266007,-498.952294,12.743791,3.009414,1.373289,0.113740
131,100.000000,7.439721,-492.572164,-504.258452,10.482300,3.009414,1.373289,0.113409
132,100.000000,6.626022,-491.078274,-501.486405,7.939375,3.009414,1.373289,0.113910
133,100.000000,6.099014,-486.400602,-495.980910,7.591294,3.009414,1.373289,0.113881
134,100.000000,6.549828,-480.407833,-490.696279,9.572729,3.009414,1.373289,0.113407
135,100.000000,6.549828,-479.363087,-489.651533,9.868786,3.009414,1.373289,0.113235
136,100.000000,6.549828,-480.890541,-491.178987,7.159810,3.009414,1.373289,0.113358
137,100.000000,6.549828,-481.391134,-491.679581,6.670128,3.009414,1.373289,0.113116
138,100.000000,6.549828,-477.517813,-487.806260,5.511992,3.009414,1.373289,0.113022
139,100.000000,6.549828,-482.093001,-492.381447,6.667844,3.009414,1.373289,0.113143
140,100.000000,6.165762,-483.366037,-493.051193,6.830373,3.009414,1.373289,0.113050
141,100.000000,6.165762,-485.270228,-494.955384,7.714672,3.009414,1.373289,0.113239
142,100.000000,5.709219,-488.715178,-497.683198,7.439941,3.009414,1.373289,0.113217
143,100.000000,5.709219,-488.670168,-497.638188,-15.328135,3.009414,1.373289,0.113056
144,100.000000,5.709219,-490.302118,-499.270138,-15.672387,3.009414,1.373289,0.112897
145,100.000000,5.709219,-490.824964,-499.792984,-15.094576,3.009414,1.373289,0.112534
146,100.000000,5.709219,-493.304473,-502.272493,-16.180056,3.009414,1.373289,0.112313
147,100.000000,5.709219,-498.102172,-507.070191,27.610237,3.009414,1.373289,0.111959
148,100.000000,5.699134,-496.471809,-505.423988,26.284118,3.009414,1.373289,0.111946
149,100.000000,5.548865,-496.472299,-505.188436,26.407686,3.009414,1.373289,0.111400
150,100.000000,4.539387,-497.060193,-504.190644,28.158630,3.009414,1.373289,0.111126
151,100.000000,4.539387,-500.407462,-507.537914,30.678646,3.009414,1.373289,0.110987
152,100.000000,4.539387,-496.507498,-503.637949,-3.036260,3.009414,1.373289,0.110784
153,100.000000,4.539387,-491.073752,-498.204204,-3.680134,3.009414,1.373289,0.110844
154,100.000000,5.322458,-493.811414,-502.171911,-2.871420,3.009414,1.373289,0.110839
155,100.000000,5.322458,-494.167847,-502.528344,-3.110070,3.009414,1.373289,0.110449
156,100.000000,5.322458,-493.522946,-501.883443,-2.632325,3.009414,1.373289,0.110573
157,100.000000,6.002030,-499.844259,-509.272225,-1.760954,3.009414,1.373289,0.110570
158,100.000000,6.404103,-493.681679,-503.741221,-0.562973,3.009414,1.373289,0.110503
159,100.000000,6.288607,-498.926745,-508.804867,-1.368265,3.009414,1.373289,0.110437
160,100.000000,6.288607,-497.658200,-507.536321,0.233313,3.009414,1.373289,0.110062
161,100.000000,6.728062,-496.474228,-507.042643,0.616420,3.009414,1.373289,0.109877
162,100.000000,6.728062,-496.554553,-507.122968,-0.600432,3.009414,1.373289,0.109509
163,100.000000,6.603012,-499.378876,-509.750863,-0.693340,3.009414,1.373289,0.109512
164,100.000000,6.694697,-496.802161,-507.318166,-1.063036,3.009414,1.373289,0.109273
165,100.000000,6.694697,-496.002945,-506.518951,-1.185768,3.009414,1.373289,0.108735
166,100.000000,7.060900,-493.268857,-504.360092,-1.746609,3.009414,1.373289,0.108503
167,100.000000,7.060900,-497.371105,-508.462340,-1.979691,3.009414,1.373289,0.108571
168,100.000000,7.060900,-490.926359,-502.017594,-1.336989,3.009414,1.373289,0.108462
169,100.000000,7.060900,-485.415052,-496.506288,-0.183493,3.009414,1.373289,0.108235
170,100.000000,7.060900,-483.901622,-494.992858,1.302547,3.009414,1.373289,0.107895
171,100.000000,6.413580,-476.988193,-487.062620,3.216828,3.009414,1.373289,0.108023
172,100.000000,6.413580,-474.184364,-484.258792,3.301324,3.009414,1.373289,0.107977
173,100.000000,5.810735,-469.395310,-478.522791,2.345047,3.009414,1.373289,0.108103
174,100.000000,5.737871,-469.649933,-478.662960,13.810059,3.009414,1.373289,0.108057
175,100.000000,5.737871,-472.399226,-481.412253,13.430132,3.009414,1.373289,0.107955
176,100.000000,5.737871,-480.126075,-489.139102,13.722234,3.009414,1.373289,0.107797
177,100.000000,5.749363,-477.557470,-486.588548,26.508945,3.009414,1.373289,0.107809
178,100.000000,7.677988,-476.930207,-488.990763,27.456832,3.009414,1.373289,0.107765
179,100.000000,7.585476,-486.095774,-498.011011,27.780533,3.009414,1.373289,0.107833
180,100.000000,6.862371,-474.813980,-485.593368,26.166822,3.009414,1.373289,0.107956
181,100.000000,6.862371,-473.178648,-483.958035,25.417461,3.009414,1.373289,0.107582
