step,|phi|,Q_L,A_L,S_L,Xi_L,F_LRe, F_LIm, acc
65,400.000000,40.414642,-1804.040083,-1899.264840,-31.747680,-4.629648,-6.806828,0.122727
66,400.000000,36.896192,-1818.756226,-1905.690830,-31.354906,-4.629648,-6.806828,0.122313
67,400.000000,38.512081,-1846.365332,-1937.107285,-20.887498,-4.629648,-6.806828,0.122537
68,400.000000,38.002292,-1844.219974,-1933.760765,-24.517225,-4.629648,-6.806828,0.122283
69,400.000000,35.231374,-1851.762775,-1934.774746,-19.796046,-4.629648,-6.806828,0.121929
70,400.000000,36.116124,-1853.285220,-1938.381833,-21.698916,-4.629648,-6.806828,0.121408
71,400.000000,35.764679,-1846.110719,-1930.379259,-23.559830,-4.629648,-6.806828,0.120799
72,400.000000,35.428427,-1850.420637,-1933.896902,-39.637783,-4.629648,-6.806828,0.120411
73,400.000000,35.342482,-1854.544292,-1937.818055,-39.744888,-4.629648,-6.806828,0.119899
74,400.000000,36.384899,-1857.283998,-1943.013896,-40.353766,-4.629648,-6.806828,0.119300
75,400.000000,35.378844,-1843.867892,-1927.227330,-39.839845,-4.629648,-6.806828,0.118947
76,400.000000,36.162810,-1843.079678,-1928.286293,-38.175266,-4.629648,-6.806828,0.118896
77,400.000000,36.579298,-1860.809631,-1946.997573,-37.199491,-4.629648,-6.806828,0.118590
78,400.000000,36.787153,-1850.074385,-1936.752072,-40.352580,-4.629648,-6.806828,0.118291
79,400.000000,36.895605,-1847.181989,-1934.115211,-37.114686,-4.629648,-6.806828,0.117813
80,400.000000,37.762807,-1841.730802,-1930.707319,-33.608885,-4.629648,-6.806828,0.117685
81,400.000000,37.832505,-1852.265754,-1941.406493,-31.999208,-4.629648,-6.806828,0.117470
82,400.000000,37.875179,-1856.303782,-1945.545070,-35.280027,-4.629648,-6.806828,0.117500
83,400.000000,37.455403,-1854.538112,-1942.790326,-38.412430,-4.629648,-6.806828,0.117619
84,400.000000,37.360815,-1872.813523,-1960.842868,-37.908602,-4.629648,-6.806828,0.117382
85,400.000000,35.270700,-1871.082630,-1954.187259,-38.618931,-4.629648,-6.806828,0.117209
86,400.000000,37.678490,-1861.738029,-1950.515880,-35.166699,-4.629648,-6.806828,0.116954
87,400.000000,35.942322,-1864.185029,-1948.872129,-33.423735,-4.629648,-6.806828,0.116761
88,400.000000,37.765785,-1868.570325,-1957.553861,-37.757287,-4.629648,-6.806828,0.116461
89,400.000000,38.494122,-1866.473742,-1957.173380,-38.872033,-4.629648,-6.806828,0.115889
90,400.000000,38.720464,-1871.703923,-1962.936866,-39.557242,-4.629648,-6.806828,0.115577
91,400.000000,36.552497,-1872.287440,-1958.412233,-35.884577,-4.629648,-6.806828,0.115190
92,400.000000,38.144275,-1887.132085,-1977.007415,-39.267611,-4.629648,-6.806828,0.115188
93,400.000000,37.754224,-1874.065135,-1963.021430,-41.336926,-4.629648,-6.806828,0.115106
94,400.000000,38.733804,-1863.173841,-1954.438217,-39.918776,-4.629648,-6.806828,0.114816
95,400.000000,38.587438,-1859.192438,-1950.111947,-41.689050,-4.629648,-6.806828,0.114349
96,400.000000,38.616323,-1873.452473,-1964.440041,-42.610288,-4.629648,-6.806828,0.114021
97,400.000000,38.621911,-1868.469678,-1959.470413,-43.165884,-4.629648,-6.806828,0.113597
98,400.000000,37.994863,-1869.434826,-1958.958114,-43.581034,-4.629648,-6.806828,0.113283
99,400.000000,37.772139,-1865.823423,-1954.821928,-43.318694,-4.629648,-6.806828,0.113200
