i,j,G_avg
0,0,0.018183
0,1,0.009885
0,2,0.008368
0,3,0.008056
0,4,0.001186
0,5,0.007037
0,6,0.002726
0,7,0.003489
0,8,0.002626
0,9,-0.001974
0,10,0.000413
0,11,-0.005212
0,12,-0.003860
0,13,0.002155
0,14,0.008099
0,15,-0.000063
0,16,-0.006567
0,17,-0.007232
0,18,0.004176
0,19,0.002527
0,20,0.000523
0,21,-0.004008
0,22,-0.001248
0,23,0.001865
0,24,-0.006683
0,25,0.004889
0,26,0.003273
0,27,0.003571
0,28,0.002089
0,29,-0.002328
0,30,0.000033
0,31,0.003605
0,32,0.004932
0,33,-0.001244
0,34,0.006383
0,35,0.006363
0,36,-0.000960
0,37,0.007815
0,38,0.009624
0,39,0.007643
1,0,0.012823
1,1,0.008011
1,2,0.009166
1,3,0.006911
1,4,0.000719
1,5,0.005568
1,6,0.000879
1,7,-0.001203
1,8,0.004285
1,9,-0.003294
1,10,0.000275
1,11,-0.002119
1,12,-0.003554
1,13,0.008330
1,14,0.006905
1,15,0.001988
1,16,-0.004172
1,17,-0.003481
1,18,0.004340
1,19,0.001302
1,20,0.003167
1,21,0.001508
1,22,0.001527
1,23,0.003632
1,24,-0.007804
1,25,0.002147
1,26,-0.000801
1,27,0.002941
1,28,0.001375
1,29,0.000346
1,30,0.003176
1,31,0.009375
1,32,0.004944
1,33,0.000449
1,34,0.003861
1,35,0.011011
1,36,-0.001236
1,37,0.006787
1,38,0.006388
1,39,0.009518
2,0,0.009596
2,1,0.008255
2,2,0.005395
2,3,0.006992
2,4,-0.000433
2,5,0.006913
2,6,0.002866
2,7,0.004574
2,8,0.005410
2,9,0.005508
2,10,0.000827
2,11,-0.001429
2,12,-0.006775
2,13,0.002167
2,14,0.004966
2,15,0.002530
2,16,-0.004637
2,17,-0.003417
2,18,0.004279
2,19,0.001349
2,20,0.002052
2,21,0.002719
2,22,0.002498
2,23,0.000839
2,24,-0.007523
2,25,0.000692
2,26,-0.003989
2,27,0.001606
2,28,-0.002365
2,29,-0.002282
2,30,0.005442
2,31,0.009834
2,32,0.008964
2,33,0.000966
2,34,0.001026
2,35,0.009245
2,36,-0.003002
2,37,-0.002171
2,38,0.002125
2,39,0.003824
3,0,0.005173
3,1,0.003141
3,2,0.003167
3,3,0.012602
3,4,0.003578
3,5,0.009676
3,6,0.007290
3,7,0.009521
3,8,0.009442
3,9,0.008461
3,10,0.000352
3,11,-0.000886
3,12,-0.004239
3,13,-0.000370
3,14,0.000512
3,15,0.000866
3,16,-0.005871
3,17,-0.003217
