i,j,G_avg
0,0,0.054580
0,1,0.016857
0,2,0.014913
0,3,-0.010176
0,4,-0.000332
0,5,-0.013656
0,6,0.020361
0,7,0.011511
0,8,-0.001569
0,9,0.001423
0,10,-0.006821
0,11,-0.001542
0,12,-0.009155
0,13,0.026595
0,14,0.009002
0,15,0.011708
0,16,0.030159
0,17,0.012333
0,18,-0.006784
0,19,0.015864
1,0,0.030679
1,1,0.017285
1,2,0.008055
1,3,-0.026016
1,4,-0.014984
1,5,-0.007342
1,6,0.014310
1,7,0.017193
1,8,0.008787
1,9,0.021788
1,10,0.018917
1,11,-0.011785
1,12,-0.006548
1,13,0.012934
1,14,0.021185
1,15,0.008139
1,16,0.013087
1,17,0.013626
1,18,-0.008624
1,19,0.016124
2,0,0.009258
2,1,0.017363
2,2,0.016431
2,3,-0.012125
2,4,-0.005463
2,5,0.012841
2,6,0.018435
2,7,0.028293
2,8,0.024021
2,9,0.024547
2,10,0.018760
2,11,-0.001914
2,12,0.004503
2,13,-0.006205
2,14,0.023968
2,15,-0.004490
2,16,0.000893
2,17,0.024921
2,18,0.005969
2,19,0.013360
3,0,-0.018230
3,1,0.003712
3,2,0.007412
3,3,0.004575
3,4,0.006075
3,5,0.004498
3,6,0.019587
3,7,0.007225
3,8,0.018059
3,9,0.008436
3,10,-0.003253
3,11,-0.001357
3,12,0.021470
3,13,0.006193
3,14,0.007345
3,15,-0.011093
3,16,-0.005571
3,17,0.011991
3,18,-0.004663
3,19,-0.002111
4,0,-0.006456
4,1,-0.013362
4,2,-0.007797
4,3,-0.007138
4,4,0.001062
4,5,-0.007939
4,6,-0.002240
4,7,-0.003737
4,8,0.015088
4,9,0.023305
4,10,-0.000309
4,11,0.004243
4,12,0.023527
4,13,0.023599
4,14,0.005441
4,15,-0.023593
4,16,-0.014006
4,17,-0.015945
4,18,-0.019729
4,19,-0.008916
5,0,-0.004268
5,1,-0.006637
5,2,-0.010300
5,3,-0.016405
5,4,-0.011785
5,5,-0.014266
5,6,0.021738
5,7,0.014137
5,8,0.017706
5,9,0.017433
5,10,-0.001202
5,11,-0.020544
5,12,0.018458
5,13,0.017954
5,14,0.009039
5,15,-0.026835
5,16,-0.014830
5,17,-0.024388
5,18,-0.024077
5,19,-0.011235
6,0,0.015336
6,1,-0.000251
6,2,-0.013117
6,3,-0.030972
6,4,-0.019730
6,5,-0.003013
6,6,0.022506
6,7,0.015270
6,8,0.008433
6,9,0.011101
6,10,-0.008213
6,11,-0.017753
6,12,0.014117
6,13,-0.000139
6,14,0.011339
6,15,-0.018754
6,16,-0.017328
6,17,-0.028880
6,18,-0.011728
6,19,0.004336
7,0,0.005003
7,1,-0.007582
7,2,-0.005314
7,3,-0.010079
7,4,-0.012375
7,5,-0.023293
7,6,0.009451
7,7,0.024742
7,8,0.012251
7,9,-0.017666
7,10,-0.018054
7,11,-0.024132
7,12,-0.004801
7,13,-0.000786
7,14,-0.014448
7,15,-0.032333
7,16,-0.021301
7,17,-0.019120
7,18,-0.015293
7,19,-0.005378
8,0,-0.000214
8,1,-0.012409
8,2,-0.001500
8,3,-0.005452
8,4,-0.007064
8,5,-0.012131
8,6,-0.001073
8,7,0.008416
8,8,-0.000684
8,9,-0.036290
8,10,-0.022861
8,11,0.002080
8,12,-0.007876
8,13,0.005361
8,14,-0.022579
8,15,-0.020101
8,16,-0.018233
8,17,-0.018135
8,18,-0.006281
8,19,-0.007605
9,0,0.000109
9,1,-0.007654
9,2,0.003724
9,3,0.014065
9,4,-0.001683
9,5,-0.022523
9,6,-0.026017
9,7,-0.002956
9,8,0.007421
9,9,-0.027626
9,10,-0.011709
9,11,0.006145
9,12,-0.000054
9,13,0.015538
9,14,-0.007773
9,15,0.002160
9,16,-0.020917
9,17,-0.017806
9,18,-0.014970
9,19,-0.013457
10,0,0.002817
10,1,0.017080
10,2,0.032810
10,3,0.015261
10,4,0.002222
10,5,-0.022174
10,6,-0.011694
10,7,-0.012316
10,8,0.007990
10,9,-0.013314
10,10,-0.001189
10,11,0.011312
10,12,0.004359
10,13,0.022724
10,14,-0.004926
10,15,-0.000922
10,16,-0.011121
10,17,0.013996
10,18,0.000344
10,19,-0.020620
11,0,0.005571
11,1,0.027527
11,2,0.016904
11,3,0.013085
11,4,0.015564
11,5,0.003684
11,6,0.003393
11,7,0.001632
11,8,0.020894
11,9,-0.009308
11,10,0.003917
11,11,0.003349
11,12,0.003649
11,13,0.021341
11,14,-0.015239
11,15,-0.004175
11,16,0.011235
11,17,0.017836
11,18,-0.003770
11,19,-0.011652
12,0,0.030226
12,1,0.019488
12,2,0.022148
12,3,0.014267
12,4,0.020460
12,5,0.013337
12,6,-0.002686
12,7,-0.011362
12,8,0.001219
12,9,-0.016274
12,10,0.001888
12,11,0.012781
12,12,0.004826
12,13,0.004159
12,14,-0.027946
12,15,-0.009093
12,16,-0.013784
12,17,0.000956
12,18,0.002198
12,19,0.008040
13,0,0.030774
13,1,0.023721
13,2,0.027436
13,3,0.012096
13,4,0.024867
13,5,0.013390
13,6,-0.006485
13,7,-0.011712
13,8,0.015217
13,9,0.006558
13,10,0.005987
13,11,0.022412
13,12,0.029047
13,13,0.011899
13,14,-0.008234
13,15,-0.006008
13,16,-0.014651
13,17,-0.013222
13,18,0.000590
13,19,0.017431
14,0,0.028102
14,1,0.029843
14,2,0.026235
14,3,0.015693
14,4,0.030510
14,5,0.013201
14,6,0.003401
14,7,-0.001487
14,8,0.018943
14,9,0.014045
14,10,-0.003893
14,11,0.011700
14,12,0.028227
14,13,0.018553
14,14,0.005728
14,15,-0.002269
14,16,0.003091
14,17,-0.016125
14,18,-0.002877
14,19,0.031554
15,0,0.025290
15,1,0.029892
15,2,0.032682
15,3,0.002328
