step,|phi|,Q_L,A_L,S_L,Xi_L,F_LRe, F_LIm, acc
0,1600.000000,55.703710,-2438.472227,-2482.221819,-11.760316,-22.292762,16.595545,0.534375
1,1600.000000,95.135611,-3456.466027,-3531.185362,-7.326505,-22.292762,16.595545,0.429375
2,1600.000000,90.063752,-4150.414073,-4221.149978,-56.902614,-22.292762,16.595545,0.376875
3,1600.000000,96.269063,-4651.651426,-4727.260971,-84.625255,-22.292762,16.595545,0.339219
4,1600.000000,82.807907,-5091.101953,-5156.139131,-96.753236,-22.292762,16.595545,0.313750
5,1600.000000,72.469210,-5425.394434,-5482.311619,-105.328363,-22.292762,16.595545,0.295000
6,1600.000000,71.879996,-5690.774715,-5747.229131,-119.107090,-22.292762,16.595545,0.276607
7,1600.000000,69.224368,-5875.343708,-5929.712400,-94.022696,-22.292762,16.595545,0.261953
8,1600.000000,75.675427,-6037.993785,-6097.429127,-82.675995,-22.292762,16.595545,0.249167
9,1600.000000,69.827079,-6224.016100,-6278.858159,-78.795822,-22.292762,16.595545,0.238375
10,1600.000000,72.670117,-6336.870089,-6393.945065,-96.873589,-22.292762,16.595545,0.229034
11,1600.000000,72.558486,-6411.688341,-6468.675643,-96.583101,-22.292762,16.595545,0.221302
12,1600.000000,77.890321,-6492.110622,-6553.285537,-103.202968,-22.292762,16.595545,0.213750
13,1600.000000,71.454030,-6584.195939,-6640.315803,-107.260549,-22.292762,16.595545,0.209063
14,1600.000000,65.651393,-6709.020237,-6760.582721,-101.981901,-22.292762,16.595545,0.203500
15,1600.000000,60.491374,-6776.644393,-6824.154207,-88.606181,-22.292762,16.595545,0.197500
16,1600.000000,53.351309,-6831.440798,-6873.342819,-97.143102,-22.292762,16.595545,0.193382
17,1600.000000,47.392355,-6884.450723,-6921.672592,-97.083245,-22.292762,16.595545,0.188924
18,1600.000000,47.333011,-6949.697859,-6986.873119,-96.525410,-22.292762,16.595545,0.184836
19,1600.000000,40.272292,-7010.102460,-7041.732245,-106.888261,-22.292762,16.595545,0.181125
20,1600.000000,45.447978,-7059.216928,-7094.911687,-114.994938,-22.292762,16.595545,0.178363
21,1600.000000,44.685921,-7105.847006,-7140.943246,-123.818856,-22.292762,16.595545,0.175455
22,1600.000000,43.016131,-7135.215087,-7168.999878,-127.534540,-22.292762,16.595545,0.172962
23,1600.000000,44.841160,-7165.756933,-7200.975097,-121.717753,-22.292762,16.595545,0.170599
24,1600.000000,43.995836,-7227.547207,-7262.101456,-166.496685,-22.292762,16.595545,0.167925
25,1600.000000,41.861857,-7244.600603,-7277.478829,-167.352878,-22.292762,16.595545,0.166274
26,1600.000000,44.540606,-7270.225555,-7305.207666,-179.246920,-22.292762,16.595545,0.164375
27,1600.000000,37.882962,-7327.233397,-7356.986606,-174.545999,-22.292762,16.595545,0.162321
28,1600.000000,36.568109,-7385.348575,-7414.069100,-179.928106,-22.292762,16.595545,0.160129
29,1600.000000,39.984104,-7407.545711,-7438.949153,-174.175526,-22.292762,16.595545,0.158333
30,1600.000000,39.435727,-7417.397086,-7448.369833,-167.932377,-22.292762,16.595545,0.156431
31,1600.000000,35.289483,-7426.709389,-7454.425684,-170.633680,-22.292762,16.595545,0.155000
32,1600.000000,32.123688,-7439.893164,-7465.123049,-170.811334,-22.292762,16.595545,0.153485
33,1600.000000,28.574456,-7461.742025,-7484.184350,-176.033716,-22.292762,16.595545,0.152335
34,1600.000000,32.405153,-7505.062385,-7530.513333,-183.669209,-22.292762,16.595545,0.150893
35,1600.000000,30.062595,-7528.973466,-7552.584572,-188.224610,-22.292762,16.595545,0.149514
36,1600.000000,32.518425,-7543.382238,-7568.922149,-199.449651,-22.292762,16.595545,0.147990
37,1600.000000,30.346106,-7547.613741,-7571.447517,-211.574730,-22.292762,16.595545,0.147056
38,1600.000000,29.992316,-7583.487761,-7607.043671,-214.863442,-22.292762,16.595545,0.145994
39,1600.000000,30.100398,-7602.028132,-7625.668929,-218.041804,-22.292762,16.595545,0.145016
40,1600.000000,32.544027,-7632.131062,-7657.691081,-209.493116,-22.292762,16.595545,0.143735
41,1600.000000,32.822194,-7668.671166,-7694.449657,-212.720970,-22.292762,16.595545,0.142589
42,1600.000000,31.827972,-7664.673476,-7689.671107,-204.514522,-22.292762,16.595545,0.141672
43,1600.000000,28.122998,-7656.672520,-7678.760271,-201.763998,-22.292762,16.595545,0.140781
44,1600.000000,28.453954,-7664.058549,-7686.406232,-207.083492,-22.292762,16.595545,0.139625
45,1600.000000,28.090857,-7671.184776,-7693.247284,-210.743150,-22.292762,16.595545,0.138533
46,1600.000000,28.868407,-7713.712672,-7736.385866,-205.345822,-22.292762,16.595545,0.137420
47,1600.000000,28.235426,-7747.076766,-7769.252818,-207.619434,-22.292762,16.595545,0.136458
48,1600.000000,26.025456,-7754.901068,-7775.341413,-209.360032,-22.292762,16.595545,0.135727
49,1600.000000,27.123355,-7785.240698,-7806.543331,-207.701115,-22.292762,16.595545,0.135137
50,1600.000000,28.016766,-7785.719900,-7807.724217,-200.874655,-22.292762,16.595545,0.134449
51,1600.000000,26.775223,-7789.786131,-7810.815342,-200.701390,-22.292762,16.595545,0.133858
52,1600.000000,25.673157,-7792.109153,-7812.272803,-205.122145,-22.292762,16.595545,0.133172
53,1600.000000,27.682267,-7787.392847,-7809.134448,-207.813830,-22.292762,16.595545,0.132500
54,1600.000000,27.682267,-7792.243860,-7813.985462,-217.956979,-22.292762,16.595545,0.131977
55,1600.000000,27.769675,-7814.263360,-7836.073612,-225.631416,-22.292762,16.595545,0.131451
56,1600.000000,26.206907,-7828.623538,-7849.206395,-228.659187,-22.292762,16.595545,0.130866
57,1600.000000,26.412168,-7813.263284,-7834.007352,-222.066233,-22.292762,16.595545,0.130291
58,1600.000000,27.736735,-7807.483738,-7829.268119,-228.873948,-22.292762,16.595545,0.129682
59,1600.000000,26.075429,-7811.179017,-7831.658611,-226.448081,-22.292762,16.595545,0.128896
60,1600.000000,27.940233,-7799.600117,-7821.544325,-218.345839,-22.292762,16.595545,0.128350
61,1600.000000,27.958090,-7823.606719,-7845.564952,-186.859916,-22.292762,16.595545,0.127772
62,1600.000000,27.172278,-7835.885977,-7857.227034,-188.903905,-22.292762,16.595545,0.127143
63,1600.000000,27.333098,-7811.168398,-7832.635763,-183.640433,-22.292762,16.595545,0.126777
64,1600.000000,26.953644,-7845.318433,-7866.487776,-186.045704,-22.292762,16.595545,0.126365
65,1600.000000,24.551323,-7871.424018,-7890.706582,-191.223596,-22.292762,16.595545,0.125909
66,1600.000000,23.097944,-7893.104157,-7911.245239,-195.059345,-22.292762,16.595545,0.125410
67,1600.000000,28.851023,-7886.512673,-7909.172213,-190.307501,-22.292762,16.595545,0.124945
68,1600.000000,25.303561,-7878.349634,-7898.223004,-193.929852,-22.292762,16.595545,0.124447
69,1600.000000,25.715178,-7894.761127,-7914.957781,-195.117980,-22.292762,16.595545,0.124009
70,1600.000000,28.120181,-7907.160190,-7929.245729,-187.329642,-22.292762,16.595545,0.123600
71,1600.000000,29.633735,-7929.276787,-7952.551068,-189.581064,-22.292762,16.595545,0.123064
72,1600.000000,29.657339,-7934.888113,-7958.180932,-198.102709,-22.292762,16.595545,0.122560
73,1600.000000,29.804901,-7922.978815,-7946.387530,-199.138935,-22.292762,16.595545,0.121934
74,1600.000000,30.648419,-7931.335378,-7955.406590,-194.316906,-22.292762,16.595545,0.121375
75,1600.000000,27.529442,-7921.892864,-7943.514438,-182.819302,-22.292762,16.595545,0.121077
76,1600.000000,27.407858,-7909.011848,-7930.537929,-181.300872,-22.292762,16.595545,0.120836
77,1600.000000,31.070576,-7896.994504,-7921.397278,-187.432885,-22.292762,16.595545,0.120697
78,1600.000000,30.014268,-7877.897330,-7901.470481,-188.931099,-22.292762,16.595545,0.120316
79,1600.000000,29.338123,-7898.111368,-7921.153476,-197.426317,-22.292762,16.595545,0.119922
80,1600.000000,27.729832,-7901.549453,-7923.328412,-190.316674,-22.292762,16.595545,0.119722
81,1600.000000,26.844970,-7887.125661,-7908.209651,-185.153174,-22.292762,16.595545,0.119581
82,1600.000000,26.969511,-7905.603130,-7926.784934,-181.648880,-22.292762,16.595545,0.119345
83,1600.000000,25.276038,-7909.238550,-7929.090304,-171.050338,-22.292762,16.595545,0.118966
84,1600.000000,27.087745,-7905.972504,-7927.247169,-175.721945,-22.292762,16.595545,0.118728
85,1600.000000,23.499073,-7925.609154,-7944.065283,-188.834492,-22.292762,16.595545,0.118263
86,1600.000000,22.762722,-7957.472695,-7975.350495,-190.103042,-22.292762,16.595545,0.118032
87,1600.000000,22.287702,-7977.629691,-7995.134411,-192.176022,-22.292762,16.595545,0.117770
88,1600.000000,22.778611,-7973.832518,-7991.722797,-196.798629,-22.292762,16.595545,0.117465
89,1600.000000,22.910456,-7942.502624,-7960.496454,-197.411778,-22.292762,16.595545,0.117118
90,1600.000000,22.818179,-7965.673859,-7983.595215,-196.568716,-22.292762,16.595545,0.116896
91,1600.000000,22.649168,-7959.148477,-7976.937092,-196.376368,-22.292762,16.595545,0.116658
92,1600.000000,22.582927,-7986.975076,-8004.711666,-205.044466,-22.292762,16.595545,0.116277
93,1600.000000,22.677346,-8012.269168,-8030.079913,-167.979274,-22.292762,16.595545,0.115984
