step,|phi|,Q_L,A_L,S_L,Xi_L,F_LRe, F_LIm, acc
0,1600.000000,146.064913,-2342.556241,-2571.994469,-16.669562,-10.987296,13.079030,0.527500
1,1600.000000,184.374381,-3365.038842,-3654.653443,-1.882329,-10.987296,13.079030,0.421563
2,1600.000000,177.022503,-4048.600111,-4326.666409,-11.571969,-10.987296,13.079030,0.372083
3,1600.000000,172.230803,-4557.623484,-4828.162996,64.472961,-10.987296,13.079030,0.333906
4,1600.000000,161.693588,-4909.128687,-5163.116381,58.446404,-10.987296,13.079030,0.307125
5,1600.000000,167.134339,-5177.187687,-5439.721694,58.031552,-10.987296,13.079030,0.288750
6,1600.000000,153.598573,-5430.080914,-5671.352989,59.303781,-10.987296,13.079030,0.270268
7,1600.000000,146.782150,-5594.350240,-5824.915101,49.730629,-10.987296,13.079030,0.256406
8,1600.000000,134.452332,-5761.067331,-5972.264560,61.340777,-10.987296,13.079030,0.245833
9,1600.000000,124.036922,-5960.951859,-6155.788600,72.791655,-10.987296,13.079030,0.236500
10,1600.000000,137.227609,-6083.912526,-6299.469150,70.707705,-10.987296,13.079030,0.228011
11,1600.000000,137.857230,-6175.434582,-6391.980212,120.233525,-10.987296,13.079030,0.220417
12,1600.000000,147.641003,-6244.066042,-6475.979988,118.138842,-10.987296,13.079030,0.212740
13,1600.000000,150.232673,-6351.887509,-6587.872440,117.973793,-10.987296,13.079030,0.207232
14,1600.000000,143.427091,-6444.010949,-6669.305697,117.267442,-10.987296,13.079030,0.202333
15,1600.000000,139.340101,-6493.555028,-6712.429948,113.045899,-10.987296,13.079030,0.197187
16,1600.000000,141.699075,-6516.326470,-6738.906857,122.575575,-10.987296,13.079030,0.193088
17,1600.000000,144.361102,-6579.105891,-6805.867780,134.775518,-10.987296,13.079030,0.189236
18,1600.000000,142.183824,-6635.906388,-6859.248216,133.432238,-10.987296,13.079030,0.185033
19,1600.000000,135.794763,-6715.277458,-6928.583372,137.405639,-10.987296,13.079030,0.181781
20,1600.000000,134.763772,-6737.951433,-6949.637872,137.260866,-10.987296,13.079030,0.178869
21,1600.000000,137.485277,-6794.539501,-7010.500869,141.588398,-10.987296,13.079030,0.175597
22,1600.000000,130.112014,-6876.750205,-7081.129678,135.855546,-10.987296,13.079030,0.172690
23,1600.000000,133.291170,-6907.600088,-7116.973367,138.332750,-10.987296,13.079030,0.170182
24,1600.000000,134.535521,-6901.798744,-7113.126647,140.255917,-10.987296,13.079030,0.167575
25,1600.000000,130.182501,-6912.662159,-7117.152353,155.512164,-10.987296,13.079030,0.165625
26,1600.000000,129.397396,-6939.935053,-7143.192007,171.067963,-10.987296,13.079030,0.163912
27,1600.000000,121.937562,-6965.303367,-7156.842441,185.722763,-10.987296,13.079030,0.162188
28,1600.000000,116.165923,-7019.694706,-7202.167712,188.296142,-10.987296,13.079030,0.160237
29,1600.000000,117.014790,-7045.462456,-7229.268859,192.110909,-10.987296,13.079030,0.158979
30,1600.000000,120.526093,-7087.761231,-7277.083175,188.092337,-10.987296,13.079030,0.157480
31,1600.000000,116.809307,-7103.525517,-7287.009148,192.486995,-10.987296,13.079030,0.156348
32,1600.000000,117.219914,-7113.977974,-7298.106584,198.067463,-10.987296,13.079030,0.154811
33,1600.000000,113.736146,-7154.467654,-7333.123975,204.261391,-10.987296,13.079030,0.153309
34,1600.000000,107.757706,-7154.838242,-7324.103652,205.497209,-10.987296,13.079030,0.152161
35,1600.000000,109.541279,-7194.413246,-7366.480285,201.105512,-10.987296,13.079030,0.151111
36,1600.000000,105.918086,-7241.295938,-7407.671678,182.077982,-10.987296,13.079030,0.149628
37,1600.000000,104.703455,-7254.349700,-7418.817502,188.665882,-10.987296,13.079030,0.148372
38,1600.000000,99.143468,-7305.563871,-7461.298066,199.482742,-10.987296,13.079030,0.147276
39,1600.000000,101.574793,-7323.158810,-7482.712121,206.522527,-10.987296,13.079030,0.146672
40,1600.000000,103.155008,-7323.994923,-7486.030431,204.494515,-10.987296,13.079030,0.145534
