i,j,G_avg
0,0,0.070763
0,1,0.029353
0,2,0.020205
0,3,-0.001912
0,4,0.000965
0,5,-0.007490
0,6,0.012130
0,7,-0.006311
0,8,-0.014195
0,9,-0.013803
0,10,-0.012848
0,11,0.031383
0,12,0.015360
0,13,0.037700
0,14,0.018234
0,15,0.026073
0,16,0.035710
0,17,0.017310
0,18,0.034985
0,19,0.043337
1,0,0.044912
1,1,0.030824
1,2,0.014385
1,3,-0.008202
1,4,-0.015464
1,5,-0.014238
1,6,0.005303
1,7,0.002873
1,8,-0.005469
1,9,0.004118
1,10,0.006274
1,11,0.023186
1,12,0.012172
1,13,0.026755
1,14,0.024838
1,15,0.022022
1,16,0.014200
1,17,0.020498
1,18,0.026080
1,19,0.043728
2,0,0.030049
2,1,0.028329
2,2,0.018727
2,3,-0.003311
2,4,-0.006151
2,5,-0.001742
2,6,0.011043
2,7,0.016734
2,8,0.010870
2,9,0.007221
2,10,0.005196
2,11,0.004585
2,12,0.018424
2,13,0.022517
2,14,0.016031
2,15,0.003761
2,16,0.004296
2,17,0.036424
2,18,0.039202
2,19,0.037018
3,0,0.002743
3,1,0.014903
3,2,0.018831
3,3,0.010801
3,4,0.009678
3,5,-0.012887
3,6,0.016244
3,7,0.001669
3,8,0.003496
3,9,0.000737
3,10,-0.004934
3,11,0.005992
3,12,0.034823
3,13,0.026470
3,14,0.015208
3,15,-0.003832
3,16,0.014965
3,17,0.025371
3,18,0.017634
3,19,0.013399
4,0,0.014017
4,1,-0.002472
4,2,0.007872
4,3,0.008170
4,4,0.009268
4,5,-0.013683
4,6,0.007459
4,7,-0.004328
4,8,0.005866
4,9,0.022033
4,10,0.006825
4,11,0.013941
4,12,0.032544
4,13,0.029370
4,14,0.027451
4,15,0.017993
4,16,0.000794
4,17,0.008842
4,18,-0.005373
4,19,0.008624
5,0,0.001923
5,1,-0.006596
5,2,0.005353
5,3,0.000322
5,4,-0.004601
5,5,-0.013421
5,6,0.019071
5,7,0.014084
5,8,0.017863
5,9,0.011505
5,10,0.007314
5,11,-0.003953
5,12,0.026248
5,13,0.022846
5,14,0.025405
5,15,-0.003090
5,16,0.007250
5,17,-0.003622
5,18,-0.006810
5,19,0.001044
6,0,0.001721
6,1,-0.002142
6,2,0.002816
6,3,-0.006297
6,4,-0.008119
6,5,0.000627
6,6,0.017099
6,7,0.017782
6,8,0.013424
6,9,0.005137
6,10,0.003882
6,11,0.002731
6,12,0.025567
6,13,0.012781
6,14,0.029183
6,15,0.003986
6,16,0.000178
6,17,-0.009642
6,18,0.005658
6,19,0.001312
7,0,0.003430
7,1,-0.003464
7,2,0.008259
7,3,0.011354
7,4,0.007939
7,5,-0.012069
7,6,0.007933
7,7,0.028342
7,8,0.028713
7,9,0.006868
7,10,0.024121
7,11,-0.000191
7,12,0.011920
7,13,0.011740
7,14,0.014730
7,15,-0.012142
7,16,-0.000998
7,17,-0.003604
7,18,-0.003112
7,19,0.003254
8,0,0.011948
8,1,-0.008855
8,2,0.007652
8,3,0.014000
8,4,0.014035
8,5,0.005862
8,6,0.003914
8,7,0.013029
8,8,0.017772
8,9,0.018634
8,10,0.040764
8,11,0.025536
8,12,0.009031
8,13,0.022611
8,14,0.007302
8,15,0.002733
8,16,-0.001426
8,17,0.008908
8,18,0.009912
8,19,0.011886
9,0,0.024861
9,1,-0.000832
9,2,0.011188
9,3,0.028971
9,4,0.023484
9,5,0.002070
9,6,-0.004987
9,7,0.004916
9,8,0.021842
9,9,0.015949
9,10,0.022797
9,11,0.025748
9,12,0.013175
9,13,0.035338
9,14,0.022988
9,15,0.027790
9,16,-0.014308
9,17,0.005965
9,18,0.001253
9,19,0.016982
10,0,0.017125
10,1,0.021878
10,2,0.036436
10,3,0.025337
10,4,0.021491
10,5,0.000643
10,6,0.010398
10,7,0.001250
10,8,0.022912
10,9,-0.004328
10,10,0.017433
10,11,0.027341
10,12,0.014991
10,13,0.034654
10,14,0.027137
10,15,0.031734
10,16,0.004042
10,17,0.021291
10,18,0.009204
10,19,0.008007
11,0,0.013800
11,1,0.030454
11,2,0.028910
11,3,0.020715
11,4,0.030683
11,5,0.020396
11,6,0.016891
11,7,0.012663
11,8,0.033089
11,9,0.006451
11,10,0.013448
11,11,0.004060
11,12,0.008963
11,13,0.027879
11,14,0.010798
11,15,0.018809
11,16,0.022825
11,17,0.024592
11,18,0.009932
11,19,0.010322
12,0,0.035167
12,1,0.020173
12,2,0.029116
12,3,0.021766
12,4,0.030137
12,5,0.025417
12,6,0.004898
12,7,-0.002378
12,8,0.013754
12,9,0.004151
12,10,0.006280
12,11,0.002700
12,12,0.005453
12,13,0.015269
12,14,-0.003216
12,15,0.008943
12,16,-0.006224
12,17,0.006235
12,18,0.011163
12,19,0.019764
13,0,0.035101
13,1,0.025128
13,2,0.032223
13,3,0.017412
13,4,0.032413
13,5,0.009933
13,6,-0.005311
13,7,-0.006525
13,8,0.023372
13,9,0.015224
13,10,0.013764
13,11,0.018387
13,12,0.035335
13,13,0.023599
13,14,0.008300
13,15,0.006530
13,16,-0.010870
13,17,-0.001359
13,18,0.009756
13,19,0.026795
14,0,0.031028
14,1,0.032098
14,2,0.029832
14,3,0.016768
14,4,0.035466
14,5,0.004183
14,6,-0.000066
14,7,0.001398
14,8,0.021744
14,9,0.019131
14,10,0.004547
14,11,0.011473
14,12,0.035326
14,13,0.023509
14,14,0.008655
14,15,0.004854
14,16,0.001211
14,17,-0.008637
14,18,0.002569
14,19,0.034069
15,0,0.028723
15,1,0.033193
15,2,0.034337
15,3,0.011321
15,4,0.033547
15,5,0.008016
15,6,-0.006618
15,7,-0.001992
15,8,0.022878
15,9,0.019292
15,10,-0.013538
15,11,0.013826
15,12,0.032709
15,13,0.038409
15,14,-0.001749
15,15,-0.003915
15,16,0.017854
15,17,-0.011499
15,18,0.010383
15,19,0.032389
16,0,0.022556
16,1,0.031019
16,2,0.019557
16,3,0.027030
