i,j,G_avg
0,0,0.018183
0,1,0.012649
0,2,0.010545
0,3,0.011288
0,4,0.002305
0,5,0.000622
0,6,-0.003380
0,7,-0.003795
0,8,-0.000463
0,9,-0.001139
0,10,0.000564
0,11,0.004281
0,12,0.008455
0,13,0.006112
0,14,0.005311
0,15,0.001399
0,16,0.001780
0,17,-0.004322
0,18,-0.001625
0,19,-0.000004
0,20,0.004429
0,21,0.008126
0,22,0.003757
0,23,0.000988
0,24,0.000589
0,25,0.002869
0,26,-0.003322
0,27,-0.002574
0,28,-0.002745
0,29,-0.001567
0,30,0.003683
0,31,0.006962
0,32,0.005852
0,33,0.005419
0,34,0.005493
0,35,-0.000318
0,36,-0.002352
0,37,0.000830
0,38,0.009708
0,39,0.006138
1,0,0.014560
1,1,0.010163
1,2,0.010314
1,3,0.008518
1,4,0.000604
1,5,0.001005
1,6,0.002751
1,7,-0.001972
1,8,0.001879
1,9,0.004513
1,10,0.003566
1,11,0.010977
1,12,0.010560
1,13,0.009540
1,14,0.003627
1,15,0.005586
1,16,0.004012
1,17,-0.001414
1,18,0.000432
1,19,-0.000961
1,20,0.004298
1,21,0.004877
1,22,0.003598
1,23,0.001192
1,24,-0.000735
1,25,0.001594
1,26,-0.004791
1,27,-0.004175
1,28,-0.003910
1,29,-0.003881
1,30,0.001343
1,31,0.005746
1,32,0.003046
1,33,0.006187
1,34,-0.000460
1,35,0.001331
1,36,-0.004435
1,37,0.000245
1,38,0.007824
1,39,0.006197
2,0,0.011699
2,1,0.013052
2,2,0.009805
2,3,0.003286
2,4,-0.001995
2,5,0.002939
2,6,0.005726
2,7,0.001314
2,8,0.002758
2,9,0.005394
2,10,0.004325
2,11,0.012677
2,12,0.006487
2,13,0.005261
2,14,0.000303
2,15,0.005258
2,16,0.004589
2,17,-0.001099
2,18,0.000399
2,19,-0.001831
2,20,0.002204
2,21,0.004325
2,22,0.003481
2,23,-0.003838
2,24,-0.004403
2,25,-0.002850
2,26,-0.002723
2,27,-0.003328
2,28,-0.006447
2,29,-0.007562
2,30,-0.003104
2,31,-0.000617
2,32,0.001793
2,33,0.001995
2,34,-0.002656
2,35,0.000053
2,36,-0.004142
2,37,0.000013
2,38,0.007406
2,39,0.004741
3,0,0.008863
3,1,0.012425
3,2,0.007390
3,3,0.001589
3,4,0.000793
3,5,0.001873
3,6,0.002804
3,7,0.002523
3,8,0.002884
3,9,0.003520
3,10,0.008185
3,11,0.012775
3,12,0.003927
3,13,0.000914
3,14,-0.002387
3,15,0.001800
3,16,0.001819
3,17,-0.000491
3,18,0.003615
3,19,0.001445
3,20,0.003220
3,21,0.003639
3,22,0.002173
3,23,-0.002867
3,24,-0.003840
3,25,-0.003549
3,26,-0.003021
3,27,-0.001553
3,28,-0.006473
3,29,-0.006153
3,30,-0.002221
3,31,-0.003011
3,32,0.001024
3,33,0.000111
3,34,-0.004166
3,35,0.001627
3,36,-0.003244
3,37,-0.000748
3,38,0.003470
3,39,0.008179
4,0,0.009022
4,1,0.013109
4,2,0.004845
4,3,-0.000475
4,4,-0.000275
4,5,0.004093
4,6,-0.001616
4,7,-0.002473
4,8,-0.000041
4,9,0.002961
4,10,0.007689
4,11,0.007648
4,12,0.003253
4,13,0.002627
4,14,0.000676
4,15,0.002797
4,16,0.005543
4,17,-0.000935
4,18,0.003651
4,19,-0.000519
4,20,-0.001238
4,21,0.002454
4,22,0.000792
4,23,-0.004836
4,24,-0.002928
4,25,0.001384
4,26,-0.000926
4,27,-0.003610
4,28,-0.004815
4,29,-0.006655
4,30,-0.002640
4,31,-0.006705
4,32,-0.001652
4,33,-0.000878
4,34,-0.000959
4,35,0.001993
4,36,0.002610
4,37,-0.000459
4,38,0.002156
4,39,0.006564
5,0,0.009652
5,1,0.011141
5,2,0.002076
5,3,-0.001124
5,4,-0.001925
5,5,0.000093
5,6,-0.003387
5,7,-0.000653
5,8,-0.000032
5,9,0.004011
5,10,0.008845
5,11,0.006767
5,12,0.002691
5,13,-0.000946
5,14,0.001633
5,15,0.002775
5,16,0.001172
5,17,-0.003760
5,18,0.000742
5,19,-0.002162
5,20,-0.001278
5,21,0.001320
5,22,0.000990
5,23,-0.003613
5,24,0.000168
5,25,-0.000030
5,26,-0.003670
5,27,-0.004667
5,28,-0.005535
5,29,-0.007230
5,30,-0.006685
5,31,-0.003200
5,32,-0.003873
5,33,-0.004507
5,34,0.000018
5,35,0.003477
5,36,0.001463
5,37,0.000351
5,38,0.005572
5,39,0.008276
6,0,0.008929
6,1,0.008803
6,2,0.001105
6,3,-0.002172
6,4,-0.001647
6,5,0.002084
6,6,-0.000865
6,7,0.001678
6,8,0.001816
6,9,0.008106
6,10,0.009378
6,11,0.008863
6,12,0.000533
6,13,-0.002059
6,14,-0.000316
6,15,-0.003860
6,16,-0.003980
6,17,-0.005889
6,18,-0.002490
6,19,-0.005740
6,20,-0.007100
6,21,-0.002335
6,22,0.002064
6,23,0.000487
6,24,0.001999
6,25,0.001949
6,26,0.000479
6,27,-0.004744
6,28,-0.006225
6,29,-0.006358
6,30,-0.002600
6,31,-0.000711
6,32,-0.002617
6,33,-0.004702
6,34,0.002559
6,35,0.008875
6,36,0.003800
6,37,0.003391
6,38,0.004786
6,39,0.010281
7,0,0.009452
7,1,0.007038
7,2,0.005355
7,3,0.002400
7,4,0.000057
7,5,0.001502
7,6,0.000588
7,7,0.006602
7,8,0.003589
7,9,0.010609
7,10,0.012689
7,11,0.009672
7,12,0.001231
7,13,-0.000453
7,14,0.002012
7,15,-0.000810
7,16,-0.003558
7,17,-0.005594
7,18,-0.003052
7,19,-0.007298
7,20,-0.006151
