step,|phi|,Q_L,A_L,S_L,Xi_L,F_LRe, F_LIm, acc
0,1600.000000,-1.726620,-2458.379906,-2458.379906,-9.350761,-21.588948,17.665128,0.529375
1,1600.000000,12.696650,-3508.550489,-3508.550489,-14.260468,-21.588948,17.665128,0.430312
2,1600.000000,9.487653,-4229.529617,-4229.529617,-48.728843,-21.588948,17.665128,0.382292
3,1600.000000,-18.049568,-4713.848081,-4713.848081,-65.432172,-21.588948,17.665128,0.345000
4,1600.000000,11.338600,-5157.727408,-5157.727408,-68.658613,-21.588948,17.665128,0.318875
5,1600.000000,6.232217,-5459.584455,-5459.584455,-80.207562,-21.588948,17.665128,0.298646
6,1600.000000,-2.269186,-5677.050471,-5677.050471,-82.560239,-21.588948,17.665128,0.280893
7,1600.000000,1.516271,-5900.587195,-5900.587195,-90.340495,-21.588948,17.665128,0.266875
8,1600.000000,-5.310138,-6043.374915,-6043.374915,-87.123202,-21.588948,17.665128,0.254306
9,1600.000000,-2.014945,-6266.571820,-6266.571820,-76.877807,-21.588948,17.665128,0.243062
10,1600.000000,-5.972697,-6392.501000,-6392.501000,-88.041961,-21.588948,17.665128,0.232045
11,1600.000000,-5.305585,-6449.822586,-6449.822586,-83.667172,-21.588948,17.665128,0.225208
12,1600.000000,-3.425547,-6529.959643,-6529.959643,-83.633559,-21.588948,17.665128,0.217308
13,1600.000000,-5.095879,-6639.706418,-6639.706418,-86.909817,-21.588948,17.665128,0.212277
14,1600.000000,-11.288818,-6758.613870,-6758.613870,-90.348025,-21.588948,17.665128,0.206792
15,1600.000000,-9.359468,-6783.044177,-6783.044177,-88.343392,-21.588948,17.665128,0.200898
16,1600.000000,-6.921769,-6869.435234,-6869.435234,-100.935059,-21.588948,17.665128,0.196360
17,1600.000000,-7.062871,-6920.776007,-6920.776007,-88.818151,-21.588948,17.665128,0.192188
18,1600.000000,-8.991098,-6955.424834,-6955.424834,-87.526422,-21.588948,17.665128,0.188026
19,1600.000000,-3.615780,-7026.023947,-7026.023947,-84.872711,-21.588948,17.665128,0.184656
20,1600.000000,-3.650875,-7060.929217,-7060.929217,-77.924005,-21.588948,17.665128,0.181548
21,1600.000000,-9.698474,-7102.871096,-7102.871096,-82.940164,-21.588948,17.665128,0.178295
22,1600.000000,-11.295646,-7140.420255,-7140.420255,-79.849777,-21.588948,17.665128,0.175734
23,1600.000000,-8.915187,-7189.558037,-7189.558037,-79.713706,-21.588948,17.665128,0.173359
24,1600.000000,-14.011645,-7219.798912,-7219.798912,-111.471866,-21.588948,17.665128,0.170525
25,1600.000000,-19.445383,-7212.479907,-7212.479907,-114.896759,-21.588948,17.665128,0.168702
26,1600.000000,-16.910378,-7204.102567,-7204.102567,-128.320769,-21.588948,17.665128,0.166667
27,1600.000000,-17.957686,-7267.678478,-7267.678478,-125.599447,-21.588948,17.665128,0.164888
28,1600.000000,-18.657251,-7348.236339,-7348.236339,-123.550644,-21.588948,17.665128,0.162672
29,1600.000000,-18.568631,-7387.272291,-7387.272291,-118.969211,-21.588948,17.665128,0.160667
30,1600.000000,-22.402432,-7438.714730,-7438.714730,-132.532746,-21.588948,17.665128,0.159153
31,1600.000000,-23.594060,-7451.356944,-7451.356944,-141.377544,-21.588948,17.665128,0.157441
32,1600.000000,-22.452466,-7451.892042,-7451.892042,-145.615604,-21.588948,17.665128,0.155682
33,1600.000000,-23.202963,-7478.077058,-7478.077058,-146.776201,-21.588948,17.665128,0.154118
34,1600.000000,-22.507766,-7515.790577,-7515.790577,-127.545411,-21.588948,17.665128,0.152286
35,1600.000000,-25.133715,-7545.494700,-7545.494700,-134.111196,-21.588948,17.665128,0.150885
36,1600.000000,-23.057219,-7578.941617,-7578.941617,-136.775506,-21.588948,17.665128,0.149476
37,1600.000000,-22.721885,-7601.156269,-7601.156269,-144.263941,-21.588948,17.665128,0.148141
38,1600.000000,-23.639779,-7608.841450,-7608.841450,-143.495064,-21.588948,17.665128,0.147051
39,1600.000000,-20.171866,-7592.276995,-7592.276995,-138.017648,-21.588948,17.665128,0.146109
40,1600.000000,-18.717886,-7625.981814,-7625.981814,-139.256793,-21.588948,17.665128,0.144558
41,1600.000000,-19.199338,-7619.749823,-7619.749823,-137.706471,-21.588948,17.665128,0.143467
42,1600.000000,-17.736694,-7646.257978,-7646.257978,-138.702909,-21.588948,17.665128,0.142631
43,1600.000000,-19.304482,-7659.802072,-7659.802072,-139.665482,-21.588948,17.665128,0.142230
44,1600.000000,-21.607723,-7674.741667,-7674.741667,-137.466541,-21.588948,17.665128,0.141278
