step,|phi|,Q_L,A_L,S_L,Xi_L,F_LRe,F_LIm,acc,dt
0,32400.000000,-2.998193,-172471.743265,-172471.743265,1858.501267,541.263115,2266.053715,0.086049,73.000000
100,32400.000000,-4.000000,-172651.719268,-172651.719268,1950.243068,541.263115,2266.053715,0.086103,7465.000000
200,32400.000000,-4.000000,-172895.626165,-172895.626165,911.288407,541.263115,2266.053715,0.086148,14986.000000
300,32400.000000,-4.000000,-172600.449549,-172600.449549,2167.213568,541.263115,2266.053715,0.086182,22446.000000
400,32400.000000,-4.243007,-172632.055254,-172632.055254,2183.033726,541.263115,2266.053715,0.086129,30044.000000
500,32400.000000,-4.595156,-172786.118933,-172786.118933,1504.720620,541.263115,2266.053715,0.086051,37460.000000
600,32400.000000,-4.000000,-172632.751921,-172632.751921,1832.619482,541.263115,2266.053715,0.086059,44897.000000
700,32400.000000,-4.000000,-173201.622150,-173201.622150,1490.686031,541.263115,2266.053715,0.086079,52274.000000
800,32400.000000,-4.000000,-172870.957960,-172870.957960,-479.327290,541.263115,2266.053715,0.086050,59656.000000
900,32400.000000,-4.000000,-172818.682651,-172818.682651,1443.307177,541.263115,2266.053715,0.086040,67113.000000
1000,32400.000000,-4.000000,-173080.631311,-173080.631311,1691.716290,541.263115,2266.053715,0.085988,74487.000000
1100,32400.000000,-4.000000,-172496.372941,-172496.372941,1342.351624,541.263115,2266.053715,0.086000,81977.000000
1200,32400.000000,-4.000000,-172919.589217,-172919.589217,841.204020,541.263115,2266.053715,0.086021,89410.000000
1300,32400.000000,-4.000000,-172843.568485,-172843.568485,1255.683446,541.263115,2266.053715,0.086037,96823.000000
1400,32400.000000,-4.000000,-173007.219610,-173007.219610,938.464129,541.263115,2266.053715,0.086041,104196.000000
1500,32400.000000,-4.000000,-173099.145524,-173099.145524,-305.179553,541.263115,2266.053715,0.086027,111622.000000
1600,32400.000000,-4.000000,-172638.998825,-172638.998825,460.170453,541.263115,2266.053715,0.086029,118988.000000
1700,32400.000000,-4.000000,-173030.924879,-173030.924879,1639.370411,541.263115,2266.053715,0.086040,126453.000000
1800,32400.000000,-4.000000,-172796.970537,-172796.970537,1485.468539,541.263115,2266.053715,0.086040,133852.000000
1900,32400.000000,-4.000000,-173128.625982,-173128.625982,1325.408853,541.263115,2266.053715,0.086053,141257.000000
2000,32400.000000,-8.000000,-172750.741791,-172750.741791,1361.626826,541.263115,2266.053715,0.086057,148750.000000
2100,32400.000000,-8.050895,-172813.960148,-172813.960148,476.828098,541.263115,2266.053715,0.086050,156120.000000
2200,32400.000000,-12.000000,-172685.972085,-172685.972085,2399.626210,541.263115,2266.053715,0.086037,163665.000000
2300,32400.000000,-12.000000,-173017.972675,-173017.972675,1743.756110,541.263115,2266.053715,0.086041,171157.000000
2400,32400.000000,-12.000000,-173061.752538,-173061.752538,2663.350226,541.263115,2266.053715,0.086031,178548.000000
2500,32400.000000,-12.000000,-172933.339392,-172933.339392,2827.870242,541.263115,2266.053715,0.086034,186019.000000
2600,32400.000000,-12.000000,-173024.744598,-173024.744598,2602.626858,541.263115,2266.053715,0.086039,193406.000000
2700,32400.000000,-12.000000,-172981.218774,-172981.218774,3043.001962,541.263115,2266.053715,0.086035,200828.000000
2800,32400.000000,-12.000000,-173425.840417,-173425.840417,1851.601889,541.263115,2266.053715,0.086019,208309.000000
2900,32400.000000,-12.000000,-173372.786215,-173372.786215,2225.734159,541.263115,2266.053715,0.086012,215726.000000
3000,32400.000000,-12.069523,-173005.348071,-173005.348071,1216.719793,541.263115,2266.053715,0.086002,223090.000000
3100,32400.000000,-12.000000,-172798.609027,-172798.609027,531.488137,541.263115,2266.053715,0.085996,230521.000000
3200,32400.000000,-12.000000,-173171.273682,-173171.273682,1508.227033,541.263115,2266.053715,0.085990,238008.000000
3300,32400.000000,-12.000000,-172964.471088,-172964.471088,1156.814380,541.263115,2266.053715,0.085995,245457.000000
3400,32400.000000,-8.000000,-173322.425522,-173322.425522,155.773148,541.263115,2266.053715,0.085986,252820.000000
3500,32400.000000,-8.000000,-172899.701963,-172899.701963,3227.244816,541.263115,2266.053715,0.085978,260234.000000
3600,32400.000000,-8.000000,-173008.411060,-173008.411060,1124.258042,541.263115,2266.053715,0.085977,267655.000000
3700,32400.000000,-8.000000,-173115.316120,-173115.316120,2445.377248,541.263115,2266.053715,0.085968,275059.000000
