step,|phi|,Q_L,A_L,S_L,Xi_L,F_LRe,F_LIm,acc,dt
0,100.000000,96.346847,-133.697990,-360.709899,-5.252744,0.284840,0.171655,0.430000,0.000000
1,100.000000,107.625815,-135.530638,-389.117990,-3.594333,0.284840,0.171655,0.345000,0.000000
2,100.000000,88.602647,-194.909252,-403.674320,-4.726739,0.284840,0.171655,0.306667,0.000000
3,100.000000,91.605988,-198.781870,-414.623395,-7.318349,0.284840,0.171655,0.302500,0.000000
4,100.000000,87.047261,-213.707595,-418.807872,-6.748423,0.284840,0.171655,0.282000,0.000000
5,100.000000,92.127212,-215.648832,-432.718462,-11.776355,0.284840,0.171655,0.278333,1.000000
6,100.000000,93.885712,-216.678514,-437.891511,-14.887328,0.284840,0.171655,0.257143,1.000000
7,100.000000,90.319778,-223.131637,-435.942600,-0.290297,0.284840,0.171655,0.243750,1.000000
8,100.000000,88.655733,-245.279361,-454.169510,7.607658,0.284840,0.171655,0.237778,1.000000
9,100.000000,82.641556,-262.807099,-457.526678,9.976951,0.284840,0.171655,0.237000,1.000000
10,100.000000,82.859831,-256.624393,-451.858270,10.954594,0.284840,0.171655,0.234545,1.000000
11,100.000000,85.763716,-270.459809,-472.535805,10.320324,0.284840,0.171655,0.224167,1.000000
12,100.000000,82.603229,-273.703043,-468.332317,6.153256,0.284840,0.171655,0.217692,1.000000
13,100.000000,82.706853,-282.670201,-477.543632,8.212942,0.284840,0.171655,0.214286,1.000000
14,100.000000,83.851654,-278.926504,-476.497310,5.938082,0.284840,0.171655,0.210667,1.000000
15,100.000000,86.885827,-286.908182,-491.628088,2.075960,0.284840,0.171655,0.206250,1.000000
16,100.000000,90.895051,-290.610107,-504.776526,3.155956,0.284840,0.171655,0.202941,2.000000
17,100.000000,96.584812,-284.584102,-512.156704,1.408250,0.284840,0.171655,0.200556,2.000000
18,100.000000,95.741864,-287.246271,-512.832722,-1.436869,0.284840,0.171655,0.197895,2.000000
19,100.000000,95.278314,-284.683396,-509.177635,0.517492,0.284840,0.171655,0.196500,2.000000
20,100.000000,94.288158,-292.931503,-515.092741,-0.992568,0.284840,0.171655,0.191905,2.000000
21,100.000000,94.515692,-291.177203,-513.874556,0.175428,0.284840,0.171655,0.188182,2.000000
22,100.000000,98.847093,-283.162204,-516.065180,-0.104192,0.284840,0.171655,0.182609,2.000000
23,100.000000,107.138695,-270.792138,-523.231740,0.890818,0.284840,0.171655,0.180417,2.000000
24,100.000000,109.967613,-272.255194,-531.360279,0.395782,0.284840,0.171655,0.180800,2.000000
25,100.000000,113.049498,-270.288225,-536.654829,-1.471185,0.284840,0.171655,0.178462,2.000000
26,100.000000,106.250682,-286.249444,-536.596715,0.009021,0.284840,0.171655,0.175556,2.000000
27,100.000000,106.258486,-285.038670,-535.404330,-1.657790,0.284840,0.171655,0.172500,3.000000
28,100.000000,106.264830,-287.874607,-538.255214,-3.739883,0.284840,0.171655,0.170000,3.000000
29,100.000000,108.781817,-275.745904,-532.057022,-1.995018,0.284840,0.171655,0.168333,3.000000
30,100.000000,111.080632,-271.534705,-533.262278,0.595722,0.284840,0.171655,0.165806,3.000000
31,100.000000,114.868917,-272.232497,-542.886006,2.242201,0.284840,0.171655,0.164375,3.000000
32,100.000000,118.800799,-257.767890,-537.685678,0.299603,0.284840,0.171655,0.160909,3.000000
