i,j,G_avg
0,0,0.254263
0,1,0.049641
0,2,0.031128
0,3,0.072212
0,4,0.128536
0,5,0.045158
0,6,0.009954
0,7,-0.017338
0,8,0.036847
0,9,0.111310
1,0,0.204131
1,1,0.075480
1,2,-0.012620
1,3,-0.016418
1,4,0.053899
1,5,-0.018140
1,6,0.037863
1,7,-0.029662
1,8,0.037545
1,9,0.054395
2,0,0.157186
2,1,0.040088
2,2,-0.035034
2,3,0.018641
2,4,0.014018
2,5,0.011764
2,6,0.026436
2,7,-0.004645
2,8,0.062125
2,9,0.031955
3,0,0.173205
3,1,0.041773
3,2,-0.002785
3,3,0.024277
3,4,0.032559
3,5,0.029864
3,6,0.013935
3,7,0.022190
3,8,0.049200
3,9,0.056257
4,0,0.162155
4,1,0.097933
4,2,0.025009
4,3,0.061242
4,4,0.031585
4,5,0.008513
4,6,-0.010116
4,7,0.059294
4,8,0.055724
4,9,0.052628
5,0,0.134858
5,1,0.119127
5,2,0.116633
5,3,0.115284
5,4,0.069210
5,5,0.040108
5,6,0.029397
5,7,0.126588
5,8,0.096306
5,9,0.093162
6,0,0.097548
6,1,0.116319
6,2,0.114876
6,3,0.130854
6,4,0.045161
6,5,0.073033
6,6,0.102285
6,7,0.129237
6,8,0.111523
6,9,0.087903
7,0,0.057783
7,1,0.072742
7,2,0.077189
7,3,0.093537
7,4,0.022329
7,5,0.031435
7,6,0.066989
7,7,0.106482
7,8,0.122381
7,9,0.053780
8,0,0.090497
8,1,0.060970
8,2,0.065234
8,3,0.051666
8,4,0.055626
8,5,0.026387
8,6,0.001503
8,7,0.023739
8,8,0.112322
8,9,0.105010
9,0,0.145723
9,1,0.035326
9,2,0.081461
9,3,0.087314
9,4,0.087045
9,5,-0.002873
9,6,-0.002245
9,7,0.013395
9,8,0.075478
9,9,0.122239
