step,|phi|,Q_L,A_L,S_L,Xi_L,F_LRe,F_LIm,acc,dt
0,100.000000,69.712288,-155.512769,-155.512769,-0.824800,6.964259,3.693286,0.480000,0.000000
1,100.000000,47.079341,-234.980899,-234.980899,-1.587746,6.964259,3.693286,0.425000,0.000000
2,100.000000,39.954662,-284.688510,-284.688510,-5.380676,6.964259,3.693286,0.380000,0.000000
3,100.000000,34.513870,-320.001736,-320.001736,-9.715618,6.964259,3.693286,0.355000,0.000000
4,100.000000,27.967656,-345.995462,-345.995462,-12.525632,6.964259,3.693286,0.316000,0.000000
5,100.000000,24.742797,-364.168039,-364.168039,-8.211789,6.964259,3.693286,0.310000,0.000000
6,100.000000,29.186178,-365.061856,-365.061856,-7.825377,6.964259,3.693286,0.294286,0.000000
7,100.000000,23.130920,-382.682101,-382.682101,8.603114,6.964259,3.693286,0.280000,0.000000
8,100.000000,22.384213,-396.870517,-396.870517,0.320669,6.964259,3.693286,0.265556,0.000000
9,100.000000,21.566918,-399.898865,-399.898865,1.888502,6.964259,3.693286,0.251000,0.000000
10,100.000000,21.952701,-397.549965,-397.549965,3.169001,6.964259,3.693286,0.238182,0.000000
11,100.000000,21.794699,-404.360977,-404.360977,1.986600,6.964259,3.693286,0.232500,0.000000
12,100.000000,22.567865,-406.984802,-406.984802,-0.596796,6.964259,3.693286,0.223846,0.000000
13,100.000000,20.315688,-416.107723,-416.107723,-4.674210,6.964259,3.693286,0.218571,0.000000
14,100.000000,19.597558,-419.072193,-419.072193,-6.524172,6.964259,3.693286,0.212667,0.000000
15,100.000000,18.372011,-417.743124,-417.743124,-7.107891,6.964259,3.693286,0.206250,0.000000
16,100.000000,17.272198,-419.354686,-419.354686,-7.528688,6.964259,3.693286,0.198824,0.000000
17,100.000000,17.649640,-426.389078,-426.389078,-5.626520,6.964259,3.693286,0.197222,0.000000
18,100.000000,17.534288,-434.781536,-434.781536,-5.104366,6.964259,3.693286,0.191053,0.000000
19,100.000000,16.511731,-447.240120,-447.240120,-2.335194,6.964259,3.693286,0.186500,0.000000
20,100.000000,16.680918,-442.745734,-442.745734,-2.883489,6.964259,3.693286,0.179524,1.000000
21,100.000000,15.776459,-444.934600,-444.934600,-4.395360,6.964259,3.693286,0.175909,1.000000
22,100.000000,15.917673,-443.473280,-443.473280,-5.066101,6.964259,3.693286,0.172609,1.000000
23,100.000000,16.661301,-442.801873,-442.801873,-5.250962,6.964259,3.693286,0.169583,1.000000
24,100.000000,16.206567,-448.084845,-448.084845,-5.482012,6.964259,3.693286,0.168800,1.000000
25,100.000000,17.138642,-446.280606,-446.280606,-3.460911,6.964259,3.693286,0.168462,1.000000
26,100.000000,16.135042,-450.042347,-450.042347,-5.442455,6.964259,3.693286,0.167037,1.000000
27,100.000000,15.474911,-454.427531,-454.427531,-6.055067,6.964259,3.693286,0.166429,1.000000
28,100.000000,13.665206,-455.683322,-455.683322,-5.540911,6.964259,3.693286,0.163793,1.000000
29,100.000000,14.414290,-455.208792,-455.208792,-6.708718,6.964259,3.693286,0.161667,1.000000
30,100.000000,14.133149,-465.454254,-465.454254,-6.878379,6.964259,3.693286,0.161613,1.000000
31,100.000000,14.246875,-461.339507,-461.339507,-7.310864,6.964259,3.693286,0.160000,1.000000
32,100.000000,14.167971,-456.598393,-456.598393,-5.858620,6.964259,3.693286,0.157879,1.000000
33,100.000000,14.033985,-456.442285,-456.442285,-4.849247,6.964259,3.693286,0.156765,1.000000
34,100.000000,14.387500,-456.205821,-456.205821,-7.833998,6.964259,3.693286,0.154571,1.000000
35,100.000000,14.072580,-454.027543,-454.027543,-11.273046,6.964259,3.693286,0.153611,1.000000
36,100.000000,13.711475,-457.987040,-457.987040,-10.990000,6.964259,3.693286,0.151622,1.000000
37,100.000000,13.961513,-455.160621,-455.160621,-12.278093,6.964259,3.693286,0.150263,1.000000
38,100.000000,15.463671,-465.242264,-465.242264,-10.902554,6.964259,3.693286,0.148205,1.000000
39,100.000000,15.708101,-466.433139,-466.433139,-10.814315,6.964259,3.693286,0.146250,1.000000
40,100.000000,14.294897,-471.968907,-471.968907,-9.850147,6.964259,3.693286,0.145610,1.000000
41,100.000000,14.027766,-467.625113,-467.625113,-9.716766,6.964259,3.693286,0.144524,1.000000
42,100.000000,12.966377,-476.514128,-476.514128,-10.589734,6.964259,3.693286,0.143256,1.000000
43,100.000000,13.249906,-483.931872,-483.931872,-12.495523,6.964259,3.693286,0.142955,1.000000
44,100.000000,12.193810,-484.499481,-484.499481,-12.451716,6.964259,3.693286,0.141333,1.000000
45,100.000000,11.022226,-485.933933,-485.933933,-12.113753,6.964259,3.693286,0.140870,1.000000
46,100.000000,11.470102,-487.047539,-487.047539,-12.949519,6.964259,3.693286,0.139574,1.000000
47,100.000000,11.571066,-489.975723,-489.975723,-12.464368,6.964259,3.693286,0.138333,1.000000
