step,|phi|,Q_L,A_L,S_L,Xi_L,F_LRe,F_LIm,acc,dt
0,100.000000,73.118570,-153.046898,-210.474089,-2.547413,5.799758,4.386220,0.490000,0.000000
1,100.000000,49.462990,-236.997727,-275.845869,-7.356338,5.799758,4.386220,0.445000,0.000000
2,100.000000,44.955548,-279.408851,-314.716856,-4.608603,5.799758,4.386220,0.400000,0.000000
3,100.000000,35.563550,-319.587114,-347.518660,-7.403521,5.799758,4.386220,0.372500,0.000000
4,100.000000,33.988841,-337.290038,-363.984812,-13.995692,5.799758,4.386220,0.336000,0.000000
5,100.000000,33.650784,-343.651136,-370.080400,-9.963077,5.799758,4.386220,0.320000,0.000000
6,100.000000,34.205924,-350.969433,-377.834703,-10.961082,5.799758,4.386220,0.298571,0.000000
7,100.000000,27.103295,-367.990075,-389.276953,-12.274222,5.799758,4.386220,0.282500,0.000000
8,100.000000,25.570578,-367.891195,-387.974280,-5.963898,5.799758,4.386220,0.266667,0.000000
9,100.000000,25.015957,-381.391885,-401.039371,-9.407549,5.799758,4.386220,0.257000,0.000000
10,100.000000,27.651708,-380.303215,-402.020816,-8.772595,5.799758,4.386220,0.248182,0.000000
11,100.000000,28.703369,-375.204979,-397.748553,-8.006681,5.799758,4.386220,0.242500,0.000000
12,100.000000,27.133055,-378.086770,-399.397021,-5.932919,5.799758,4.386220,0.233077,0.000000
13,100.000000,23.848144,-386.273202,-405.003490,-14.164695,5.799758,4.386220,0.230000,0.000000
14,100.000000,24.051512,-388.503282,-407.393295,-14.838817,5.799758,4.386220,0.222667,0.000000
15,100.000000,24.763323,-400.084215,-419.533283,-14.182702,5.799758,4.386220,0.216875,0.000000
16,100.000000,24.466752,-399.787480,-419.003622,-13.492705,5.799758,4.386220,0.207647,0.000000
17,100.000000,25.663047,-401.585034,-421.740744,-11.434906,5.799758,4.386220,0.202778,0.000000
18,100.000000,24.663065,-411.721970,-431.092296,-14.008867,5.799758,4.386220,0.199474,0.000000
19,100.000000,22.208151,-421.151258,-438.593499,-15.576557,5.799758,4.386220,0.197000,0.000000
20,100.000000,22.973987,-419.108160,-437.151887,-18.268773,5.799758,4.386220,0.193810,0.000000
21,100.000000,22.714688,-425.573205,-443.413279,-17.883771,5.799758,4.386220,0.190000,0.000000
22,100.000000,24.418533,-420.239922,-439.418194,-19.869259,5.799758,4.386220,0.185217,0.000000
23,100.000000,24.645402,-417.257759,-436.614213,-20.831356,5.799758,4.386220,0.182083,0.000000
24,100.000000,25.153445,-411.521102,-431.276572,-18.375420,5.799758,4.386220,0.180000,0.000000
25,100.000000,24.943267,-409.962204,-429.552600,-17.605587,5.799758,4.386220,0.179231,0.000000
26,100.000000,28.487629,-414.424368,-436.798500,-18.693723,5.799758,4.386220,0.178148,0.000000
27,100.000000,22.475321,-430.510117,-448.162193,-20.594402,5.799758,4.386220,0.175714,0.000000
28,100.000000,20.813166,-427.929265,-444.275888,-20.467001,5.799758,4.386220,0.173103,0.000000
29,100.000000,20.889734,-428.311799,-444.718558,-21.484183,5.799758,4.386220,0.171667,0.000000
30,100.000000,21.082908,-428.303482,-444.861959,-24.299708,5.799758,4.386220,0.170968,0.000000
31,100.000000,16.683513,-442.249640,-455.352840,-23.875642,5.799758,4.386220,0.169375,0.000000
32,100.000000,18.393295,-433.111997,-447.558057,-22.678337,5.799758,4.386220,0.169091,0.000000
33,100.000000,18.208238,-435.607709,-449.908426,-20.889520,5.799758,4.386220,0.168529,0.000000
34,100.000000,19.774027,-429.014872,-444.545356,-18.968540,5.799758,4.386220,0.166857,0.000000
35,100.000000,19.687739,-429.376281,-444.838995,-0.960441,5.799758,4.386220,0.166111,0.000000
36,100.000000,20.206033,-436.233061,-452.102842,-0.565881,5.799758,4.386220,0.165135,0.000000
37,100.000000,19.067984,-431.546948,-446.522908,-0.518139,5.799758,4.386220,0.162895,0.000000
38,100.000000,18.417602,-432.937948,-447.403098,0.124739,5.799758,4.386220,0.160513,0.000000
39,100.000000,17.403855,-450.127052,-463.796008,-6.943094,5.799758,4.386220,0.160000,0.000000
40,100.000000,16.458054,-456.632256,-469.558381,-13.053227,5.799758,4.386220,0.158537,0.000000
41,100.000000,14.103620,-457.221344,-468.298302,-13.060082,5.799758,4.386220,0.157143,0.000000
42,100.000000,14.210789,-459.465470,-470.626598,-13.918545,5.799758,4.386220,0.154884,0.000000
